symbol,first,last,change,change_percentage
RIC,13.9,35.3,1.54,154
KSV,10.03,20.64,1.06,106
S99,15.74,30.19,0.92,92
DAS,9.44,18.01,0.91,91
TUG,11.96,22.27,0.86,86
EIN,10.0,18.1,0.81,81
CCP,6.6,11.8,0.79,79
SPI,2.9,5.0,0.72,72
POB,9.68,16.57,0.71,71
BNA,9.18,15.03,0.64,64
KDM,3.8,6.0,0.58,58
HHC,63.1,99.9,0.58,58
NVT,5.39,8.48,0.57,57
HBD,7.32,11.48,0.57,57
UNI,10.2,15.9,0.56,56
KTS,12.5,19.5,0.56,56
VMG,6.6,10.2,0.55,55
L40,23.52,35.97,0.53,53
PGT,5.2,7.9,0.52,52
NHA,12.57,19.16,0.52,52
VIX,10.04,15.2,0.51,51
X26,18.58,27.82,0.5,50
VIH,8.23,12.35,0.5,50
VGS,10.16,15.12,0.49,49
DAC,4.3,6.4,0.49,49
GIL,32.98,48.66,0.48,48
NGC,3.0,4.4,0.47,47
CIP,4.3,6.3,0.47,47
TDC,12.68,18.45,0.46,46
IJC,17.38,25.45,0.46,46
TDT,6.7,9.73,0.45,45
HSL,4.36,6.31,0.45,45
GCB,6.9,10.0,0.45,45
BVS,13.79,20.04,0.45,45
VHE,4.1,5.9,0.44,44
SCL,6.77,9.73,0.44,44
PVS,14.55,20.98,0.44,44
PMT,3.44,4.95,0.44,44
CCL,8.06,11.61,0.44,44
PRC,8.04,11.51,0.43,43
PVD,12.5,17.73,0.42,42
GMC,18.8,26.78,0.42,42
MBS,12.04,17.03,0.41,41
CSC,20.3,28.64,0.41,41
CMN,42.35,59.58,0.41,41
VCC,9.5,13.31,0.4,40
SAV,14.84,20.81,0.4,40
LTG,21.92,30.61,0.4,40
DCR,2.0,2.8,0.4,40
KSB,22.41,31.09,0.39,39
HU4,12.49,17.33,0.39,39
VHD,4.7,6.5,0.38,38
DNE,10.25,14.16,0.38,38
MST,5.9,8.08,0.37,37
BSR,8.89,12.15,0.37,37
TNG,13.88,18.88,0.36,36
SMC,15.06,20.49,0.36,36
HAH,10.94,14.84,0.36,36
DP1,12.67,17.28,0.36,36
