country,requirement
Afghanistan,visa required
Albania,eVisaApply now
Algeria,visa required
Andorra,visa required
Angola,visa-free/30 days
Antigua and Barbuda,eVisaApply now
Argentina,visa required
Armenia,eVisa/120 daysApply now
Australia,eVisaApply now
Austria,visa required
Azerbaijan,eVisa/30 daysApply now
Bahamas,eVisaApply now
Bahrain,eVisaApply now
Bangladesh,visa required
Barbados,visa-free/90 days
Belarus,visa required
Belgium,visa required
Belize,visa required
Benin,eVisaApply now
Bhutan,visa-free/14 days
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa required
Botswana,eVisaApply now
Brazil,visa required
Brunei,visa required
Bulgaria,visa required
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Colombia,eVisaApply now
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa required
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa required
Cuba,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Djibouti,eVisaApply now
Dominica,visa-free/180 days
Dominican Republic,visa required
Ecuador,eVisaApply now
Egypt,eVisaApply now
El Salvador,visa-free/90 days
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Ethiopia,visa on arrival / eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa required
France,visa required
Gabon,visa-free/30 days
Gambia,visa-free/90 days
Georgia,eVisaApply now
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa-free/90 days
Guatemala,visa required
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa required
Hong Kong,visa required
Hungary,visa required
Iceland,visa required
Indonesia,visa on arrival / eVisa/30 daysApply now
Iran,eVisa/30 daysApply now
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Jamaica,visa-free
Japan,visa required
Jordan,visa on arrival / eVisaApply now
Kazakhstan,visa-free/14 days
Kenya,eVisa/90 daysApply now
Kiribati,visa-free/90 days
Kosovo,visa required
Kuwait,visa required
Kyrgyzstan,eVisaApply now
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa required
Lebanon,visa required
Lesotho,eVisa/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Macao,visa-free/30 days
Madagascar,visa on arrival/90 days
Malawi,eVisa/90 daysApply now
Malaysia,eVisa/30 daysApply now
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa required
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa required
Micronesia,visa-free/30 days
Moldova,eVisaApply now
Monaco,visa required
Mongolia,visa on arrival / eVisa/30 daysApply now
Montenegro,visa required
Morocco,eVisa/30 daysApply now
Mozambique,eVisa
Myanmar,visa on arrival / eVisa/30 days
Namibia,visa required
Nauru,visa required
Nepal,visa-free
Netherlands,visa required
New Zealand,visa required
Nicaragua,visa required
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Oman,eVisaApply now
Pakistan,visa required
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa required
Papua New Guinea,eVisa/30 daysApply now
Paraguay,visa required
Peru,visa required
Philippines,visa required
Poland,visa required
Portugal,visa required
Qatar,free visa on arrival/30 days
Romania,visa required
Russian Federation,eVisa/15 daysApply now
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa on arrival/42 days
Samoa,visa on arrival/90 days
San Marino,visa required
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa required
Senegal,visa-free/90 days
Serbia,visa required
Seychelles,tourist registration/90 daysApply now
Sierra Leone,visa on arrival / eVisa/30 daysApply now
Singapore,eVisaApply now
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
Somalia,visa on arrival/30 days
South Africa,eVisaApply now
South Korea,visa required
South Sudan,eVisaApply now
Spain,visa required
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,eVisa/90 days
Sweden,visa required
Switzerland,visa required
Syria,visa required
Taiwan,visa required
Tajikistan,eVisaApply now
Tanzania,visa on arrival / eVisaApply now
Thailand,visa on arrival / eVisa/30 daysApply now
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa-free/90 days
Tunisia,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa required
Uganda,eVisaApply now
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Uzbekistan,eVisa/30 days
Vanuatu,visa-free/30 days
Vatican City,visa required
Venezuela,visa required
Viet Nam,eVisa/90 daysApply now
Yemen,visa required
Zambia,eVisaApply now
Zimbabwe,visa on arrival/90 days
