country,requirement
Sri Lanka,eTA/30 days
South Korea,eTA/90 days
Albania,eVisa
Antigua and Barbuda,eVisa
Australia,eVisa
Bahamas,eVisa
Bahrain,eVisa
Bhutan,eVisa
Botswana,eVisa
Djibouti,eVisa
Georgia,eVisa
Kazakhstan,eVisa
Kyrgyzstan,eVisa
Moldova,eVisa
Myanmar [Burma],eVisa
Oman,eVisa
Pakistan,eVisa
Saint Kitts and Nevis,eVisa
Singapore,eVisa
South Sudan,eVisa
Uganda,eVisa
Zambia,eVisa
Zimbabwe,eVisa
Armenia,eVisa/120 days
Lesotho,eVisa/14 days
Azerbaijan,eVisa/30 days
Iran,eVisa/30 days
Uzbekistan,eVisa/30 days
Congo (Dem. Rep.),eVisa/90 days
Ethiopia,eVisa/90 days
Kenya,eVisa/90 days
Malawi,eVisa/90 days
Angola,pre-visa on arrival
Guyana,pre-visa on arrival
Sierra Leone,pre-visa on arrival
Cuba,tourist card/30 days
Seychelles,tourist registration/90 days
Congo,visa on arrival
Mauritania,visa on arrival
Nigeria,visa on arrival
Tanzania,visa on arrival / eVisa
Cambodia,visa on arrival / eVisa/30 days
Indonesia,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Mozambique,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Tajikistan,visa on arrival / eVisa/45 days
Bolivia,visa on arrival / eVisa/90 days
Madagascar,visa on arrival / eVisa/90 days
Nepal,visa on arrival/150 days
Burundi,visa on arrival/30 days
Jordan,visa on arrival/30 days
Lebanon,visa on arrival/30 days
Maldives,visa on arrival/30 days
Nicaragua,visa on arrival/30 days
Palau,visa on arrival/30 days
Somalia,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Comoros,visa on arrival/45 days
Mauritius,visa on arrival/60 days
Marshall Islands,visa on arrival/90 days
Samoa,visa on arrival/90 days
Afghanistan,visa required
Andorra,visa required
Argentina,visa required
Austria,visa required
Bangladesh,visa required
Belarus,visa required
Belgium,visa required
Bosnia and Herzegovina,visa required
Brunei,visa required
Bulgaria,visa required
Cameroon,visa required
Canada,visa required
Cape Verde,visa required
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Costa Rica,visa required
Croatia,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Egypt,visa required
El Salvador,visa required
Equatorial Guinea,visa required
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Fiji,visa required
Finland,visa required
France,visa required
Germany,visa required
Ghana,visa required
Greece,visa required
Guatemala,visa required
Guinea-Bissau,visa required
Honduras,visa required
Hungary,visa required
Iceland,visa required
India,visa required
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Jamaica,visa required
Japan,visa required
Kiribati,visa required
Kosovo,visa required
Kuwait,visa required
Latvia,visa required
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Malta,visa required
Mexico,visa required
Monaco,visa required
Mongolia,visa required
Montenegro,visa required
Namibia,visa required
Nauru,visa required
Netherlands,visa required
New Zealand,visa required
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Panama,visa required
Papua New Guinea,visa required
Paraguay,visa required
Peru,visa required
Poland,visa required
Portugal,visa required
Qatar,visa required
Romania,visa required
Russian Federation,visa required
Saint Lucia,visa required
San Marino,visa required
Saudi Arabia,visa required
Serbia,visa required
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
South Africa,visa required
Spain,visa required
Sudan,visa required
Sweden,visa required
Switzerland,visa required
Taiwan,visa required
Thailand,visa required
Tonga,visa required
Trinidad and Tobago,visa required
Turkmenistan,visa required
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Vatican City,visa required
Venezuela,visa required
Viet Nam,visa required
Yemen,visa required
Burkina Faso,visa-free
Guinea,visa-free
Palestinian Territories,visa-free
Syria,visa-free
Tunisia,visa-free
Sao Tome and Principe,visa-free/15 days
Dominica,visa-free/21 days
Belize,visa-free/30 days
Gabon,visa-free/30 days
Hong Kong,visa-free/30 days
Micronesia,visa-free/30 days
Philippines,visa-free/30 days
Vanuatu,visa-free/30 days
Dominican Republic,visa-free/60 days
Algeria,visa-free/90 days
Barbados,visa-free/90 days
Benin,visa-free/90 days
Brazil,visa-free/90 days
Colombia,visa-free/90 days
Cote d'Ivoire (Ivory Coast),visa-free/90 days
Ecuador,visa-free/90 days
Gambia,visa-free/90 days
Grenada,visa-free/90 days
Haiti,visa-free/90 days
Macao,visa-free/90 days
Malaysia,visa-free/90 days
Mali,visa-free/90 days
Niger,visa-free/90 days
Senegal,visa-free/90 days
St. Vincent and the Grenadines,visa-free/90 days
Suriname,visa-free/90 days
Togo,visa-free/90 days
Türkiye,visa-free/90 days
