country,requirement
Afghanistan,visa required
Albania,eVisaApply now
Algeria,visa required
Andorra,visa-free/90 days
Angola,visa-free/30 days
Antigua and Barbuda,eVisaApply now
Argentina,visa required
Armenia,eVisa/120 daysApply now
Australia,eVisaApply now
Austria,visa-free/90 days
Azerbaijan,visa required
Bahamas,eVisaApply now
Bahrain,eVisaApply now
Bangladesh,visa on arrival/30 days
Barbados,visa-free/90 days
Belarus,visa required
Belgium,visa-free/90 days
Belize,visa-free
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa-free/90 days
Botswana,eVisaApply now
Brazil,visa required
Brunei,visa required
Bulgaria,visa-free/90 days
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa-free/30 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa-free/90 days
Cuba,tourist card/30 days
Cyprus,visa-free/90 days
Czech Republic,visa-free/90 days
Denmark,visa-free/90 days
Djibouti,eVisaApply now
Dominica,visa-free/21 days
Dominican Republic,visa required
Ecuador,visa-free/90 days
Egypt,visa on arrival/30 days
El Salvador,visa required
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa-free/90 days
Eswatini,visa required
Ethiopia,eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa-free/90 days
France,visa-free/90 days
Gabon,eVisa/90 daysApply now
Gambia,visa-free/90 days
Georgia,eVisaApply now
Germany,visa-free/90 days
Ghana,visa required
Greece,visa-free/90 days
Grenada,visa-free/90 days
Guatemala,visa required
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa required
Hong Kong,visa-free/14 days
Hungary,visa-free/90 days
Iceland,visa-free/90 days
India,eVisa/30 daysApply now
Indonesia,visa required
Iran,eVisa/30 daysApply now
Iraq,visa required
Ireland,visa required
Israel,visa-free/90 days
Italy,visa-free/90 days
Jamaica,visa required
Japan,visa required
Jordan,visa on arrival / eVisaApply now
Kazakhstan,eVisaApply now
Kenya,eVisa/90 daysApply now
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa required
Kyrgyzstan,eVisaApply now
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa-free/90 days
Lebanon,visa required
Lesotho,eVisa/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa-free/90 days
Lithuania,visa-free/90 days
Luxembourg,visa-free/90 days
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 daysApply now
Malaysia,visa-free/30 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa-free/90 days
Marshall Islands,visa-free
Mauritania,visa on arrival
Mauritius,visa on arrival/60 days
Mexico,visa-free/180 days
Micronesia,visa-free/360 days
Moldova,visa-free/90 days
Monaco,visa-free/90 days
Mongolia,eVisaApply now
Montenegro,visa required
Morocco,visa required
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,visa required
Namibia,visa required
Nauru,visa on arrival
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa-free/90 days
New Zealand,visa required
Nicaragua,visa on arrival/30 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa-free/90 days
Oman,eVisaApply now
Pakistan,eVisaApply now
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,eVisa/60 daysApply now
Paraguay,visa required
Peru,visa-free/180 days
Philippines,visa-free/30 days
Poland,visa-free/90 days
Portugal,visa-free/90 days
Qatar,visa required
Romania,visa-free/90 days
Russian Federation,visa-free/30 days
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,eVisaApply now
Saint Lucia,visa on arrival/42 days
Samoa,visa on arrival/90 days
San Marino,visa-free/90 days
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa required
Senegal,visa on arrival/30 days
Serbia,visa-free/90 days
Seychelles,tourist registration/90 daysApply now
Sierra Leone,eVisaApply now
Singapore,visa-free/30 days
Slovakia,visa-free/90 days
Slovenia,visa-free/90 days
Solomon Islands,visa on arrival/90 days
Somalia,visa on arrival/30 days
South Africa,visa required
South Korea,eTA/30 daysApply now
South Sudan,eVisaApply now
Spain,visa-free/90 days
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,tourist card/90 daysApply now
Sweden,visa-free/90 days
Switzerland,visa-free/90 days
Syria,visa required
Taiwan,visa-free/90 days
Tajikistan,eVisaApply now
Tanzania,visa on arrival / eVisaApply now
Thailand,visa required
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa on arrival/31 days
Trinidad and Tobago,visa required
Tunisia,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa required
Uganda,eVisaApply now
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa-free/180 days
United States of America,visa-free
Uruguay,visa required
Uzbekistan,eVisa/30 days
Vanuatu,visa-free/30 days
Vatican City,visa-free/90 days
Venezuela,visa required
Viet Nam,eVisa/30 daysApply now
Yemen,visa required
Zambia,eVisaApply now
Zimbabwe,visa on arrival/90 days
