country,requirement
Afghanistan,visa required
Albania,visa-free/90 days
Algeria,visa required
Andorra,visa required
Angola,visa required
Antigua and Barbuda,eVisaApply now
Argentina,visa required
Armenia,visa-free/180 days
Australia,eVisaApply now
Austria,visa required
Azerbaijan,visa on arrival / eVisa/30 daysApply now
Bahamas,visa-free/90 days
Bahrain,visa-free
Bangladesh,visa on arrival/30 days
Barbados,visa-free/90 days
Belarus,visa-free/30 days
Belgium,visa required
Belize,visa required
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa required
Brunei,visa on arrival/30 days
Bulgaria,visa required
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Colombia,eVisaApply now
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa required
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa required
Cuba,tourist card/30 days
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Djibouti,eVisaApply now
Dominica,visa-free/21 days
Dominican Republic,visa-free
Ecuador,visa-free/90 days
Egypt,visa-free/180 days
El Salvador,visa-free/90 days
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa required
Eswatini,visa-free/30 days
Ethiopia,visa on arrival / eVisa/90 daysApply now
Fiji,visa required
Finland,visa required
France,visa required
Gabon,eVisa/90 daysApply now
Gambia,visa required
Georgia,visa-free/360 days
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa required
Guatemala,visa-free/90 days
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/30 days
Hungary,visa required
Iceland,visa required
India,visa required
Indonesia,visa on arrival / eVisa/30 daysApply now
Iran,eVisa/30 daysApply now
Iraq,visa on arrival/30 days
Ireland,visa required
Israel,visa required
Italy,visa required
Jamaica,visa required
Japan,visa required
Jordan,visa-free/90 days
Kazakhstan,visa-free/30 days
Kenya,eVisa/90 daysApply now
Kiribati,visa required
Kosovo,visa-free/90 days
Kyrgyzstan,visa-free/60 days
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa required
Lebanon,visa-free/180 days
Lesotho,eVisa/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 daysApply now
Malaysia,visa-free/90 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa required
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa required
Micronesia,visa-free/30 days
Moldova,eVisaApply now
Monaco,visa required
Mongolia,visa on arrival / eVisa/30 daysApply now
Montenegro,visa-free/90 days
Morocco,visa-free/90 days
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,eVisaApply now
Namibia,visa required
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa required
New Zealand,eTA/90 daysApply now
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Oman,visa-free
Pakistan,eTA/30 daysApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,visa required
Paraguay,visa required
Peru,visa required
Philippines,visa-free/30 days
Poland,visa required
Portugal,visa required
Qatar,visa-free
Romania,visa required
Russian Federation,eVisa/15 daysApply now
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa-free/42 days
Samoa,visa on arrival/90 days
San Marino,visa required
Sao Tome and Principe,visa-free/15 days
Saudi Arabia,visa-free
Senegal,visa on arrival/30 days
Serbia,visa-free/90 days
Seychelles,tourist registration/90 daysApply now
Sierra Leone,visa on arrival / eVisa/30 daysApply now
Singapore,visa-free/30 days
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa on arrival/90 days
Somalia,visa on arrival/30 days
South Africa,visa required
South Korea,eTA/30 daysApply now
South Sudan,eVisaApply now
Spain,visa required
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa-free
Suriname,tourist card/90 daysApply now
Sweden,visa required
Switzerland,visa required
Syria,visa-free
Taiwan,eVisa/30 daysApply now
Tajikistan,visa-free/30 days
Tanzania,visa on arrival / eVisaApply now
Thailand,visa-free/30 days
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa required
Tunisia,visa-free/90 days
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa-free/90 days
Uganda,eVisaApply now
Ukraine,visa-free/90 days
United Arab Emirates,visa-free
United Kingdom,EVW/180 daysApply now
United States of America,visa required
Uruguay,visa required
Uzbekistan,visa-free/10 days
Vanuatu,visa-free/30 days
Vatican City,visa required
Venezuela,visa required
Viet Nam,eVisa/90 daysApply now
Yemen,visa on arrival/90 days
Zambia,visa-free/90 days
Zimbabwe,visa on arrival/90 days
