country,requirement
Afghanistan,visa required
Albania,eVisaApply now
Algeria,visa required
Andorra,visa required
Angola,visa required
Antigua and Barbuda,visa-free/180 days
Argentina,visa required
Armenia,visa required
Australia,eVisaApply now
Austria,visa required
Azerbaijan,eVisa/30 daysApply now
Bahamas,visa-free/90 days
Bahrain,eVisaApply now
Bangladesh,visa-free/90 days
Barbados,visa-free/180 days
Belarus,visa required
Belgium,visa required
Belize,visa-free
Benin,eVisaApply now
Bhutan,visa-free/14 days
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa required
Botswana,visa-free/90 days
Brazil,visa required
Brunei,visa-free/14 days
Bulgaria,visa required
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa-free/30 days
Colombia,eVisaApply now
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa-free/30 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa required
Cuba,tourist card/30 days
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Djibouti,eVisaApply now
Dominica,visa-free/180 days
Dominican Republic,visa required
Ecuador,visa-free/90 days
Egypt,visa required
El Salvador,visa required
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa required
Eswatini,visa-free/30 days
Ethiopia,eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa required
France,visa required
Gabon,eVisa/90 daysApply now
Gambia,visa-free/90 days
Georgia,eVisaApply now
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa-free/90 days
Guatemala,visa required
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa required
Hong Kong,visa-free/90 days
Hungary,visa required
Iceland,visa required
India,visa-free/90 days
Indonesia,visa on arrival / eVisa/30 daysApply now
Iran,eVisa/30 daysApply now
Iraq,visa required
Ireland,visa-free/90 days
Israel,visa required
Italy,visa required
Jamaica,visa-free
Japan,visa required
Jordan,visa on arrival / eVisaApply now
Kazakhstan,visa-free/30 days
Kenya,visa-free/90 days
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa required
Kyrgyzstan,eVisaApply now
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa required
Lebanon,visa required
Lesotho,visa-free/90 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 daysApply now
Malaysia,visa-free/90 days
Mali,visa required
Malta,visa required
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa required
Micronesia,visa-free/30 days
Moldova,eVisaApply now
Monaco,visa required
Mongolia,visa required
Montenegro,visa required
Morocco,visa-free/30 days
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,eVisaApply now
Namibia,visa required
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa required
New Zealand,visa required
Nicaragua,visa on arrival/30 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Oman,eVisaApply now
Pakistan,visa-free/90 days
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,eVisa/60 daysApply now
Paraguay,visa required
Peru,visa required
Philippines,visa-free/30 days
Poland,visa required
Portugal,visa required
Qatar,free visa on arrival/30 days
Romania,visa required
Russian Federation,visa-free/90 days
Rwanda,visa-free/30 days
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa-free/42 days
Samoa,visa on arrival/90 days
San Marino,visa required
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa on arrival / eVisa/90 daysApply now
Senegal,visa required
Serbia,visa required
Seychelles,tourist registration/90 daysApply now
Sierra Leone,eVisaApply now
Singapore,visa-free/30 days
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa on arrival/90 days
Somalia,visa on arrival/30 days
South Africa,visa-free/30 days
South Korea,visa required
South Sudan,eVisaApply now
Spain,visa required
Sri Lanka,visa on arrival/30 days
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,tourist card/90 daysApply now
Sweden,visa required
Switzerland,visa required
Syria,visa required
Taiwan,visa required
Tajikistan,visa-free/30 days
Tanzania,visa on arrival / eVisaApply now
Thailand,visa-free/30 days
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa-free
Tunisia,visa-free/90 days
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa on arrival / eVisa/90 daysApply now
Uganda,eVisaApply now
Ukraine,visa required
United Arab Emirates,visa-free/90 days
United Kingdom,visa-free/180 days
United States of America,visa required
Uruguay,visa required
Uzbekistan,eVisa/30 days
Vanuatu,visa-free/30 days
Vatican City,visa required
Venezuela,visa-free/90 days
Viet Nam,eVisa/90 daysApply now
Yemen,visa required
Zambia,visa-free/90 days
Zimbabwe,visa-free/90 days
