country,requirement
Mexico,eTA/180 days
Pakistan,eTA/30 days
Sri Lanka,eTA/30 days
South Korea,eTA/90 days
Australia,eVisa
Bahrain,eVisa
Benin,eVisa
Bhutan,eVisa
Djibouti,eVisa
Myanmar [Burma],eVisa
South Sudan,eVisa
Uganda,eVisa
Lesotho,eVisa/14 days
Congo (Dem. Rep.),eVisa/90 days
Ethiopia,eVisa/90 days
Guinea,eVisa/90 days
Kenya,eVisa/90 days
Malawi,eVisa/90 days
Qatar,free visa on arrival/90 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Angola,pre-visa on arrival
Guyana,pre-visa on arrival
Nigeria,pre-visa on arrival
Cuba,tourist card/30 days
Seychelles,tourist registration/90 days
Mauritania,visa on arrival
Cape Verde,visa on arrival (EASE)
Tanzania,visa on arrival / eVisa
Armenia,visa on arrival / eVisa/120 days
Cambodia,visa on arrival / eVisa/30 days
Egypt,visa on arrival / eVisa/30 days
Indonesia,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Mozambique,visa on arrival / eVisa/30 days
Oman,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Taiwan,visa on arrival / eVisa/30 days
Kuwait,visa on arrival / eVisa/90 days
Madagascar,visa on arrival / eVisa/90 days
Zambia,visa on arrival / eVisa/90 days
Togo,visa on arrival/15 days
Nepal,visa on arrival/150 days
Bangladesh,visa on arrival/30 days
Burundi,visa on arrival/30 days
Lebanon,visa on arrival/30 days
Maldives,visa on arrival/30 days
Palau,visa on arrival/30 days
Senegal,visa on arrival/30 days
Sierra Leone,visa on arrival/30 days
Somalia,visa on arrival/30 days
Sudan,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Tonga,visa on arrival/31 days
Comoros,visa on arrival/45 days
Burkina Faso,visa on arrival/90 days
Libya,visa on arrival/90 days
Marshall Islands,visa on arrival/90 days
Namibia,visa on arrival/90 days
Samoa,visa on arrival/90 days
Zimbabwe,visa on arrival/90 days
Afghanistan,visa required
Algeria,visa required
Andorra,visa required
Austria,visa required
Belgium,visa required
Bulgaria,visa required
Cameroon,visa required
Canada,visa required
Central African Republic,visa required
Chad,visa required
China,visa required
Congo,visa required
Croatia,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Eritrea,visa required
Estonia,visa required
Finland,visa required
France,visa required
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa required
Guinea-Bissau,visa required
Hungary,visa required
Iceland,visa required
India,visa required
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Kiribati,visa required
Latvia,visa required
Liberia,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Mali,visa required
Malta,visa required
Monaco,visa required
Nauru,visa required
Netherlands,visa required
New Zealand,visa required
Niger,visa required
North Korea,visa required
Norway,visa required
Papua New Guinea,visa required
Poland,visa required
Portugal,visa required
Romania,visa required
Russian Federation,visa required
San Marino,visa required
Saudi Arabia,visa required
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
Spain,visa required
Sweden,visa required
Switzerland,visa required
Syria,visa required
Turkmenistan,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Vatican City,visa required
Viet Nam,visa required
Yemen,visa required
Albania,visa-free
Dominican Republic,visa-free
Palestinian Territories,visa-free
Fiji,visa-free/120 days
Sao Tome and Principe,visa-free/15 days
Antigua and Barbuda,visa-free/180 days
Barbados,visa-free/180 days
Peru,visa-free/180 days
Dominica,visa-free/21 days
Bahamas,visa-free/240 days
Belarus,visa-free/30 days
Brunei,visa-free/30 days
Costa Rica,visa-free/30 days
Eswatini,visa-free/30 days
Gabon,visa-free/30 days
Kazakhstan,visa-free/30 days
Kyrgyzstan,visa-free/30 days
Macao,visa-free/30 days
Micronesia,visa-free/30 days
Mongolia,visa-free/30 days
Philippines,visa-free/30 days
Singapore,visa-free/30 days
South Africa,visa-free/30 days
Tajikistan,visa-free/30 days
Thailand,visa-free/30 days
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/30 days
Georgia,visa-free/360 days
Saint Lucia,visa-free/42 days
Argentina,visa-free/90 days
Azerbaijan,visa-free/90 days
Belize,visa-free/90 days
Bolivia,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Chile,visa-free/90 days
Colombia,visa-free/90 days
Ecuador,visa-free/90 days
El Salvador,visa-free/90 days
Equatorial Guinea,visa-free/90 days
Gambia,visa-free/90 days
Guatemala,visa-free/90 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/90 days
Iran,visa-free/90 days
Jamaica,visa-free/90 days
Japan,visa-free/90 days
Jordan,visa-free/90 days
Kosovo,visa-free/90 days
Malaysia,visa-free/90 days
Mauritius,visa-free/90 days
Moldova,visa-free/90 days
Montenegro,visa-free/90 days
Morocco,visa-free/90 days
Nicaragua,visa-free/90 days
North Macedonia,visa-free/90 days
Panama,visa-free/90 days
Paraguay,visa-free/90 days
Saint Kitts and Nevis,visa-free/90 days
Serbia,visa-free/90 days
St. Vincent and the Grenadines,visa-free/90 days
Suriname,visa-free/90 days
Trinidad and Tobago,visa-free/90 days
Tunisia,visa-free/90 days
Ukraine,visa-free/90 days
Uruguay,visa-free/90 days
Venezuela,visa-free/90 days
