country,requirement
Afghanistan,visa required
Albania,eVisaApply now
Algeria,visa-free/90 days
Andorra,visa required
Angola,visa required
Antigua and Barbuda,eVisaApply now
Argentina,visa required
Armenia,eVisa/120 daysApply now
Australia,eVisaApply now
Austria,visa required
Azerbaijan,visa required
Bahamas,eVisaApply now
Bahrain,eVisaApply now
Bangladesh,visa required
Barbados,visa-free/180 days
Belarus,visa required
Belgium,visa required
Belize,visa-free
Benin,visa-free/90 days
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa required
Botswana,eVisaApply now
Brazil,visa-free/90 days
Brunei,visa required
Bulgaria,visa required
Burkina Faso,visa on arrival/90 days
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Colombia,eVisaApply now
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa required
Cote d'Ivoire (Ivory Coast),visa-free/90 days
Croatia,visa required
Cuba,tourist card/30 days
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Djibouti,eVisaApply now
Dominica,visa-free/21 days
Dominican Republic,visa required
Ecuador,visa-free/90 days
Egypt,visa required
El Salvador,visa required
Equatorial Guinea,visa-free/30 days
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Ethiopia,visa on arrival / eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa required
France,visa required
Gabon,visa-free
Gambia,visa-free/90 days
Georgia,eVisaApply now
Germany,visa required
Ghana,visa on arrival/30 days
Greece,visa required
Grenada,visa required
Guatemala,visa required
Guinea,visa-free
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa required
Hong Kong,visa-free/30 days
Hungary,visa required
Iceland,visa required
India,visa required
Indonesia,visa on arrival / eVisa/30 daysApply now
Iran,eVisa/30 daysApply now
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Jamaica,visa required
Japan,visa-free/90 days
Jordan,visa on arrival / eVisaApply now
Kazakhstan,eVisaApply now
Kenya,eVisa/90 daysApply now
Kiribati,visa required
Kosovo,visa required
Kuwait,visa required
Kyrgyzstan,eVisaApply now
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa required
Lebanon,visa on arrival/30 days
Lesotho,eVisa/14 days
Liberia,visa required
Libya,visa-free
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,eVisa/90 daysApply now
Malaysia,visa-free/90 days
Maldives,visa on arrival/30 days
Mali,visa-free/90 days
Malta,visa required
Marshall Islands,visa required
Mauritania,visa-free/90 days
Mauritius,visa-free/90 days
Mexico,visa required
Micronesia,visa-free/30 days
Moldova,eVisaApply now
Monaco,visa required
Mongolia,visa required
Montenegro,visa required
Morocco,visa-free/90 days
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,visa required
Namibia,visa on arrival/90 days
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa required
New Zealand,visa required
Nicaragua,visa on arrival/30 days
Niger,visa-free/90 days
Nigeria,visa on arrival / eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Oman,eVisaApply now
Pakistan,eTA/30 daysApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa required
Papua New Guinea,visa required
Paraguay,visa required
Peru,visa required
Philippines,visa-free/30 days
Poland,visa required
Portugal,visa required
Qatar,visa required
Romania,visa required
Russian Federation,visa required
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,eVisaApply now
Saint Lucia,visa required
Samoa,visa on arrival/90 days
San Marino,visa required
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa required
Senegal,visa-free/90 days
Serbia,visa required
Seychelles,tourist registration/90 daysApply now
Sierra Leone,eVisaApply now
Singapore,eVisaApply now
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
Somalia,visa on arrival/30 days
South Africa,visa-free/90 days
South Korea,eTA/30 daysApply now
South Sudan,eVisaApply now
Spain,visa required
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,eVisa/90 days
Sweden,visa required
Switzerland,visa required
Syria,visa-free
Taiwan,visa required
Tajikistan,visa on arrival / eVisa/45 daysApply now
Tanzania,visa on arrival / eVisaApply now
Thailand,visa required
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa-free/90 days
Uganda,eVisaApply now
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Uzbekistan,eVisa/30 days
Vanuatu,visa-free/30 days
Vatican City,visa required
Venezuela,visa required
Viet Nam,eVisa/90 daysApply now
Yemen,visa required
Zambia,eVisaApply now
Zimbabwe,eVisaApply now
