country,requirement
United Kingdom,EVW/180 days
Canada,eTA/180 days
Pakistan,eTA/30 days
Sri Lanka,eTA/30 days
New Zealand,eTA/90 days
South Korea,eTA/90 days
Bhutan,eVisa
Djibouti,eVisa
South Sudan,eVisa
Uganda,eVisa
Australia,eVisa (fast track)
Lesotho,eVisa/14 days
Benin,eVisa/30 days
Congo (Dem. Rep.),eVisa/30 days
India,eVisa/30 days
Iran,eVisa/30 days
Taiwan,eVisa/30 days
Viet Nam,eVisa/30 days
Ethiopia,eVisa/90 days
Gabon,eVisa/90 days
Kenya,eVisa/90 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Angola,pre-visa on arrival
Cameroon,pre-visa on arrival
Ghana,pre-visa on arrival
Nigeria,pre-visa on arrival
Seychelles,tourist registration/90 days
Mauritania,visa on arrival
Cape Verde,visa on arrival (EASE)
Tanzania,visa on arrival / eVisa
Azerbaijan,visa on arrival / eVisa/30 days
Cambodia,visa on arrival / eVisa/30 days
Indonesia,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Malawi,visa on arrival / eVisa/30 days
Mozambique,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Bolivia,visa on arrival / eVisa/90 days
Madagascar,visa on arrival / eVisa/90 days
Türkiye,visa on arrival / eVisa/90 days
Togo,visa on arrival/15 days
Nepal,visa on arrival/150 days
Bangladesh,visa on arrival/30 days
Burundi,visa on arrival/30 days
Congo,visa on arrival/30 days
Guyana,visa on arrival/30 days
Iraq,visa on arrival/30 days
Jamaica,visa on arrival/30 days
Macao,visa on arrival/30 days
Maldives,visa on arrival/30 days
Mongolia,visa on arrival/30 days
Niger,visa on arrival/30 days
Palau,visa on arrival/30 days
Sierra Leone,visa on arrival/30 days
Somalia,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Comoros,visa on arrival/45 days
Central African Republic,visa on arrival/90 days
Equatorial Guinea,visa on arrival/90 days
Guinea,visa on arrival/90 days
Marshall Islands,visa on arrival/90 days
Namibia,visa on arrival/90 days
Samoa,visa on arrival/90 days
Yemen,visa on arrival/90 days
Zimbabwe,visa on arrival/90 days
Afghanistan,visa required
Algeria,visa required
Belize,visa required
Eritrea,visa required
Eswatini,visa required
Guinea-Bissau,visa required
Kiribati,visa required
Liberia,visa required
Libya,visa required
Myanmar [Burma],visa required
North Korea,visa required
Papua New Guinea,visa required
Trinidad and Tobago,visa required
Turkmenistan,visa required
United States of America,visa required
Venezuela,visa required
Bahrain,visa-free
Burkina Faso,visa-free
Chad,visa-free
Dominican Republic,visa-free
Kuwait,visa-free
Nauru,visa-free
Oman,visa-free
Palestinian Territories,visa-free
Qatar,visa-free
Saudi Arabia,visa-free
Sudan,visa-free
Syria,visa-free
Fiji,visa-free/120 days
Sao Tome and Principe,visa-free/15 days
Armenia,visa-free/180 days
Dominica,visa-free/180 days
Egypt,visa-free/180 days
Lebanon,visa-free/180 days
Mexico,visa-free/180 days
Brunei,visa-free/30 days
China,visa-free/30 days
Hong Kong,visa-free/30 days
Japan,visa-free/30 days
Kazakhstan,visa-free/30 days
Micronesia,visa-free/30 days
Philippines,visa-free/30 days
Singapore,visa-free/30 days
Tajikistan,visa-free/30 days
Thailand,visa-free/30 days
Uzbekistan,visa-free/30 days
Kyrgyzstan,visa-free/60 days
Saint Lucia,visa-free/60 days
Tonga,visa-free/60 days
Albania,visa-free/90 days
Andorra,visa-free/90 days
Antigua and Barbuda,visa-free/90 days
Argentina,visa-free/90 days
Austria,visa-free/90 days
Bahamas,visa-free/90 days
Barbados,visa-free/90 days
Belarus,visa-free/90 days
Belgium,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Bulgaria,visa-free/90 days
Chile,visa-free/90 days
Colombia,visa-free/90 days
Costa Rica,visa-free/90 days
Croatia,visa-free/90 days
Cuba,visa-free/90 days
Cyprus,visa-free/90 days
Czech Republic,visa-free/90 days
Denmark,visa-free/90 days
Ecuador,visa-free/90 days
El Salvador,visa-free/90 days
Estonia,visa-free/90 days
Finland,visa-free/90 days
France,visa-free/90 days
Gambia,visa-free/90 days
Georgia,visa-free/90 days
Germany,visa-free/90 days
Greece,visa-free/90 days
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hungary,visa-free/90 days
Iceland,visa-free/90 days
Ireland,visa-free/90 days
Israel,visa-free/90 days
Italy,visa-free/90 days
Jordan,visa-free/90 days
Kosovo,visa-free/90 days
Latvia,visa-free/90 days
Liechtenstein,visa-free/90 days
Lithuania,visa-free/90 days
Luxembourg,visa-free/90 days
Malaysia,visa-free/90 days
Mali,visa-free/90 days
Malta,visa-free/90 days
Mauritius,visa-free/90 days
Moldova,visa-free/90 days
Monaco,visa-free/90 days
Montenegro,visa-free/90 days
Morocco,visa-free/90 days
Netherlands,visa-free/90 days
Nicaragua,visa-free/90 days
North Macedonia,visa-free/90 days
Norway,visa-free/90 days
Panama,visa-free/90 days
Paraguay,visa-free/90 days
Peru,visa-free/90 days
Poland,visa-free/90 days
Portugal,visa-free/90 days
Romania,visa-free/90 days
Russian Federation,visa-free/90 days
Saint Kitts and Nevis,visa-free/90 days
San Marino,visa-free/90 days
Senegal,visa-free/90 days
Serbia,visa-free/90 days
Slovakia,visa-free/90 days
Slovenia,visa-free/90 days
Solomon Islands,visa-free/90 days
South Africa,visa-free/90 days
Spain,visa-free/90 days
St. Vincent and the Grenadines,visa-free/90 days
Suriname,visa-free/90 days
Sweden,visa-free/90 days
Switzerland,visa-free/90 days
Tunisia,visa-free/90 days
Ukraine,visa-free/90 days
Uruguay,visa-free/90 days
Vanuatu,visa-free/90 days
Vatican City,visa-free/90 days
Zambia,visa-free/90 days
