country,requirement
Pakistan,eTA/30 days
Sri Lanka,eTA/30 days
Australia,eVisa
Bahrain,eVisa
Benin,eVisa
Bhutan,eVisa
Botswana,eVisa
Burkina Faso,eVisa
Djibouti,eVisa
Oman,eVisa
Saint Kitts and Nevis,eVisa
Sao Tome and Principe,eVisa
Singapore,eVisa
South Sudan,eVisa
Tanzania,eVisa
Uganda,eVisa
Zambia,eVisa
Lesotho,eVisa/14 days
India,eVisa/30 days
Viet Nam,eVisa/30 days
Congo (Dem. Rep.),eVisa/90 days
Ethiopia,eVisa/90 days
Gabon,eVisa/90 days
Guinea,eVisa/90 days
Kenya,eVisa/90 days
Qatar,free visa on arrival/30 days
Armenia,not admitted
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Angola,pre-visa on arrival
Guyana,pre-visa on arrival
Nigeria,pre-visa on arrival
Cuba,tourist card/30 days
Seychelles,tourist registration/90 days
Jordan,visa on arrival
Mauritania,visa on arrival
Cape Verde,visa on arrival (EASE)
Cambodia,visa on arrival / eVisa/30 days
Egypt,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Malawi,visa on arrival / eVisa/30 days
Mozambique,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Bolivia,visa on arrival / eVisa/90 days
Togo,visa on arrival/15 days
Nepal,visa on arrival/150 days
Bangladesh,visa on arrival/30 days
Burundi,visa on arrival/30 days
Jamaica,visa on arrival/30 days
Lebanon,visa on arrival/30 days
Macao,visa on arrival/30 days
Maldives,visa on arrival/30 days
Nicaragua,visa on arrival/30 days
Palau,visa on arrival/30 days
Sierra Leone,visa on arrival/30 days
Somalia,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Comoros,visa on arrival/45 days
Mauritius,visa on arrival/60 days
Madagascar,visa on arrival/90 days
Marshall Islands,visa on arrival/90 days
Samoa,visa on arrival/90 days
Zimbabwe,visa on arrival/90 days
Afghanistan,visa required
Algeria,visa required
Andorra,visa required
Argentina,visa required
Austria,visa required
Belgium,visa required
Belize,visa required
Brazil,visa required
Brunei,visa required
Bulgaria,visa required
Cameroon,visa required
Canada,visa required
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Congo,visa required
Costa Rica,visa required
Croatia,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Dominican Republic,visa required
El Salvador,visa required
Equatorial Guinea,visa required
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Fiji,visa required
Finland,visa required
France,visa required
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa required
Guatemala,visa required
Guinea-Bissau,visa required
Honduras,visa required
Hong Kong,visa required
Hungary,visa required
Iceland,visa required
Indonesia,visa required
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Japan,visa required
Kiribati,visa required
Kosovo,visa required
Kuwait,visa required
Latvia,visa required
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Mali,visa required
Malta,visa required
Mexico,visa required
Monaco,visa required
Mongolia,visa required
Morocco,visa required
Myanmar [Burma],visa required
Nauru,visa required
Netherlands,visa required
New Zealand,visa required
Niger,visa required
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Panama,visa required
Papua New Guinea,visa required
Paraguay,visa required
Peru,visa required
Philippines,visa required
Poland,visa required
Portugal,visa required
Romania,visa required
Saint Lucia,visa required
San Marino,visa required
Saudi Arabia,visa required
Senegal,visa required
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
South Africa,visa required
South Korea,visa required
Spain,visa required
Sudan,visa required
Sweden,visa required
Switzerland,visa required
Syria,visa required
Taiwan,visa required
Thailand,visa required
Tonga,visa required
Trinidad and Tobago,visa required
Tunisia,visa required
Turkmenistan,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Vatican City,visa required
Venezuela,visa required
Yemen,visa required
Belarus,visa-free
Kyrgyzstan,visa-free
Palestinian Territories,visa-free
Ukraine,visa-free
Uzbekistan,visa-free
Iran,visa-free/14 days
Antigua and Barbuda,visa-free/180 days
Dominica,visa-free/21 days
Barbados,visa-free/28 days
Kazakhstan,visa-free/30 days
Malaysia,visa-free/30 days
Micronesia,visa-free/30 days
Vanuatu,visa-free/30 days
Georgia,visa-free/360 days
Albania,visa-free/90 days
Bahamas,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Colombia,visa-free/90 days
Ecuador,visa-free/90 days
Gambia,visa-free/90 days
Haiti,visa-free/90 days
Moldova,visa-free/90 days
Montenegro,visa-free/90 days
Namibia,visa-free/90 days
Russian Federation,visa-free/90 days
Serbia,visa-free/90 days
St. Vincent and the Grenadines,visa-free/90 days
Suriname,visa-free/90 days
Tajikistan,visa-free/90 days
Türkiye,visa-free/90 days
