country,requirement
Afghanistan,visa required
Albania,visa-free/90 days
Algeria,visa required
Andorra,visa-free
Angola,visa-free/30 days
Antigua and Barbuda,visa-free/180 days
Argentina,visa-free/90 days
Armenia,visa-free/180 days
Australia,eTA/90 daysApply now
Austria,visa-free
Azerbaijan,eVisa/30 daysApply now
Bahamas,visa-free/240 days
Bahrain,visa on arrival / eVisa/30 daysApply now
Bangladesh,visa on arrival/30 days
Barbados,visa-free/90 days
Belarus,visa-free/30 days
Belgium,visa-free
Belize,visa-free
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Brunei,visa-free/90 days
Bulgaria,visa-free
Burkina Faso,visa on arrival/90 days
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,eTA/180 daysApply now
Cape Verde,visa-free (EASE)/30 daysApply now
Central African Republic,visa required
Chad,visa required
Chile,visa-free/90 days
China,visa required
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa-free/180 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa-free
Cuba,tourist card/30 days
Cyprus,visa-free
Czech Republic,visa-free
Denmark,visa-free
Djibouti,eVisaApply now
Dominica,visa-free/180 days
Dominican Republic,visa-free
Ecuador,visa-free/90 days
Egypt,visa on arrival / eVisa/30 daysApply now
El Salvador,visa-free/90 days
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa-free
Eswatini,visa-free/30 days
Ethiopia,visa on arrival / eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa-free
France,visa-free
Gabon,visa-free/30 days
Gambia,visa-free/90 days
Georgia,visa-free/360 days
Germany,visa-free
Ghana,visa required
Greece,visa-free
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa-free/90 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/90 days
Hungary,visa-free
Iceland,visa-free
India,eVisa/30 daysApply now
Indonesia,visa on arrival / eVisa/30 daysApply now
Iran,eVisa/30 daysApply now
Iraq,visa on arrival/60 days
Ireland,visa-free
Israel,visa-free/90 days
Italy,visa-free
Jamaica,visa-free/90 days
Japan,visa-free/90 days
Jordan,visa on arrival / eVisaApply now
Kazakhstan,visa-free/30 days
Kenya,eVisa/90 daysApply now
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa on arrival / eVisa/90 daysApply now
Kyrgyzstan,visa-free/60 days
Laos,visa-free/15 days
Latvia,visa-free
Lebanon,visa on arrival/30 days
Lesotho,visa-free/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa-free
Lithuania,visa-free
Macao,visa-free/90 days
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 daysApply now
Malaysia,visa-free/90 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa-free
Marshall Islands,visa-free/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa-free/180 days
Micronesia,visa-free/90 days
Moldova,visa-free/90 days
Monaco,visa-free
Mongolia,visa-free/30 days
Montenegro,visa-free/90 days
Morocco,visa-free/90 days
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,eVisaApply now
Namibia,visa-free/90 days
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa-free
New Zealand,eTA/90 daysApply now
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa-free/90 days
Norway,visa-free
Oman,visa on arrival / eVisa/30 daysApply now
Pakistan,eTA/30 daysApply now
Palau,visa-free/90 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,eVisa/60 daysApply now
Paraguay,visa-free/90 days
Peru,visa-free/90 days
Philippines,visa-free/30 days
Poland,visa-free
Portugal,visa-free
Qatar,free visa on arrival/90 days
Romania,visa-free
Russian Federation,eVisa/15 daysApply now
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa-free/90 days
Samoa,visa-free/90 days
San Marino,visa-free
Sao Tome and Principe,visa-free/15 days
Saudi Arabia,visa on arrival / eVisa/90 daysApply now
Senegal,visa-free/90 days
Serbia,visa-free/90 days
Seychelles,tourist registration/90 daysApply now
Sierra Leone,visa on arrival / eVisa/30 daysApply now
Singapore,visa-free/90 days
Slovakia,visa-free
Slovenia,visa-free
Solomon Islands,visa-free/90 days
Somalia,visa on arrival/30 days
South Africa,visa-free/90 days
South Korea,eTA/90 daysApply now
South Sudan,eVisaApply now
Spain,visa-free
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,tourist card/90 daysApply now
Sweden,visa-free
Switzerland,visa-free
Syria,visa required
Taiwan,visa-free/90 days
Tajikistan,visa-free/30 days
Tanzania,visa on arrival / eVisaApply now
Thailand,visa-free/30 days
Timor-Leste,visa-free/90 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa-free/90 days
Trinidad and Tobago,visa-free/90 days
Tunisia,visa-free/90 days
Turkmenistan,visa required
Tuvalu,visa-free/90 days
Türkiye,visa-free/90 days
Uganda,eVisaApply now
Ukraine,visa-free/90 days
United Arab Emirates,visa-free/90 days
United Kingdom,visa-free/180 days
United States of America,eTA/90 daysApply now
Uruguay,visa-free/90 days
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/90 days
Vatican City,visa-free
Venezuela,visa-free/90 days
Viet Nam,eVisa/90 daysApply now
Yemen,visa required
Zambia,visa-free/90 days
Zimbabwe,visa on arrival/90 days
