country,requirement
Afghanistan,visa required
Albania,eVisaApply now
Algeria,visa required
Andorra,visa required
Angola,eVisaApply now
Antigua and Barbuda,visa-free/30 days
Argentina,visa required
Armenia,eVisa/120 daysApply now
Australia,eVisaApply now
Austria,visa required
Azerbaijan,eVisa/30 daysApply now
Bahamas,eVisaApply now
Bahrain,eVisaApply now
Bangladesh,visa on arrival/30 days
Barbados,visa-free/28 days
Belarus,visa-free/30 days
Belgium,visa required
Belize,visa required
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa required
Botswana,visa-free/90 days
Brazil,visa required
Brunei,visa required
Bulgaria,visa required
Burkina Faso,visa on arrival/90 days
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Colombia,eVisaApply now
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa required
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Djibouti,eVisaApply now
Dominica,visa-free/28 days
Dominican Republic,visa required
Ecuador,eVisaApply now
Egypt,visa on arrival/30 days
El Salvador,visa required
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Ethiopia,eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa required
France,visa required
Gabon,eVisa/90 daysApply now
Gambia,visa-free/90 days
Georgia,eVisaApply now
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa-free/60 days
Guatemala,visa required
Guinea,eVisaApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa-free/90 days
Haiti,visa required
Honduras,visa required
Hong Kong,visa required
Hungary,visa required
Iceland,visa required
India,eVisa/30 daysApply now
Indonesia,visa required
Iran,eVisa/30 daysApply now
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Jamaica,visa required
Japan,visa required
Jordan,eVisa
Kazakhstan,eVisaApply now
Kenya,eVisa/90 daysApply now
Kiribati,visa-free/90 days
Kosovo,visa required
Kuwait,visa required
Kyrgyzstan,visa-free
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa required
Lebanon,visa required
Lesotho,eVisa/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,eVisa/90 daysApply now
Malaysia,visa-free/90 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa required
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa on arrival/60 days
Mexico,visa required
Micronesia,visa-free/30 days
Moldova,visa-free
Monaco,visa required
Mongolia,visa-free/30 days
Montenegro,visa required
Morocco,visa required
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,visa required
Namibia,visa-free/90 days
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa required
New Zealand,visa required
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Oman,eVisaApply now
Pakistan,eVisaApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa required
Papua New Guinea,visa required
Paraguay,visa required
Peru,visa required
Philippines,visa required
Poland,visa required
Portugal,visa required
Qatar,free visa on arrival/30 days
Romania,visa required
Russian Federation,visa-free/90 days
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free
Saint Lucia,visa-free/42 days
Samoa,visa on arrival/90 days
San Marino,visa required
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa required
Senegal,visa required
Serbia,visa required
Seychelles,tourist registration/90 daysApply now
Sierra Leone,eVisaApply now
Singapore,visa-free/30 days
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
Somalia,visa on arrival/30 days
South Africa,eVisaApply now
South Korea,visa required
South Sudan,eVisaApply now
Spain,visa required
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,eVisa/90 days
Sweden,visa required
Switzerland,visa required
Syria,visa required
Taiwan,visa required
Tajikistan,visa-free/30 days
Tanzania,visa on arrival / eVisaApply now
Thailand,visa required
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa-free/90 days
Tunisia,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa required
Uganda,eVisaApply now
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/30 days
Vatican City,visa required
Venezuela,visa required
Viet Nam,eVisa/90 daysApply now
Yemen,visa required
Zambia,visa on arrival / eVisa/90 daysApply now
Zimbabwe,visa on arrival/90 days
