year,champion,score,score_first_leg,score_second_leg,runner_up,venue,venue_second_leg,venue_third_leg,attendance,attendance_second_leg,attendance_third_leg
1961,Aston Villa,3-2,0-2,3-0,Rotherham United,Millmoor,Villa Park,,12226,31202,
1962,Norwich City,4-0,3-0,1-0,Rochdale,Spotland,Carrow Road,,11123,19708,
1963,Birmingham City,3-1,3-1,0-0,Aston Villa,St Andrew's,Villa Park,,31850,37921,
1964,Leicester City,4-3,1-1,3-2,Stoke City,Victoria Ground,Filbert Street,,22309,25372,
1965,Chelsea,3-2,3-2,0-0,Leicester City,Stamford Bridge,Filbert Street,,20690,26958,
1966,West Bromwich Albion,5-3,1-2,4-1,West Ham United,Boleyn Ground,The Hawthorns,,28341,31925,
1967,Queens Park Rangers,3-2,,,West Bromwich Albion,Wembley Stadium,,,97952,,
1968,Leeds United,1-0,,,Arsenal,Wembley Stadium,,,97887,,
1969,Swindon Town,3-1,,,Arsenal,Wembley Stadium,,,98189,,
1970,Manchester City,2-1,,,West Bromwich Albion,Wembley Stadium,,,97963,,
1971,Tottenham Hotspur,2-0,,,Aston Villa,Wembley Stadium,,,100000,,
1972,Stoke City,2-1,,,Chelsea,Wembley Stadium,,,97852,,
1973,Tottenham Hotspur,1-0,,,Norwich City,Wembley Stadium,,,100000,,
1974,Wolverhampton Wanderers,2-1,,,Manchester City,Wembley Stadium,,,97886,,
1975,Aston Villa,1-0,,,Norwich City,Wembley Stadium,,,95946,,
1976,Manchester City,2-1,,,Newcastle United,Wembley Stadium,,,100000,,
1977,Aston Villa,3-2,0-0,1-1,Everton,Wembley Stadium,Hillsborough Stadium,Old Trafford,100000,55000,54749
1978,Nottingham Forest,replay,0-0,1-0,Liverpool,Wembley Stadium,Old Trafford,,100000,54375,
1979,Nottingham Forest,3-2,,,Southampton,Wembley Stadium,,,96952,,
1980,Wolverhampton Wanderers,1-0,,,Nottingham Forest,Wembley Stadium,,,96527,,
1981,Liverpool,replay,1-1,2-1,West Ham United,Wembley Stadium,Villa Park,,100000,36693,
1982,Liverpool,3-1,,,Tottenham Hotspur,Wembley Stadium,,,100000,,
1983,Liverpool,2-1,,,Manchester United,Wembley Stadium,,,99304,,
1984,Liverpool,replay,0-0,1-0,Everton,Wembley Stadium,Maine Road,,100000,52089,
1985,Norwich City,1-0,,,Sunderland,Wembley Stadium,,,100000,,
1986,Oxford United,3-0,,,Queens Park Rangers,Wembley Stadium,,,90396,,
1987,Arsenal,2-1,,,Liverpool,Wembley Stadium,,,96000,,
1988,Luton Town,3-2,,,Arsenal,Wembley Stadium,,,95732,,
1989,Nottingham Forest,3-1,,,Luton Town,Wembley Stadium,,,76130,,
1990,Nottingham Forest,1-0,,,Oldham Athletic,Wembley Stadium,,,74343,,
1991,Sheffield Wednesday,1-0,,,Manchester United,Wembley Stadium,,,77612,,
1992,Manchester United,1-0,,,Nottingham Forest,Wembley Stadium,,,76810,,
1993,Arsenal,2-1,,,Sheffield Wednesday,Wembley Stadium,,,74007,,
1994,Aston Villa,3-1,,,Manchester United,Wembley Stadium,,,77231,,
1995,Liverpool,2-1,,,Bolton Wanderers,Wembley Stadium,,,75595,,
1996,Aston Villa,3-0,,,Leeds United,Wembley Stadium,,,77065,,
1997,Leicester City,replay,1-1,1-0,Middlesbrough,Wembley Stadium,Hillsborough Stadium,,76757,39428,
1998,Chelsea,2-0,,,Middlesbrough,Wembley Stadium,,,77698,,
1999,Tottenham Hotspur,1-0,,,Leicester City,Wembley Stadium,,,77892,,
2000,Leicester City,2-1,,,Tranmere Rovers,Wembley Stadium,,,74313,,
2001,Liverpool,1-1,,,Birmingham City,Millennium Stadium,,,73500,,
2002,Blackburn Rovers,2-1,,,Tottenham Hotspur,Millennium Stadium,,,72500,,
2003,Liverpool,2-0,,,Manchester United,Millennium Stadium,,,74500,,
2004,Middlesbrough,2-1,,,Bolton Wanderers,Millennium Stadium,,,72634,,
2005,Chelsea,3-2,,,Liverpool,Millennium Stadium,,,78000,,
2006,Manchester United,4-0,,,Wigan Athletic,Millennium Stadium,,,66866,,
2007,Chelsea,2-1,,,Arsenal,Millennium Stadium,,,70073,,
2008,Tottenham Hotspur,2-1,,,Chelsea,Wembley Stadium,,,87660,,
2009,Manchester United,0-0,,,Tottenham Hotspur,Wembley Stadium,,,88217,,
2010,Manchester United,2-1,,,Aston Villa,Wembley Stadium,,,88596,,
2011,Birmingham City,2-1,,,Arsenal,Wembley Stadium,,,88851,,
2012,Liverpool,2-2,,,Cardiff City,Wembley Stadium,,,89041,,
2013,Swansea City,5-0,,,Bradford City,Wembley Stadium,,,82597,,
2014,Manchester City,3-1,,,Sunderland,Wembley Stadium,,,84697,,
2015,Chelsea,2-0,,,Tottenham Hotspur,Wembley Stadium,,,89294,,
2016,Manchester City,1-1,,,Liverpool,Wembley Stadium,,,86206,,
2017,Manchester United,3-2,,,Southampton,Wembley Stadium,,,85264,,
2018,Manchester City,3-0,,,Arsenal,Wembley Stadium,,,85671,,
2019,Manchester City,0-0,,,Chelsea,Wembley Stadium,,,81775,,
2020,Manchester City,2-1,,,Aston Villa,Wembley Stadium,,,82145,,
2021,Manchester City,1-0,,,Tottenham Hotspur,Wembley Stadium,,,7773,,
2022,Liverpool,0-0,,,Chelsea,Wembley Stadium,,,85512,,
2023,Manchester United,2-0,,,Newcastle United,Wembley Stadium,,,87306,,
