symbol,first,last,change,change_percentage
DST,1.1,5.0,3.55,355
MTA,1.1,3.8,2.45,245
TAW,8.56,28.83,2.37,237
PSG,0.1,0.3,2.0,200
LO5,1.2,3.6,2.0,200
CTA,0.1,0.3,2.0,200
SVT,4.46,12.93,1.9,190
WTC,4.56,13.04,1.86,186
HVA,0.6,1.7,1.83,183
PCE,4.45,12.34,1.77,177
DBC,6.63,18.0,1.71,171
MLS,6.84,18.08,1.64,164
PCC,7.1,18.7,1.63,163
DAS,6.32,16.27,1.57,157
DVC,4.56,11.53,1.53,153
HSG,3.51,8.67,1.47,147
CGV,1.7,4.2,1.47,147
HKT,3.2,7.8,1.44,144
NHP,0.3,0.7,1.33,133
ITA,1.9,4.38,1.31,131
SAP,3.9,8.9,1.28,128
DRH,2.35,5.29,1.25,125
TTB,2.05,4.57,1.23,123
MHC,2.32,5.02,1.16,116
PTC,2.38,5.11,1.15,115
SCI,3.33,7.1,1.13,113
DHM,3.99,8.41,1.11,111
VEF,55.0,115.0,1.09,109
PSB,2.8,5.8,1.07,107
DGW,4.96,10.24,1.06,106
VLC,14.15,28.5,1.01,101
VID,3.06,6.15,1.01,101
DGC,6.3,12.51,0.99,99
AG1,5.02,10.0,0.99,99
PXS,2.48,4.9,0.98,98
FRC,13.03,25.76,0.98,98
SJF,1.23,2.41,0.96,96
PLP,3.04,5.96,0.96,96
PVB,7.15,13.86,0.94,94
THD,4.24,8.18,0.93,93
SHS,2.1,4.05,0.93,93
HAG,2.69,5.2,0.93,93
C4G,2.06,3.98,0.93,93
SRA,4.11,7.9,0.92,92
HAN,5.6,10.74,0.92,92
RAT,7.02,13.41,0.91,91
PMT,3.46,6.59,0.9,90
KDC,13.56,25.76,0.9,90
ACS,6.8,12.9,0.9,90
VDT,11.0,20.53,0.87,87
S99,6.67,12.41,0.86,86
HUT,1.4,2.6,0.86,86
CCM,17.25,32.02,0.86,86
VKC,2.6,4.8,0.85,85
TOT,4.37,8.08,0.85,85
FRT,7.58,14.01,0.85,85
HOT,25.2,46.0,0.83,83
TKU,5.2,9.47,0.82,82
VRG,7.57,13.7,0.81,81
VAF,4.3,7.76,0.8,80
C12,1.9,3.4,0.79,79
G36,2.85,5.06,0.78,78
VIN,6.91,12.2,0.77,77
SAV,3.55,6.24,0.76,76
GVT,15.56,27.36,0.76,76
BTV,21.2,37.39,0.76,76
PVV,0.4,0.7,0.75,75
MPT,0.8,1.4,0.75,75
LCG,2.5,4.37,0.75,75
EVG,1.78,3.12,0.75,75
AFX,2.8,4.9,0.75,75
TPS,19.91,34.63,0.74,74
THP,5.33,9.29,0.74,74
CVN,4.85,8.42,0.74,74
KSB,9.36,16.1,0.72,72
FIT,4.82,8.27,0.72,72
DAH,9.84,16.9,0.72,72
PRO,3.5,6.0,0.71,71
TCL,9.81,16.7,0.7,70
VXT,11.3,19.13,0.69,69
RCL,12.27,20.78,0.69,69
POB,4.1,6.94,0.69,69
CDC,8.35,14.11,0.69,69
SGT,2.35,3.94,0.68,68
FTS,6.21,10.45,0.68,68
BHP,3.29,5.54,0.68,68
VHC,19.23,31.69,0.65,65
JVC,2.08,3.43,0.65,65
TCM,8.27,13.59,0.64,64
DOP,7.48,12.26,0.64,64
CCL,3.12,5.12,0.64,64
VVN,1.9,3.1,0.63,63
ORS,2.94,4.8,0.63,63
FMC,13.8,22.54,0.63,63
DZM,2.4,3.9,0.62,62
DNM,20.33,32.91,0.62,62
VIG,0.5,0.8,0.6,60
PC1,6.34,10.11,0.59,59
ASM,2.34,3.71,0.59,59
NRC,5.72,9.03,0.58,58
HFC,8.5,13.4,0.58,58
VOC,8.45,13.24,0.57,57
SJS,14.95,23.45,0.57,57
SJC,0.7,1.1,0.57,57
SEA,11.68,18.31,0.57,57
QCC,4.95,7.78,0.57,57
KVC,0.7,1.1,0.57,57
HDM,6.28,9.86,0.57,57
TNC,11.53,18.0,0.56,56
SVC,16.46,25.66,0.56,56
CEG,6.12,9.52,0.56,56
BCM,16.39,25.65,0.56,56
HPG,7.85,12.2,0.55,55
CTR,14.83,22.99,0.55,55
BMP,27.51,42.61,0.55,55
NKG,3.04,4.69,0.54,54
HCM,8.16,12.59,0.54,54
CTD,43.4,66.98,0.54,54
TLD,3.9,5.95,0.53,53
DCM,4.77,7.32,0.53,53
VCX,2.9,4.4,0.52,52
TTF,1.84,2.8,0.52,52
SSN,2.5,3.8,0.52,52
SCR,3.52,5.35,0.52,52
ICT,10.44,15.87,0.52,52
TNG,5.65,8.51,0.51,51
SHE,7.03,10.64,0.51,51
MGG,30.23,45.78,0.51,51
IST,10.08,15.2,0.51,51
HQC,1.07,1.62,0.51,51
HBC,5.5,8.33,0.51,51
C47,5.38,8.1,0.51,51
BMI,10.64,16.07,0.51,51
SDT,2.23,3.34,0.5,50
SD8,0.2,0.3,0.5,50
PXM,0.2,0.3,0.5,50
PVX,0.8,1.2,0.5,50
PPI,0.4,0.6,0.5,50
KHL,0.2,0.3,0.5,50
HKB,0.6,0.9,0.5,50
DS3,2.17,3.26,0.5,50
DPS,0.2,0.3,0.5,50
DGT,73.1,109.8,0.5,50
VNT,40.47,60.2,0.49,49
VC1,7.7,11.5,0.49,49
MDC,4.35,6.49,0.49,49
LHG,9.74,14.53,0.49,49
BHT,3.7,5.5,0.49,49
AGR,2.3,3.42,0.49,49
HDG,8.73,12.89,0.48,48
HCI,12.6,18.7,0.48,48
TA6,4.33,6.36,0.47,47
RTB,6.23,9.14,0.47,47
AMV,6.66,9.79,0.47,47
ADC,6.38,9.32,0.46,46
TJC,4.63,6.71,0.45,45
QBS,1.77,2.57,0.45,45
HCD,1.9,2.75,0.45,45
VEA,23.15,33.26,0.44,44
TTZ,1.8,2.6,0.44,44
PHR,28.43,40.96,0.44,44
NTP,17.01,24.46,0.44,44
LDG,3.89,5.61,0.44,44
DXG,6.76,9.74,0.44,44
BWE,14.91,21.48,0.44,44
ACE,14.55,20.94,0.44,44
TV2,16.95,24.31,0.43,43
SDA,2.1,3.0,0.43,43
OGC,2.3,3.3,0.43,43
MPC,7.71,11.0,0.43,43
HEC,26.27,37.53,0.43,43
FDC,8.36,11.95,0.43,43
AGX,17.3,24.72,0.43,43
SZC,12.01,17.07,0.42,42
PVD,5.34,7.56,0.42,42
PDN,51.45,72.85,0.42,42
GDT,13.88,19.73,0.42,42
DC1,6.28,8.92,0.42,42
D11,13.1,18.59,0.42,42
CKG,5.13,7.26,0.42,42
BHK,6.83,9.69,0.42,42
VCI,4.75,6.71,0.41,41
TDH,5.0,7.04,0.41,41
PVC,3.62,5.12,0.41,41
VIX,1.99,2.79,0.4,40
TRC,19.09,26.71,0.4,40
MSH,13.24,18.49,0.4,40
HU4,4.58,6.43,0.4,40
ATB,0.5,0.7,0.4,40
APF,13.44,18.75,0.4,40
ACM,0.5,0.7,0.4,40
VRC,4.62,6.44,0.39,39
TVH,13.75,19.14,0.39,39
TDM,15.25,21.17,0.39,39
SSI,6.1,8.45,0.39,39
NNG,7.0,9.7,0.39,39
NAW,5.7,7.9,0.39,39
HVH,5.14,7.13,0.39,39
HNB,7.36,10.2,0.39,39
FOC,70.03,97.19,0.39,39
BTD,11.1,15.46,0.39,39
VSA,10.5,14.51,0.38,38
VHM,40.38,55.63,0.38,38
TLH,2.17,3.0,0.38,38
TIG,3.34,4.61,0.38,38
THG,22.6,31.29,0.38,38
SZL,23.76,32.74,0.38,38
SPI,0.8,1.1,0.38,38
SNZ,14.33,19.79,0.38,38
QNC,2.1,2.9,0.38,38
PXT,1.09,1.5,0.38,38
NTC,76.77,105.8,0.38,38
IDI,2.69,3.72,0.38,38
HID,1.85,2.56,0.38,38
FOX,26.91,37.15,0.38,38
DNA,11.08,15.29,0.38,38
CCP,10.8,14.9,0.38,38
BSR,4.94,6.81,0.38,38
VCR,7.1,9.7,0.37,37
TLG,21.89,30.08,0.37,37
STB,7.81,10.7,0.37,37
PMS,7.97,10.91,0.37,37
PMB,5.57,7.64,0.37,37
NCT,34.41,47.3,0.37,37
MAS,25.5,35.0,0.37,37
LTG,12.14,16.65,0.37,37
LMC,10.2,14.0,0.37,37
FLC,2.65,3.62,0.37,37
EMC,11.2,15.3,0.37,37
ELC,3.42,4.69,0.37,37
BCG,2.52,3.46,0.37,37
BCC,4.44,6.07,0.37,37
VNB,11.7,15.9,0.36,36
PXL,7.8,10.6,0.36,36
PTB,22.26,30.34,0.36,36
HRB,16.84,22.94,0.36,36
GMC,8.44,11.48,0.36,36
CMG,14.75,20.09,0.36,36
ANV,11.01,15.01,0.36,36
VNC,22.3,30.02,0.35,35
TCW,11.93,16.09,0.35,35
STS,19.6,26.5,0.35,35
SD2,5.2,7.0,0.35,35
POM,4.1,5.55,0.35,35
PMC,34.65,46.77,0.35,35
PBP,4.48,6.05,0.35,35
MH3,24.83,33.52,0.35,35
HVN,14.65,19.8,0.35,35
HSL,2.99,4.03,0.35,35
HPB,12.44,16.74,0.35,35
FCN,6.42,8.69,0.35,35
VGI,20.1,27.0,0.34,34
SKG,6.42,8.6,0.34,34
QCG,5.71,7.66,0.34,34
PLC,8.62,11.57,0.34,34
NAG,2.57,3.45,0.34,34
LPB,3.89,5.23,0.34,34
HHS,2.47,3.32,0.34,34
HAR,2.25,3.02,0.34,34
CMX,7.75,10.42,0.34,34
VIP,3.16,4.2,0.33,33
TVW,5.18,6.9,0.33,33
TV3,19.28,25.67,0.33,33
TIP,11.52,15.32,0.33,33
SDP,0.9,1.2,0.33,33
QNS,18.51,24.66,0.33,33
PSL,12.91,17.21,0.33,33
PFL,0.6,0.8,0.33,33
IJC,6.12,8.13,0.33,33
BII,0.6,0.8,0.33,33
VIB,5.57,7.34,0.32,32
THB,6.38,8.43,0.32,32
SFN,15.88,20.92,0.32,32
SBM,15.62,20.63,0.32,32
SAF,26.24,34.59,0.32,32
POW,7.02,9.25,0.32,32
MWG,19.93,26.34,0.32,32
LIX,34.16,45.04,0.32,32
KHS,8.95,11.79,0.32,32
HAX,5.94,7.84,0.32,32
CQT,1.9,2.5,0.32,32
APC,13.6,18.0,0.32,32
ACV,44.0,58.3,0.32,32
WSS,1.6,2.1,0.31,31
VGC,12.48,16.29,0.31,31
VCW,26.73,35.14,0.31,31
UPC,7.1,9.27,0.31,31
TSC,1.79,2.35,0.31,31
PVT,6.59,8.64,0.31,31
PHS,6.45,8.43,0.31,31
OIL,5.93,7.78,0.31,31
OCH,7.1,9.3,0.31,31
IMP,31.23,40.99,0.31,31
HEP,6.75,8.85,0.31,31
HDB,7.35,9.62,0.31,31
VSC,9.46,12.34,0.3,30
VNG,12.8,16.7,0.3,30
VHL,14.85,19.25,0.3,30
PWS,17.34,22.56,0.3,30
PSH,17.93,23.34,0.3,30
PAC,14.4,18.7,0.3,30
ONE,2.56,3.33,0.3,30
NET,29.56,38.5,0.3,30
MML,33.82,44.02,0.3,30
ICN,24.87,32.33,0.3,30
HMC,6.19,8.03,0.3,30
HHG,1.0,1.3,0.3,30
EVE,6.38,8.29,0.3,30
CIA,8.09,10.51,0.3,30
ART,2.0,2.6,0.3,30
VHG,0.7,0.9,0.29,29
TUG,7.46,9.62,0.29,29
TST,6.9,8.87,0.29,29
SFC,13.65,17.61,0.29,29
SBD,5.63,7.24,0.29,29
PMJ,8.69,11.24,0.29,29
MCC,8.71,11.22,0.29,29
HTG,10.85,13.97,0.29,29
HPT,5.49,7.06,0.29,29
HND,11.12,14.33,0.29,29
GVR,7.82,10.05,0.29,29
CTS,4.05,5.22,0.29,29
VTO,4.58,5.86,0.28,28
VRE,19.25,24.7,0.28,28
VNA,1.8,2.3,0.28,28
TGG,0.89,1.14,0.28,28
TDT,5.17,6.63,0.28,28
TCH,10.76,13.76,0.28,28
SIP,46.49,59.36,0.28,28
SAB,115.95,147.88,0.28,28
NT2,13.17,16.84,0.28,28
FIC,7.81,9.96,0.28,28
C69,4.33,5.56,0.28,28
BMC,7.75,9.9,0.28,28
AGM,9.04,11.58,0.28,28
VTL,16.5,20.9,0.27,27
VC6,5.8,7.39,0.27,27
TTH,1.5,1.9,0.27,27
TPB,8.85,11.26,0.27,27
PXI,2.2,2.8,0.27,27
PVS,8.21,10.39,0.27,27
LGL,4.09,5.19,0.27,27
KSQ,1.1,1.4,0.27,27
DTV,22.43,28.51,0.27,27
VGT,5.67,7.13,0.26,26
TS4,2.64,3.32,0.26,26
TCB,15.5,19.55,0.26,26
PVP,3.64,4.57,0.26,26
NDN,7.49,9.42,0.26,26
