symbol,first,last,change,change_percentage
KTS,5.38,19.71,2.66,266
GDW,7.73,21.5,1.78,178
DNT,4.0,9.82,1.46,146
SGS,1.53,3.28,1.14,114
DNP,1.1,2.23,1.03,103
IDV,1.07,1.96,0.83,83
SDG,5.46,9.63,0.76,76
PIV,4.73,7.94,0.68,68
PRC,3.06,5.01,0.64,64
BMJ,2.63,4.25,0.62,62
L62,5.15,8.17,0.59,59
DHT,3.63,5.63,0.55,55
SPC,7.29,11.26,0.54,54
BTW,5.56,8.38,0.51,51
TMS,4.76,7.11,0.49,49
WCS,10.41,15.19,0.46,46
CTI,7.57,10.98,0.45,45
TMX,3.0,4.31,0.44,44
SSC,11.89,17.16,0.44,44
SDV,3.68,5.3,0.44,44
MCC,5.52,7.89,0.43,43
VCM,2.6,3.67,0.41,41
DNC,0.59,0.83,0.41,41
GHC,3.15,4.33,0.37,37
RAL,6.32,8.59,0.36,36
POV,1.19,1.62,0.36,36
L43,6.93,9.4,0.36,36
INN,2.78,3.75,0.35,35
NSC,13.8,18.27,0.32,32
NAV,2.48,3.23,0.3,30
MCO,4.0,5.2,0.3,30
TMT,3.03,3.88,0.28,28
DDN,6.1,7.74,0.27,27
CLG,8.34,10.57,0.27,27
MCP,4.95,6.17,0.25,25
GIL,5.17,6.46,0.25,25
VFG,5.58,6.94,0.24,24
HAI,6.1,7.55,0.24,24
FLC,9.29,11.53,0.24,24
CYC,2.5,3.1,0.24,24
CX8,2.87,3.57,0.24,24
TH1,14.65,17.96,0.23,23
LCC,3.0,3.7,0.23,23
DL1,3.75,4.6,0.23,23
BHT,16.2,19.59,0.21,21
SVI,5.53,6.61,0.2,20
PCG,3.57,4.28,0.2,20
ARM,4.28,5.13,0.2,20
SFC,7.43,8.74,0.18,18
HTL,1.87,2.2,0.18,18
HCT,6.74,7.94,0.18,18
PVI,7.83,9.06,0.16,16
IME,2.83,3.29,0.16,16
SVN,24.6,28.3,0.15,15
LUT,10.6,12.2,0.15,15
LM8,3.64,4.19,0.15,15
DAC,16.5,19.0,0.15,15
ADC,0.98,1.13,0.15,15
TIX,5.31,6.04,0.14,14
SJ1,4.51,5.14,0.14,14
VLF,10.45,11.79,0.13,13
ELC,10.86,12.27,0.13,13
BED,3.92,4.41,0.13,13
PTB,1.27,1.42,0.12,12
LCM,20.7,23.28,0.12,12
CVN,15.37,17.16,0.12,12
CLW,3.72,4.18,0.12,12
TNB,2.42,2.68,0.11,11
SED,2.35,2.6,0.11,11
JVC,10.28,11.4,0.11,11
EID,2.37,2.62,0.11,11
BMP,6.99,7.77,0.11,11
APC,10.63,11.77,0.11,11
VNX,0.39,0.43,0.1,10
VHF,11.07,12.17,0.1,10
DAD,2.21,2.42,0.1,10
CMT,7.0,7.7,0.1,10
VTI,2.13,2.33,0.09,9
VIR,8.68,9.42,0.09,9
VHL,6.03,6.57,0.09,9
V21,16.15,17.54,0.09,9
MDF,3.19,3.48,0.09,9
HOT,11.01,12.02,0.09,9
DSN,5.57,6.06,0.09,9
CTC,6.7,7.28,0.09,9
CLC,2.3,2.51,0.09,9
GDT,2.88,3.1,0.08,8
SCO,9.9,10.6,0.07,7
PVR,8.3,8.9,0.07,7
LM7,6.4,6.87,0.07,7
HSI,8.4,9.0,0.07,7
WSB,7.53,7.99,0.06,6
VGP,5.9,6.24,0.06,6
TSC,3.37,3.56,0.06,6
SZL,4.84,5.11,0.06,6
SPM,34.82,37.0,0.06,6
SGC,7.39,7.82,0.06,6
PPS,3.08,3.27,0.06,6
NNC,3.21,3.41,0.06,6
HBD,3.58,3.81,0.06,6
DVP,7.79,8.27,0.06,6
CTB,4.41,4.68,0.06,6
CCL,4.02,4.27,0.06,6
BSC,5.37,5.69,0.06,6
AGF,9.56,10.18,0.06,6
SEB,1.69,1.77,0.05,5
PAN,3.29,3.47,0.05,5
NTP,5.49,5.77,0.05,5
NBC,1.69,1.77,0.05,5
HVT,2.61,2.73,0.05,5
EIB,8.87,9.33,0.05,5
DAE,2.5,2.63,0.05,5
CMC,9.4,9.9,0.05,5
CAN,14.33,15.08,0.05,5
APP,5.36,5.65,0.05,5
STB,9.85,10.26,0.04,4
SBT,5.02,5.23,0.04,4
CID,6.16,6.43,0.04,4
ACL,5.03,5.24,0.04,4
VNM,14.64,15.07,0.03,3
VBH,16.34,16.82,0.03,3
KHP,1.96,2.01,0.03,3
BMC,7.76,8.01,0.03,3
ALT,6.21,6.37,0.03,3
VSH,4.9,5.01,0.02,2
VNS,5.92,6.01,0.02,2
VIC,16.26,16.6,0.02,2
VE3,2.03,2.08,0.02,2
TCT,6.61,6.76,0.02,2
QTC,1.91,1.94,0.02,2
QHD,2.46,2.51,0.02,2
OPC,3.85,3.94,0.02,2
NST,4.83,4.93,0.02,2
GTH,6.01,6.14,0.02,2
DTT,4.28,4.35,0.02,2
YBC,19.0,19.2,0.01,1
THG,1.19,1.2,0.01,1
PPC,2.6,2.63,0.01,1
PNJ,6.65,6.72,0.01,1
PJT,1.47,1.49,0.01,1
HTI,2.02,2.05,0.01,1
CT3,7.57,7.62,0.01,1
B82,5.36,5.4,0.01,1
VCT,6.0,6.0,0.0,0
VCA,3.65,3.65,0.0,0
SJD,2.31,2.3,-0.0,0
SFN,3.31,3.31,0.0,0
REE,4.85,4.85,0.0,0
QST,1.85,1.85,0.0,0
PTD,5.75,5.75,0.0,0
PMC,6.52,6.52,0.0,0
PJC,2.04,2.03,-0.0,0
NBB,15.89,15.86,-0.0,0
LBM,1.4,1.4,0.0,0
HVG,5.56,5.56,0.0,0
HPB,3.39,3.39,0.0,0
HBS,14.0,14.0,0.0,0
DBT,2.37,2.38,0.0,0
CPC,3.73,3.73,0.0,0
ACB,4.7,4.7,0.0,0
VMD,7.62,7.51,-0.01,-1
VBC,2.25,2.22,-0.01,-1
SVC,3.98,3.93,-0.01,-1
ST8,1.28,1.27,-0.01,-1
SFI,3.21,3.18,-0.01,-1
PET,3.67,3.64,-0.01,-1
LHC,1.43,1.41,-0.01,-1
LCS,10.86,10.77,-0.01,-1
GMC,2.09,2.06,-0.01,-1
FMC,2.05,2.03,-0.01,-1
C47,2.54,2.51,-0.01,-1
BXH,7.04,7.0,-0.01,-1
ACC,5.03,4.98,-0.01,-1
VXB,4.38,4.28,-0.02,-2
PDN,7.81,7.66,-0.02,-2
HGM,20.29,19.87,-0.02,-2
FPT,6.86,6.69,-0.02,-2
CHP,2.42,2.38,-0.02,-2
C21,9.2,9.03,-0.02,-2
VIE,10.7,10.4,-0.03,-3
SHC,3.0,2.9,-0.03,-3
PPP,3.41,3.31,-0.03,-3
LBE,1.59,1.54,-0.03,-3
HEV,2.76,2.69,-0.03,-3
HAT,8.94,8.68,-0.03,-3
DHC,1.6,1.55,-0.03,-3
CMV,6.49,6.32,-0.03,-3
VCF,52.12,49.92,-0.04,-4
SSG,7.1,6.8,-0.04,-4
SQC,87.3,83.9,-0.04,-4
NVB,6.5,6.23,-0.04,-4
MHL,11.09,10.65,-0.04,-4
GLT,3.34,3.2,-0.04,-4
DTC,22.28,21.45,-0.04,-4
DBM,8.32,8.01,-0.04,-4
BTH,10.1,9.7,-0.04,-4
ACE,4.11,3.94,-0.04,-4
VNT,4.3,4.07,-0.05,-5
TVD,2.24,2.13,-0.05,-5
TTP,22.68,21.53,-0.05,-5
STS,8.49,8.09,-0.05,-5
SMB,4.06,3.87,-0.05,-5
RDP,2.37,2.26,-0.05,-5
NHC,5.43,5.14,-0.05,-5
MTH,3.85,3.65,-0.05,-5
LSS,11.46,10.87,-0.05,-5
HFX,2.1,2.0,-0.05,-5
VNL,4.25,4.0,-0.06,-6
VLA,1.77,1.66,-0.06,-6
VC6,2.85,2.67,-0.06,-6
TRA,8.42,7.9,-0.06,-6
THB,3.39,3.17,-0.06,-6
TCL,4.0,3.75,-0.06,-6
SGD,1.6,1.51,-0.06,-6
PX1,10.8,10.2,-0.06,-6
LIG,3.85,3.63,-0.06,-6
UDJ,2.75,2.55,-0.07,-7
TPH,2.48,2.3,-0.07,-7
S12,5.1,4.72,-0.07,-7
PVS,6.42,5.98,-0.07,-7
PHR,6.97,6.45,-0.07,-7
NBP,6.06,5.65,-0.07,-7
HU3,3.08,2.85,-0.07,-7
HPP,12.13,11.34,-0.07,-7
HCM,2.55,2.38,-0.07,-7
DPR,15.9,14.72,-0.07,-7
CMS,6.48,6.02,-0.07,-7
CII,10.58,9.81,-0.07,-7
BBC,9.5,8.79,-0.07,-7
AAM,8.5,7.87,-0.07,-7
VSC,3.94,3.61,-0.08,-8
VNC,5.47,5.03,-0.08,-8
VE2,2.2,2.02,-0.08,-8
VDN,1.8,1.65,-0.08,-8
TV3,2.23,2.05,-0.08,-8
TIE,5.03,4.63,-0.08,-8
SHP,1.98,1.83,-0.08,-8
PTT,2.26,2.08,-0.08,-8
HLY,14.49,13.4,-0.08,-8
HBC,2.04,1.87,-0.08,-8
EBS,1.95,1.8,-0.08,-8
DCL,4.28,3.93,-0.08,-8
ABT,13.26,12.25,-0.08,-8
VRC,7.27,6.59,-0.09,-9
TV2,0.35,0.32,-0.09,-9
TBC,4.26,3.87,-0.09,-9
SHB,2.42,2.21,-0.09,-9
SGT,5.85,5.3,-0.09,-9
MAC,2.24,2.03,-0.09,-9
L61,4.74,4.3,-0.09,-9
HLC,2.71,2.46,-0.09,-9
HHC,7.95,7.26,-0.09,-9
HDC,3.5,3.19,-0.09,-9
DBC,2.49,2.26,-0.09,-9
BST,2.21,2.02,-0.09,-9
TPP,1.24,1.11,-0.1,-10
SRF,1.97,1.77,-0.1,-10
SDK,5.61,5.05,-0.1,-10
SDJ,5.9,5.3,-0.1,-10
SCD,9.28,8.38,-0.1,-10
PTS,3.67,3.32,-0.1,-10
