season,champion_country,champion_club,score,runner_up_country,runner_up_club,host,host_city,host_country
1979-80,England,Nottingham Forest,1-0,Germany,Hamburger SV,Santiago Bernabéu,Madrid,Spain
1980-81,England,Liverpool,1-0,Spain,Real Madrid,Parc des Princes,Paris,France
1981-82,England,Aston Villa,1-0,Germany,Bayern Munich,De Kuip,Rotterdam,Netherlands
1982-83,Germany,Hamburger SV,1-0,Italy,Juventus,Olympic Stadium,Athens,Greece
1983-84,England,Liverpool,1-1*,Italy,Roma,Stadio Olimpico,Rome,Italy
1984-85,Italy,Juventus,1-0,England,Liverpool,Heysel Stadium,Brussels,Belgium
1985-86,Romania,Steaua București,0-0*,Spain,Barcelona,Ramón Sánchez Pizjuán,Seville,Spain
1986-87,Portugal,Porto,2-1,Germany,Bayern Munich,Praterstadion,Vienna,Austria
1987-88,Netherlands,PSV Eindhoven,0-0*,Portugal,Benfica,Neckarstadion,Stuttgart,West Germany
1988-89,Italy,Milan,4-0,Romania,Steaua București,Camp Nou,Barcelona,Spain
1989-90,Italy,Milan,1-0,Portugal,Benfica,Praterstadion,Vienna,Austria
1990-91,Yugoslavia,Red Star Belgrade,0-0*,France,Marseille,Stadio San Nicola,Bari,Italy
1991-92,Spain,Barcelona,1-0,Italy,Sampdoria,Wembley Stadium,London,England
1992-93,France,Marseille,1-0,Italy,Milan,Olympiastadion,Munich,Germany
1993-94,Italy,Milan,4-0,Spain,Barcelona,Olympic Stadium,Athens,Greece
1994-95,Netherlands,Ajax,1-0,Italy,Milan,Ernst-Happel-Stadion,Vienna,Austria
1995-96,Italy,Juventus,1-1*,Netherlands,Ajax,Stadio Olimpico,Rome,Italy
1996-97,Germany,Borussia Dortmund,3-1,Italy,Juventus,Olympiastadion,Munich,Germany
1997-98,Spain,Real Madrid,1-0,Italy,Juventus,Amsterdam Arena,Amsterdam,Netherlands
1998-99,England,Manchester United,2-1,Germany,Bayern Munich,Camp Nou,Barcelona,Spain
1999-2000,Spain,Real Madrid,3-0,Spain,Valencia,Stade de France,Saint-Denis,France
2000-01,Germany,Bayern Munich,1-1*,Spain,Valencia,San Siro,Milan,Italy
2001-02,Spain,Real Madrid,2-1,Germany,Bayer Leverkusen,Hampden Park,Glasgow,Scotland
2002-03,Italy,Milan,0-0*,Italy,Juventus,Old Trafford,Manchester,England
2003-04,Portugal,Porto,3-0,France,Monaco,Arena AufSchalke,Gelsenkirchen,Germany
2004-05,England,Liverpool,3-3*,Italy,Milan,Atatürk Olympic Stadium,Istanbul,Turkey
2005-06,Spain,Barcelona,2-1,England,Arsenal,Stade de France,Saint-Denis,France
2006-07,Italy,Milan,2-1,England,Liverpool,Olympic Stadium,Athens,Greece
2007-08,England,Manchester United,1-1*,England,Chelsea,Luzhniki Stadium,Moscow,Russia
2008-09,Spain,Barcelona,2-0,England,Manchester United,Stadio Olimpico,Rome,Italy
2009-10,Italy,Inter Milan,2-0,Germany,Bayern Munich,Santiago Bernabéu,Madrid,Spain
2010-11,Spain,Barcelona,3-1,England,Manchester United,Wembley Stadium,London,England
2011-12,England,Chelsea,1-1*,Germany,Bayern Munich,Allianz Arena,Munich,Germany
2012-13,Germany,Bayern Munich,2-1,Germany,Borussia Dortmund,Wembley Stadium,London,England
2013-14,Spain,Real Madrid,4-1,Spain,Atlético Madrid,Estádio da Luz,Lisbon,Portugal
2014-15,Spain,Barcelona,3-1,Italy,Juventus,Olympiastadion,Berlin,Germany
2015-16,Spain,Real Madrid,1-1*,Spain,Atlético Madrid,San Siro,Milan,Italy
2016-17,Spain,Real Madrid,4-1,Italy,Juventus,Millennium Stadium,Cardiff,Wales
2017-18,Spain,Real Madrid,3-1,England,Liverpool,NSC Olimpiyskiy Stadium,Kyiv,Ukraine
2018-19,England,Liverpool,2-0,England,Tottenham Hotspur,Metropolitano Stadium,Madrid,Spain
2019-20,Germany,Bayern Munich,1-0,France,Paris Saint-Germain,Estádio da Luz,Lisbon,Portugal[l]
2020-21,England,Chelsea,1-0,England,Manchester City,Estádio do Dragão,Porto,Portugal[n]
2021-22,Spain,Real Madrid,1-0,England,Liverpool,Stade de France,Saint-Denis,France[p]
