symbol,first,last,change,change_percentage
SGS,2.38,3.28,0.38,38
GDW,15.82,21.5,0.36,36
BVN,1.95,2.66,0.36,36
PMT,2.87,3.72,0.3,30
KTS,15.16,19.71,0.3,30
BMJ,3.28,4.25,0.3,30
HPT,3.3,4.22,0.28,28
VTA,1.1,1.4,0.27,27
WCS,12.02,15.19,0.26,26
VC2,3.73,4.7,0.26,26
OCH,5.38,6.58,0.22,22
CTC,5.96,7.28,0.22,22
VMC,2.52,3.05,0.21,21
L62,6.76,8.17,0.21,21
CKV,2.08,2.51,0.21,21
MCC,6.57,7.89,0.2,20
KST,0.99,1.19,0.2,20
IDV,1.64,1.96,0.2,20
PPS,2.75,3.27,0.19,19
PIV,6.65,7.94,0.19,19
LBE,1.29,1.54,0.19,19
HHC,6.12,7.26,0.19,19
GTH,5.14,6.14,0.19,19
VNF,5.11,5.99,0.17,17
VC1,2.91,3.41,0.17,17
ICF,4.1,4.8,0.17,17
CVT,0.93,1.09,0.17,17
VNT,3.5,4.07,0.16,16
TMX,3.73,4.31,0.16,16
SJS,15.37,17.78,0.16,16
PET,3.15,3.64,0.16,16
SHP,1.59,1.83,0.15,15
LUT,10.6,12.2,0.15,15
PVS,5.25,5.98,0.14,14
PVE,5.43,6.2,0.14,14
PTB,1.25,1.42,0.14,14
LM8,3.68,4.19,0.14,14
INC,1.5,1.71,0.14,14
V12,1.44,1.63,0.13,13
SJ1,4.54,5.14,0.13,13
SD1,3.8,4.3,0.13,13
L61,3.79,4.3,0.13,13
ELC,10.86,12.27,0.13,13
DBM,7.08,8.01,0.13,13
CTI,9.7,10.98,0.13,13
BLF,2.73,3.09,0.13,13
BDB,1.36,1.54,0.13,13
VKP,0.8,0.9,0.12,12
VC6,2.39,2.67,0.12,12
TTF,5.04,5.62,0.12,12
LCM,20.7,23.28,0.12,12
HDC,2.86,3.19,0.12,12
BTW,7.49,8.38,0.12,12
VCB,7.94,8.79,0.11,11
TNB,2.42,2.68,0.11,11
POT,4.58,5.1,0.11,11
IVS,3.79,4.22,0.11,11
HTI,1.85,2.05,0.11,11
FLC,10.38,11.53,0.11,11
TV2,0.29,0.32,0.1,10
SSM,2.71,2.99,0.1,10
SIC,1.36,1.5,0.1,10
SAV,4.65,5.1,0.1,10
S74,3.76,4.12,0.1,10
PXI,3.39,3.73,0.1,10
MHC,0.93,1.02,0.1,10
LTC,3.93,4.33,0.1,10
INN,3.41,3.75,0.1,10
HNM,4.13,4.53,0.1,10
HIG,5.45,5.99,0.1,10
