name,level,capital,subregion,region
Cần Thơ,municipality,Ninh Kiều,Mekong Delta,Southern
Hà Nội,municipality,Hoàn Kiếm,Red River Delta,Northern
Hải Phòng,municipality,Hồng Bàng,Red River Delta,Northern
Đà Nẵng,municipality,Hải Châu,South Central Coast,Central
Hồ Chí Minh,municipality,District 1,Southeast,Southern
Đắk Lắk,province,Buôn Ma Thuột,Central Highlands,Central
Đắk Nông,province,Gia Nghĩa,Central Highlands,Central
Gia Lai,province,Pleiku,Central Highlands,Central
Kon Tum,province,Kon Tum,Central Highlands,Central
Lâm Đồng,province,Đà Lạt,Central Highlands,Central
An Giang,province,Long Xuyên,Mekong Delta,Southern
Bạc Liêu,province,Bạc Liêu,Mekong Delta,Southern
Bến Tre,province,Bến Tre,Mekong Delta,Southern
Cà Mau,province,Cà Mau,Mekong Delta,Southern
Đồng Tháp,province,Cao Lãnh,Mekong Delta,Southern
Hậu Giang,province,Vị Thanh,Mekong Delta,Southern
Kiên Giang,province,Rạch Giá,Mekong Delta,Southern
Long An,province,Tân An,Mekong Delta,Southern
Sóc Trăng,province,Sóc Trăng,Mekong Delta,Southern
Tiền Giang,province,Mỹ Tho,Mekong Delta,Southern
Trà Vinh,province,Trà Vinh,Mekong Delta,Southern
Vĩnh Long,province,Vĩnh Long,Mekong Delta,Southern
Hà Tĩnh,province,Hà Tĩnh,North Central Coast,Central
Nghệ An,province,Vinh,North Central Coast,Central
Quảng Bình,province,Đồng Hới,North Central Coast,Central
Quảng Trị,province,Đông Hà,North Central Coast,Central
Thanh Hóa,province,Thanh Hóa,North Central Coast,Central
Thừa Thiên-Huế,province,Huế,North Central Coast,Central
Bắc Giang,province,Bắc Giang,Northeast,Northern
Bắc Kạn,province,Bắc Kạn,Northeast,Northern
Cao Bằng,province,Cao Bằng,Northeast,Northern
Hà Giang,province,Hà Giang,Northeast,Northern
Lạng Sơn,province,Lạng Sơn,Northeast,Northern
Phú Thọ,province,Việt Trì,Northeast,Northern
Quảng Ninh,province,Hạ Long,Northeast,Northern
Thái Nguyên,province,Thái Nguyên,Northeast,Northern
Tuyên Quang,province,Tuyên Quang,Northeast,Northern
Lào Cai,province,Lào Cai,Northeast,Northern
Yên Bái,province,Yên Bái,Northwest,Northern
Điện Biên,province,Điện Biên Phủ,Northwest,Northern
Hòa Bình,province,Hòa Bình,Northwest,Northern
Lai Châu,province,Lai Châu,Northwest,Northern
Sơn La,province,Sơn La,Northwest,Northern
Bắc Ninh,province,Bắc Ninh,Red River Delta,Northern
Hà Nam,province,Phủ Lý,Red River Delta,Northern
Hải Dương,province,Hải Dương,Red River Delta,Northern
Hưng Yên,province,Hưng Yên,Red River Delta,Northern
Nam Định,province,Nam Định,Red River Delta,Northern
Ninh Bình,province,Ninh Bình,Red River Delta,Northern
Thái Bình,province,Thái Bình,Red River Delta,Northern
Vĩnh Phúc,province,Vĩnh Yên,Red River Delta,Northern
Bình Định,province,Qui Nhơn,South Central Coast,Central
Bình Thuận,province,Phan Thiết,South Central Coast,Central
Khánh Hòa,province,Nha Trang,South Central Coast,Central
Ninh Thuận,province,Phan Rang-Tháp Chàm,South Central Coast,Central
Phú Yên,province,Tuy Hòa,South Central Coast,Central
Quảng Nam,province,Tam Kỳ,South Central Coast,Central
Quảng Ngãi,province,Quảng Ngãi,South Central Coast,Central
Bà Rịa-Vũng Tàu,province,Bà Rịa,Southeast,Southern
Bình Dương,province,Thủ Dầu Một,Southeast,Southern
Bình Phước,province,Đồng Xoài,Southeast,Southern
Đồng Nai,province,Biên Hòa,Southeast,Southern
Tây Ninh,province,Tây Ninh,Southeast,Southern
