code,type,description
11,Tỉnh,Cao Bằng
12,Tỉnh,Lạng Sơn
13,Tỉnh,Bắc Giang
14,Tỉnh,Quảng Ninh
15,Tỉnh,Hải Phòng
16,Tỉnh,Hải Phòng
17,Tỉnh,Thái Bình
18,Tỉnh,Nam Định
19,Tỉnh,Phú Thọ
20,Tỉnh,Thái Nguyên
21,Tỉnh,Yên Bái
22,Tỉnh,Tuyên Quang
23,Tỉnh,Hà Giang
24,Tỉnh,Lào Cai
25,Tỉnh,Lai Châu
26,Tỉnh,Sơn La
27,Tỉnh,Điện Biên
28,Tỉnh,Hòa Bình
29,Tỉnh,Hà Nội
30,Tỉnh,Hà Nội
31,Tỉnh,Hà Nội
32,Tỉnh,Hà Nội
33,Tỉnh,Hà Nội
34,Tỉnh,Hải Dương
35,Tỉnh,Ninh Bình
36,Tỉnh,Thanh Hóa
37,Tỉnh,Nghệ An
38,Tỉnh,Hà Tĩnh
39,Tỉnh,Đồng Nai
40,Tỉnh,Hà Nội
41,Tỉnh,Hồ Chí Minh
43,Tỉnh,Đà Nẵng
47,Tỉnh,Đắk Lắk
48,Tỉnh,Đắk Nông
49,Tỉnh,Lâm Đồng
50,Tỉnh,Hồ Chí Minh
51,Tỉnh,Hồ Chí Minh
52,Tỉnh,Hồ Chí Minh
53,Tỉnh,Hồ Chí Minh
54,Tỉnh,Hồ Chí Minh
55,Tỉnh,Hồ Chí Minh
56,Tỉnh,Hồ Chí Minh
57,Tỉnh,Hồ Chí Minh
58,Tỉnh,Hồ Chí Minh
59,Tỉnh,Hồ Chí Minh
60,Tỉnh,Đồng Nai
61,Tỉnh,Bình Dương
62,Tỉnh,Long An
63,Tỉnh,Tiền Giang
64,Tỉnh,Vĩnh Long
65,Tỉnh,Cần Thơ
66,Tỉnh,Đồng Tháp
67,Tỉnh,An Giang
68,Tỉnh,Kiên Giang
69,Tỉnh,Cà Mau
70,Tỉnh,Tây Ninh
71,Tỉnh,Bến Tre
72,Tỉnh,Bà Rịa - Vũng Tàu
73,Tỉnh,Quảng Bình
74,Tỉnh,Quảng Trị
75,Tỉnh,Thừa Thiên - Huế
76,Tỉnh,Quảng Ngãi
77,Tỉnh,Bình Định
78,Tỉnh,Phú Yên
79,Tỉnh,Khánh Hòa
80,Đặc Biệt,Chính Phủ
81,Tỉnh,Gia Lai
82,Tỉnh,Kon Tum
83,Tỉnh,Sóc Trăng
84,Tỉnh,Trà Vinh
85,Tỉnh,Ninh Thuận
86,Tỉnh,Bình Thuận
88,Tỉnh,Vĩnh Phúc
89,Tỉnh,Hưng Yên
90,Tỉnh,Hà Nam
92,Tỉnh,Quảng Nam
93,Tỉnh,Bình Phước
94,Tỉnh,Bạc Liêu
95,Tỉnh,Hậu Giang
97,Tỉnh,Bắc Kạn
98,Tỉnh,Bắc Giang
99,Tỉnh,Bắc Ninh
AA,Quân Đoàn,Quân đoàn 1 - Binh đoàn Quyết Thắng
AB,Quân Đoàn,Quân đoàn 2 - Binh đoàn Hương Giang
AC,Quân Đoàn,Quân đoàn 3 - Binh đoàn Tây Nguyên
AD,Quân Đoàn,Quân Đoàn 4 - Binh đoàn Cửu Long
AN,Quân Đoàn,Binh đoàn 15
AP,Quân Đoàn,Lữ đoàn M44
AT,Quân Đoàn,Binh đoàn 12 - Tổng công ty Trường Sơn
AV,Quân Đoàn,Binh đoàn 11 - Tổng Công Ty Xây Dựng Thành An
