symbol,first,last,change,change_percentage
DGT,2.53,5.13,1.03,103
ORS,1.6,3.0,0.87,87
VCT,5.6,10.4,0.86,86
APS,2.51,4.56,0.82,82
HHC,6.71,12.08,0.8,80
ND2,1.47,2.58,0.76,76
VCC,2.03,3.56,0.75,75
PTC,1.88,3.24,0.72,72
VIG,2.5,4.2,0.68,68
DPP,1.56,2.62,0.68,68
SDN,3.33,5.52,0.66,66
SGC,8.39,13.8,0.64,64
SBS,3.7,6.0,0.62,62
PHS,2.67,4.22,0.58,58
HOT,11.95,18.59,0.56,56
BST,2.6,4.04,0.55,55
MPC,2.77,4.24,0.53,53
APG,1.7,2.52,0.48,48
PPE,4.3,6.3,0.47,47
SAF,3.81,5.57,0.46,46
GHC,3.81,5.54,0.45,45
AGR,5.58,8.01,0.44,44
BDB,1.9,2.7,0.42,42
DIH,5.36,7.54,0.41,41
PFL,4.2,5.9,0.4,40
SCR,2.86,3.94,0.38,38
SDG,8.41,11.49,0.37,37
VSI,2.2,3.0,0.36,36
NBW,10.43,14.15,0.36,36
VES,2.0,2.7,0.35,35
SGD,1.89,2.53,0.34,34
NVT,2.7,3.6,0.33,33
LCD,2.41,3.21,0.33,33
CTS,2.73,3.62,0.33,33
VBC,1.92,2.54,0.32,32
TPH,1.68,2.22,0.32,32
THT,1.99,2.62,0.32,32
VNI,3.9,5.1,0.31,31
SMT,1.25,1.64,0.31,31
BBC,11.08,14.56,0.31,31
V11,2.3,3.0,0.3,30
PSP,3.55,4.63,0.3,30
JVC,14.45,18.83,0.3,30
CSM,3.19,4.16,0.3,30
BVH,43.95,57.32,0.3,30
SPC,9.14,11.78,0.29,29
KTT,3.1,4.0,0.29,29
CAD,0.7,0.9,0.29,29
VNS,5.95,7.62,0.28,28
TPC,3.06,3.93,0.28,28
CID,5.43,6.97,0.28,28
VTB,2.58,3.28,0.27,27
VTA,1.5,1.9,0.27,27
VCF,52.94,67.48,0.27,27
TDW,5.58,7.09,0.27,27
WCS,13.49,16.94,0.26,26
VHH,2.7,3.4,0.26,26
SMA,2.35,2.97,0.26,26
SCO,7.8,9.8,0.26,26
PSI,4.6,5.8,0.26,26
FBA,2.7,3.4,0.26,26
ECI,2.77,3.48,0.26,26
CII,11.04,13.94,0.26,26
QCC,1.33,1.66,0.25,25
KKC,3.62,4.54,0.25,25
BTP,1.57,1.96,0.25,25
SVT,3.24,4.01,0.24,24
HT1,2.07,2.57,0.24,24
BMP,7.73,9.59,0.24,24
VE3,1.99,2.44,0.23,23
LBE,2.1,2.58,0.23,23
DIC,5.96,7.33,0.23,23
CTD,16.89,20.73,0.23,23
ASP,2.02,2.49,0.23,23
AME,2.14,2.63,0.23,23
VTC,1.79,2.19,0.22,22
SD8,4.1,5.0,0.22,22
PXA,4.0,4.86,0.22,22
PPS,4.09,5.01,0.22,22
NTP,7.47,9.14,0.22,22
MIM,6.06,7.39,0.22,22
HPP,8.39,10.21,0.22,22
WSS,4.7,5.7,0.21,21
SSC,17.28,20.96,0.21,21
NOS,2.4,2.9,0.21,21
GLT,3.34,4.05,0.21,21
CAN,15.9,19.29,0.21,21
BSI,3.35,4.04,0.21,21
AAA,3.62,4.39,0.21,21
VNH,3.0,3.6,0.2,20
VC5,4.47,5.36,0.2,20
PNC,3.8,4.56,0.2,20
HEV,3.21,3.84,0.2,20
HAT,8.48,10.16,0.2,20
BLF,3.18,3.82,0.2,20
VPH,1.29,1.53,0.19,19
VIX,0.8,0.95,0.19,19
VFR,8.17,9.69,0.19,19
VCM,2.67,3.18,0.19,19
TRA,10.35,12.29,0.19,19
PMS,2.3,2.73,0.19,19
L18,2.84,3.37,0.19,19
KST,0.9,1.07,0.19,19
DPC,7.0,8.31,0.19,19
VNF,7.7,9.08,0.18,18
TKC,2.31,2.72,0.18,18
SDB,2.8,3.3,0.18,18
PJC,2.35,2.77,0.18,18
PCT,1.91,2.26,0.18,18
MDG,2.25,2.66,0.18,18
LCC,2.2,2.6,0.18,18
DRC,4.96,5.86,0.18,18
CYC,2.2,2.6,0.18,18
BTT,6.99,8.27,0.18,18
BKC,8.9,10.5,0.18,18
BCC,2.55,3.01,0.18,18
VKP,0.6,0.7,0.17,17
VDN,2.53,2.97,0.17,17
UNI,3.78,4.44,0.17,17
SJS,20.98,24.57,0.17,17
QHD,1.68,1.96,0.17,17
PGI,2.75,3.21,0.17,17
HVX,2.8,3.27,0.17,17
DID,4.5,5.28,0.17,17
BHC,4.1,4.8,0.17,17
TDN,2.58,2.99,0.16,16
TC6,3.15,3.64,0.16,16
SRC,2.47,2.87,0.16,16
PTB,1.46,1.7,0.16,16
PSG,3.8,4.4,0.16,16
PJT,1.59,1.84,0.16,16
HMC,2.29,2.66,0.16,16
DBM,9.94,11.49,0.16,16
BTS,3.2,3.71,0.16,16
ASA,10.72,12.46,0.16,16
ARM,4.28,4.96,0.16,16
VC3,2.13,2.44,0.15,15
VC2,4.06,4.66,0.15,15
PXI,4.69,5.38,0.15,15
PVA,9.2,10.6,0.15,15
PPC,3.42,3.95,0.15,15
PMT,6.84,7.86,0.15,15
ONE,1.84,2.11,0.15,15
NTL,7.37,8.45,0.15,15
NBC,2.26,2.6,0.15,15
LTC,4.64,5.35,0.15,15
KDC,9.03,10.38,0.15,15
HOM,3.8,4.36,0.15,15
HAP,1.56,1.79,0.15,15
DXV,3.69,4.24,0.15,15
CVT,1.32,1.52,0.15,15
BTW,7.34,8.45,0.15,15
BCE,2.28,2.63,0.15,15
VNE,3.32,3.8,0.14,14
VDS,2.36,2.68,0.14,14
V15,4.4,5.0,0.14,14
UIC,3.17,3.62,0.14,14
TTC,1.25,1.43,0.14,14
TIS,5.0,5.7,0.14,14
STT,4.84,5.5,0.14,14
RAL,10.82,12.32,0.14,14
PVV,4.9,5.6,0.14,14
PVL,5.1,5.8,0.14,14
PCG,3.49,3.97,0.14,14
LSS,13.29,15.12,0.14,14
LGC,4.08,4.67,0.14,14
DST,2.64,3.02,0.14,14
DNC,0.97,1.11,0.14,14
DHC,1.85,2.1,0.14,14
CTB,3.67,4.19,0.14,14
VC9,3.11,3.5,0.13,13
TYA,1.44,1.63,0.13,13
TV4,2.56,2.89,0.13,13
TV2,0.39,0.44,0.13,13
SSM,3.83,4.34,0.13,13
SHS,1.18,1.33,0.13,13
SHB,3.38,3.83,0.13,13
SFI,3.61,4.08,0.13,13
SDJ,4.6,5.2,0.13,13
POV,3.68,4.16,0.13,13
OCH,8.64,9.77,0.13,13
ITC,5.29,5.97,0.13,13
ITA,8.82,10.0,0.13,13
HTV,3.19,3.62,0.13,13
GMD,7.99,9.03,0.13,13
DQC,5.17,5.84,0.13,13
DBC,3.11,3.5,0.13,13
CX8,2.55,2.87,0.13,13
CTG,10.41,11.73,0.13,13
CLW,4.65,5.27,0.13,13
CIG,3.8,4.3,0.13,13
CCI,3.35,3.79,0.13,13
VND,1.18,1.32,0.12,12
VHC,5.8,6.5,0.12,12
VGS,2.48,2.78,0.12,12
TXM,2.39,2.68,0.12,12
TNT,2.87,3.21,0.12,12
TNB,2.31,2.58,0.12,12
TMP,3.12,3.49,0.12,12
TJC,1.82,2.04,0.12,12
STL,8.0,9.0,0.12,12
S99,3.61,4.03,0.12,12
HAD,6.1,6.84,0.12,12
DPR,15.42,17.33,0.12,12
BIC,3.85,4.33,0.12,12
AGF,9.66,10.85,0.12,12
VMC,3.89,4.32,0.11,11
VGP,6.39,7.09,0.11,11
SDY,2.7,3.0,0.11,11
SD4,2.84,3.16,0.11,11
MCO,3.8,4.2,0.11,11
MAC,1.97,2.19,0.11,11
GIL,6.35,7.02,0.11,11
EFI,4.97,5.5,0.11,11
DLG,16.31,18.06,0.11,11
DHA,4.21,4.66,0.11,11
CMC,4.4,4.9,0.11,11
BRC,4.15,4.59,0.11,11
VTV,1.72,1.89,0.1,10
VIE,11.0,12.1,0.1,10
VFC,5.04,5.53,0.1,10
VCS,1.95,2.14,0.1,10
VCG,6.67,7.36,0.1,10
VC7,3.14,3.45,0.1,10
V12,1.98,2.17,0.1,10
TLH,2.08,2.29,0.1,10
S55,4.25,4.68,0.1,10
RDP,2.75,3.02,0.1,10
PVT,2.18,2.39,0.1,10
PPI,4.35,4.78,0.1,10
MTG,3.83,4.21,0.1,10
MAS,1.33,1.46,0.1,10
LM3,3.1,3.4,0.1,10
HTI,2.05,2.25,0.1,10
CKV,2.8,3.09,0.1,10
CDC,2.39,2.64,0.1,10
BMC,13.71,15.02,0.1,10
VSH,6.16,6.71,0.09,9
VE2,2.29,2.5,0.09,9
SMB,3.49,3.82,0.09,9
SJM,3.3,3.6,0.09,9
SDU,6.93,7.52,0.09,9
SDA,4.56,4.95,0.09,9
PGT,3.4,3.7,0.09,9
NTB,4.3,4.7,0.09,9
ITD,2.38,2.59,0.09,9
HLA,4.5,4.9,0.09,9
DDN,4.64,5.06,0.09,9
CT6,5.13,5.58,0.09,9
BVS,9.7,10.53,0.09,9
WSB,9.54,10.3,0.08,8
TV3,2.25,2.42,0.08,8
TLG,2.44,2.63,0.08,8
TKU,2.15,2.32,0.08,8
TIG,1.47,1.59,0.08,8
TH1,19.48,21.09,0.08,8
TCR,5.33,5.76,0.08,8
SJE,2.35,2.53,0.08,8
SFN,3.45,3.71,0.08,8
SCJ,3.89,4.2,0.08,8
SCC,3.7,4.0,0.08,8
PVX,9.5,10.3,0.08,8
PMC,7.47,8.1,0.08,8
HDG,2.1,2.26,0.08,8
HBC,2.06,2.22,0.08,8
DBT,2.21,2.39,0.08,8
CPC,4.12,4.43,0.08,8
CLC,2.95,3.18,0.08,8
AVF,8.8,9.51,0.08,8
VLA,1.83,1.96,0.07,7
TST,5.65,6.03,0.07,7
TDC,2.76,2.96,0.07,7
TCT,8.29,8.91,0.07,7
SDT,3.16,3.37,0.07,7
SDP,4.17,4.48,0.07,7
SDD,4.5,4.8,0.07,7
SBT,6.01,6.44,0.07,7
PPP,3.6,3.84,0.07,7
NNC,3.94,4.22,0.07,7
LBM,1.66,1.78,0.07,7
KHA,4.55,4.89,0.07,7
HCM,2.87,3.08,0.07,7
GGG,2.7,2.9,0.07,7
EVE,7.85,8.42,0.07,7
ELC,10.09,10.82,0.07,7
CLG,10.74,11.52,0.07,7
C47,2.69,2.87,0.07,7
ABI,2.29,2.45,0.07,7
VSG,1.8,1.9,0.06,6
VNA,4.9,5.2,0.06,6
VIT,1.09,1.16,0.06,6
VE1,3.3,3.5,0.06,6
UDJ,2.55,2.71,0.06,6
TTP,24.3,25.76,0.06,6
TPP,1.39,1.47,0.06,6
TDH,4.88,5.19,0.06,6
SVC,3.19,3.37,0.06,6
SD2,3.89,4.13,0.06,6
PTL,4.9,5.2,0.06,6
PHH,4.52,4.79,0.06,6
PAN,4.11,4.37,0.06,6
OGC,10.94,11.61,0.06,6
LO5,3.59,3.79,0.06,6
LCS,9.66,10.26,0.06,6
LAS,4.96,5.28,0.06,6
L61,4.42,4.68,0.06,6
HVG,6.86,7.27,0.06,6
HLC,3.54,3.76,0.06,6
HAX,0.98,1.04,0.06,6
HAS,3.69,3.92,0.06,6
FPT,7.4,7.81,0.06,6
FMC,2.22,2.36,0.06,6
BVG,3.6,3.8,0.06,6
BT6,6.64,7.01,0.06,6
ANV,2.09,2.21,0.06,6
ALV,3.85,4.09,0.06,6
ADC,1.5,1.59,0.06,6
VXB,3.98,4.18,0.05,5
TNC,6.01,6.32,0.05,5
STB,14.95,15.77,0.05,5
SSI,4.78,5.0,0.05,5
SHC,3.8,4.0,0.05,5
SED,2.87,3.02,0.05,5
SD7,10.1,10.6,0.05,5
POT,5.42,5.7,0.05,5
PLC,4.08,4.3,0.05,5
LUT,7.6,8.0,0.05,5
HLG,9.85,10.32,0.05,5
DAG,2.2,2.3,0.05,5
DAE,3.05,3.21,0.05,5
DAD,2.57,2.69,0.05,5
CTN,4.42,4.62,0.05,5
COM,11.93,12.52,0.05,5
API,1.75,1.84,0.05,5
AMV,1.73,1.81,0.05,5
VNG,5.16,5.35,0.04,4
VHG,3.13,3.27,0.04,4
VFG,6.1,6.34,0.04,4
TV1,4.49,4.69,0.04,4
TIX,5.72,5.93,0.04,4
SMC,3.25,3.38,0.04,4
SIC,1.92,2.0,0.04,4
SEB,1.98,2.06,0.04,4
SAM,2.35,2.44,0.04,4
REE,6.5,6.75,0.04,4
RCL,5.37,5.61,0.04,4
PXS,4.67,4.88,0.04,4
PXL,4.9,5.1,0.04,4
NT2,1.8,1.88,0.04,4
MDC,3.63,3.78,0.04,4
L44,5.18,5.39,0.04,4
L35,2.54,2.65,0.04,4
ICI,2.94,3.07,0.04,4
HPB,4.52,4.68,0.04,4
EID,2.81,2.93,0.04,4
DHG,21.42,22.29,0.04,4
DCT,4.9,5.1,0.04,4
DCS,5.4,5.6,0.04,4
DC2,3.92,4.08,0.04,4
D11,7.28,7.58,0.04,4
CAP,1.17,1.22,0.04,4
C92,4.96,5.16,0.04,4
ALT,5.68,5.91,0.04,4
ACC,4.98,5.17,0.04,4
VNC,5.87,6.07,0.03,3
VID,2.27,2.33,0.03,3
TTG,1.72,1.78,0.03,3
TRC,17.82,18.38,0.03,3
SZL,5.67,5.85,0.03,3
SJD,2.54,2.61,0.03,3
SHI,2.08,2.14,0.03,3
SD6,4.39,4.5,0.03,3
SD1,6.5,6.7,0.03,3
RIC,5.8,6.0,0.03,3
PXM,5.8,6.0,0.03,3
PVR,6.4,6.6,0.03,3
PSB,3.8,3.9,0.03,3
PET,4.06,4.18,0.03,3
NKG,2.8,2.87,0.03,3
NHC,5.08,5.24,0.03,3
NAV,3.01,3.1,0.03,3
MHC,1.2,1.24,0.03,3
KMT,3.5,3.61,0.03,3
KMR,2.81,2.89,0.03,3
DLR,7.31,7.56,0.03,3
CMT,6.9,7.1,0.03,3
VTS,17.0,17.4,0.02,2
VTO,1.91,1.95,0.02,2
VNM,15.77,16.03,0.02,2
VNL,4.47,4.57,0.02,2
VCB,11.95,12.2,0.02,2
SPM,27.34,27.97,0.02,2
SJ1,4.47,4.56,0.02,2
SD9,4.22,4.31,0.02,2
SD3,4.0,4.09,0.02,2
SC5,6.88,7.05,0.02,2
SBA,1.81,1.85,0.02,2
SAP,4.15,4.24,0.02,2
QTC,2.31,2.35,0.02,2
PSC,3.64,3.7,0.02,2
PAC,4.39,4.48,0.02,2
OPC,4.68,4.78,0.02,2
NBB,13.88,14.11,0.02,2
MKV,4.52,4.61,0.02,2
MDF,3.19,3.26,0.02,2
LIX,4.54,4.61,0.02,2
LIG,3.75,3.84,0.02,2
LHC,1.89,1.93,0.02,2
