code,name
DZA,Algeria
BHR,Bahrain
COM,Comoros
DJI,Djibouti
EGY,Egypt
IRQ,Iraq
JOR,Jordan
KWT,Kuwait
LBN,Lebanon
LBY,Libya
MRT,Mauritania
MAR,Morocco
OMN,Oman
PSE,Palestine
QAT,Qatar
SAU,Saudi Arabia
SOM,Somalia
SDN,Sudan
SYR,Syria
TUN,Tunisia
ARE,United Arab Emirates
YEM,Yemen
