,available_date,product_code,capital
0,2023-02-28,fuevfvnd,dragon-capital
1,2023-01-31,fuevfvnd,dragon-capital
2,2022-12-31,fuevfvnd,dragon-capital
3,2022-11-30,fuevfvnd,dragon-capital
4,2022-10-31,fuevfvnd,dragon-capital
5,2022-09-30,fuevfvnd,dragon-capital
6,2022-08-31,fuevfvnd,dragon-capital
7,2022-07-31,fuevfvnd,dragon-capital
8,2022-06-30,fuevfvnd,dragon-capital
9,2022-05-31,fuevfvnd,dragon-capital
10,2022-04-30,fuevfvnd,dragon-capital
11,2022-03-31,fuevfvnd,dragon-capital
12,2022-02-28,fuevfvnd,dragon-capital
13,2022-01-31,fuevfvnd,dragon-capital
14,2021-12-31,fuevfvnd,dragon-capital
15,2021-11-30,fuevfvnd,dragon-capital
16,2021-10-31,fuevfvnd,dragon-capital
17,2021-09-30,fuevfvnd,dragon-capital
18,2021-08-31,fuevfvnd,dragon-capital
19,2021-07-31,fuevfvnd,dragon-capital
20,2021-06-30,fuevfvnd,dragon-capital
21,2021-05-31,fuevfvnd,dragon-capital
22,2021-04-30,fuevfvnd,dragon-capital
23,2021-03-31,fuevfvnd,dragon-capital
24,2021-02-28,fuevfvnd,dragon-capital
25,2021-01-31,fuevfvnd,dragon-capital
26,2020-12-31,fuevfvnd,dragon-capital
27,2020-11-30,fuevfvnd,dragon-capital
28,2020-10-31,fuevfvnd,dragon-capital
29,2020-09-30,fuevfvnd,dragon-capital
30,2020-08-31,fuevfvnd,dragon-capital
31,2020-07-31,fuevfvnd,dragon-capital
32,2020-06-30,fuevfvnd,dragon-capital
33,2020-05-31,fuevfvnd,dragon-capital
34,2020-04-30,fuevfvnd,dragon-capital
