,id,fund_id,created,modified,stock,sector_vi,sector_en,bourse_vi,bourse_en,per_nav,data_index_id,shares,market_value,foreign_ownership
0,7460,8,2023-02-28 00:00:00,2023-03-13 07:24:32,FPT,,,,,16.40,6092,37239034,2998.00,100.00
1,7461,8,2023-02-28 00:00:00,2023-03-13 07:24:32,MWG,,,,,14.90,6092,68137840,2726.00,100.00
2,7462,8,2023-02-28 00:00:00,2023-03-13 07:24:32,PNJ,,,,,13.10,6092,31155004,2396.00,100.00
3,7463,8,2023-02-28 00:00:00,2023-03-13 07:24:32,TCB,,,,,8.50,6092,58986200,1563.00,100.00
4,7464,8,2023-02-28 00:00:00,2023-03-13 07:24:32,ACB,,,,,7.40,6092,55659516,1358.00,100.00
5,7465,8,2023-02-28 00:00:00,2023-03-13 07:24:32,REE,,,,,7.30,6092,19798184,1342.00,100.00
6,7466,8,2023-02-28 00:00:00,2023-03-13 07:24:32,MBB,,,,,6.10,6092,64269220,1109.00,100.00
7,7467,8,2023-02-28 00:00:00,2023-03-13 07:24:32,VPB,,,,,5.70,6092,61089116,1042.00,100.00
8,7468,8,2023-02-28 00:00:00,2023-03-13 07:24:32,GMD,,,,,5.10,6092,19242350,941.00,99.40
9,7469,8,2023-02-28 00:00:00,2023-03-13 07:24:32,TPB,,,,,3.10,6092,24473125,570.00,99.90
10,7470,8,2023-02-28 00:00:00,2023-03-13 07:24:32,VIB,,,,,3.00,6092,27091304,557.00,100.00
11,7471,8,2023-02-28 00:00:00,2023-03-13 07:24:32,MSB,,,,,2.70,6092,40676987,490.00,99.90
12,7472,8,2023-02-28 00:00:00,2023-03-13 07:24:32,KDH,,,,,1.80,6092,13067002,333.00,73.40
13,7473,8,2023-02-28 00:00:00,2023-03-13 07:24:32,OCB,,,,,1.60,6092,18322900,298.00,97.90
14,7474,8,2023-02-28 00:00:00,2023-03-13 07:24:32,CTG,,,,,1.40,6092,9630915,264.00,93.50
15,7475,8,2023-02-28 00:00:00,2023-03-13 07:24:32,NLG,,,,,0.60,6092,4572388,118.00,91.60
16,7476,8,2023-02-28 00:00:00,2023-03-13 07:24:32,EIB,,,,,0.60,6092,5616360,101.00,26.30
17,7477,8,2023-02-28 00:00:00,2023-03-13 07:24:32,DHC,,,,,0.20,6092,987915,37.00,70.70
18,7332,8,2023-01-31 00:00:00,2023-02-27 08:32:29,FPT,,,,,15.70,6006,38405934,3207.00,100.00
19,7333,8,2023-01-31 00:00:00,2023-02-27 08:32:29,PNJ,,,,,14.40,6006,32684504,2948.00,99.80
20,7334,8,2023-01-31 00:00:00,2023-02-27 08:32:29,MWG,,,,,12.60,6006,55268740,2570.00,100.00
21,7335,8,2023-01-31 00:00:00,2023-02-27 08:32:29,TCB,,,,,9.10,6006,63040700,1853.00,100.00
22,7336,8,2023-01-31 00:00:00,2023-02-27 08:32:29,REE,,,,,7.60,6006,20722184,1546.00,100.00
23,7337,8,2023-01-31 00:00:00,2023-02-27 08:32:29,ACB,,,,,7.50,6006,59028016,1538.00,100.00
24,7338,8,2023-01-31 00:00:00,2023-02-27 08:32:29,MBB,,,,,6.60,6006,69306220,1355.00,100.00
25,7339,8,2023-01-31 00:00:00,2023-02-27 08:32:29,VPB,,,,,6.30,6006,65756216,1279.00,100.00
26,7340,8,2023-01-31 00:00:00,2023-02-27 08:32:29,GMD,,,,,3.90,6006,14981250,794.00,100.00
27,7341,8,2023-01-31 00:00:00,2023-02-27 08:32:29,MSB,,,,,3.20,6006,47995687,648.00,99.30
28,7342,8,2023-01-31 00:00:00,2023-02-27 08:32:29,TPB,,,,,3.00,6006,24616925,615.00,100.00
29,7343,8,2023-01-31 00:00:00,2023-02-27 08:32:29,VIB,,,,,2.90,6006,24709804,582.00,100.00
30,7344,8,2023-01-31 00:00:00,2023-02-27 08:32:29,KDH,,,,,1.70,6006,12173502,341.00,75.70
31,7345,8,2023-01-31 00:00:00,2023-02-27 08:32:29,CTG,,,,,1.50,6006,9888815,302.00,93.60
32,7346,8,2023-01-31 00:00:00,2023-02-27 08:32:29,OCB,,,,,1.20,6006,13347200,251.00,97.70
33,7347,8,2023-01-31 00:00:00,2023-02-27 08:32:29,EIB,,,,,0.80,6006,5895500,153.00,27.40
34,7348,8,2023-01-31 00:00:00,2023-02-27 08:32:29,NLG,,,,,0.70,6006,4567588,133.00,92.30
35,7349,8,2023-01-31 00:00:00,2023-02-27 08:32:29,DHC,,,,,0.20,6006,987515,38.00,70.00
36,7126,8,2022-12-31 00:00:00,2023-01-18 07:38:50,PNJ,,,,,16.00,5886,32127804,2888.00,100.00
37,7127,8,2022-12-31 00:00:00,2023-01-18 07:38:50,FPT,,,,,15.80,5886,37146734,2857.00,100.00
38,7128,8,2022-12-31 00:00:00,2023-01-18 07:38:50,MWG,,,,,12.50,5886,52516240,2253.00,100.00
39,7129,8,2022-12-31 00:00:00,2023-01-18 07:38:50,TCB,,,,,8.70,5886,60775700,1571.00,100.00
40,7130,8,2022-12-31 00:00:00,2023-01-18 07:38:50,REE,,,,,8.10,5886,20568684,1471.00,100.00
41,7131,8,2022-12-31 00:00:00,2023-01-18 07:38:50,ACB,,,,,6.90,5886,57383816,1257.00,100.00
42,7132,8,2022-12-31 00:00:00,2023-01-18 07:38:50,VPB,,,,,6.40,5886,64840216,1161.00,100.00
43,7133,8,2022-12-31 00:00:00,2023-01-18 07:38:50,MBB,,,,,6.40,5886,67769420,1159.00,100.00
44,7134,8,2022-12-31 00:00:00,2023-01-18 07:38:50,GMD,,,,,3.60,5886,14437650,655.00,100.00
45,7135,8,2022-12-31 00:00:00,2023-01-18 07:38:50,MSB,,,,,3.40,5886,49065487,613.00,99.70
46,7136,8,2022-12-31 00:00:00,2023-01-18 07:38:50,TPB,,,,,2.80,5886,23960925,504.00,100.00
47,7137,8,2022-12-31 00:00:00,2023-01-18 07:38:50,VIB,,,,,2.50,5886,23603804,448.00,100.00
48,7138,8,2022-12-31 00:00:00,2023-01-18 07:38:50,KDH,,,,,1.70,5886,11771702,312.00,75.00
49,7139,8,2022-12-31 00:00:00,2023-01-18 07:38:50,CTG,,,,,1.50,5886,9673115,264.00,92.80
50,7140,8,2022-12-31 00:00:00,2023-01-18 07:38:50,OCB,,,,,1.30,5886,12916700,233.00,97.50
51,7141,8,2022-12-31 00:00:00,2023-01-18 07:38:50,EIB,,,,,0.90,5886,5823300,163.00,63.10
