state,no,name,party,start,end
Arizona,1,George W. P. Hunt,Democratic,14-02-1912,01-01-1917
Arizona,2,Thomas Edward Campbell,Republican,01-01-1917,25-12-1917
Arizona,(1),George W. P. Hunt,Democratic,25-12-1917,06-01-1919
Arizona,(2),Thomas Edward Campbell,Republican,06-01-1919,01-01-1923
Arizona,(1),George W. P. Hunt,Democratic,01-01-1923,07-01-1929
Arizona,3,John Calhoun Phillips,Republican,07-01-1929,05-01-1931
Arizona,1,George W. P. Hunt,Democratic,05-01-1931,02-01-1933
Arizona,4,Benjamin Baker Moeur,Democratic,02-01-1933,04-01-1937
Arizona,5,Rawghlie Clement Stanford,Democratic,04-01-1937,02-01-1939
Arizona,6,Robert Taylor Jones,Democratic,02-01-1939,06-01-1941
Arizona,7,Sidney Preston Osborn,Democratic,06-01-1941,25-05-1948
Arizona,8,Dan Edward Garvey,Democratic,25-05-1948,01-01-1951
Arizona,9,John Howard Pyle,Republican,01-01-1951,03-01-1955
Arizona,10,Ernest McFarland,Democratic,03-01-1955,05-01-1959
Arizona,11,Paul Fannin,Republican,05-01-1959,04-01-1965
Arizona,12,Samuel Pearson Goddard Jr.,Democratic,04-01-1965,02-01-1967
Arizona,13,Jack Williams,Republican,02-01-1967,06-01-1975
Arizona,14,Raúl Héctor Castro,Democratic,06-01-1975,20-10-1977
Arizona,15,Wesley Bolin,Democratic,20-10-1977,04-03-1978
Arizona,16,Bruce Babbitt,Democratic,04-03-1978,05-01-1987
Arizona,17,Evan Mecham,Republican,05-01-1987,04-04-1988
Arizona,18,Rose Mofford,Democratic,04-04-1988,06-03-1991
Arizona,19,Fife Symington,Republican,06-03-1991,05-09-1997
Arizona,20,Jane Dee Hull,Republican,05-09-1997,06-01-2003
Arizona,21,Janet Napolitano,Democratic,06-01-2003,02-011-2009
Arizona,22,Jan Brewer,Republican,02-011-2009,05-01-2015
Arizona,23,Doug Ducey,Republican,05-01-2015,02-01-2023
Arizona,24,Katie Hobbs,Democratic,02-01-2023,incumbent
