symbol,first,last,change,change_percentage
DC1,2.08,9.92,3.77,377
HSA,14.0,35.0,1.5,150
HFC,10.26,22.88,1.23,123
QHW,11.59,23.67,1.04,104
TGP,4.5,9.08,1.02,102
VHF,8.1,16.11,0.99,99
VNI,5.6,11.0,0.96,96
VNH,1.04,1.9,0.83,83
PIA,6.22,10.78,0.73,73
SGH,17.0,28.5,0.68,68
SRA,1.43,2.34,0.64,64
SEA,11.1,17.97,0.62,62
PMT,3.29,5.24,0.59,59
VFC,7.0,10.9,0.56,56
BMC,11.65,17.93,0.54,54
SPH,5.73,8.7,0.52,52
NTB,0.6,0.9,0.5,50
QCG,3.88,5.77,0.49,49
DAC,11.9,17.7,0.49,49
BWA,4.35,6.49,0.49,49
SDP,4.7,6.9,0.47,47
TV3,9.76,14.14,0.45,45
PHH,9.9,14.4,0.45,45
TPS,11.8,17.05,0.44,44
MH3,9.08,12.89,0.42,42
MDG,6.79,9.66,0.42,42
KAC,11.26,16.03,0.42,42
API,7.43,10.58,0.42,42
VCX,1.7,2.4,0.41,41
QSP,4.96,6.95,0.4,40
RCD,15.82,22.05,0.39,39
VIN,7.59,10.5,0.38,38
NAV,4.17,5.65,0.35,35
SJC,4.1,5.5,0.34,34
DHT,16.88,22.56,0.34,34
VE1,6.0,8.0,0.33,33
STC,14.9,19.77,0.33,33
HNG,8.75,11.6,0.33,33
APG,2.46,3.28,0.33,33
HPT,3.3,4.35,0.32,32
HPP,28.51,37.57,0.32,32
DPG,9.87,12.98,0.32,32
SPC,10.48,13.76,0.31,31
HAX,8.77,11.45,0.31,31
SAV,2.54,3.29,0.3,30
PVI,16.52,21.41,0.3,30
INC,2.73,3.54,0.3,30
TNM,2.84,3.67,0.29,29
PVO,4.95,6.38,0.29,29
CTT,3.61,4.64,0.29,29
CSC,8.41,10.82,0.29,29
BTG,4.47,5.78,0.29,29
SWC,8.29,10.58,0.28,28
RTB,7.13,9.15,0.28,28
PEC,6.04,7.74,0.28,28
COM,39.75,50.79,0.28,28
SPV,5.19,6.61,0.27,27
SP2,4.0,5.1,0.27,27
PJC,10.31,13.1,0.27,27
SLS,56.6,71.55,0.26,26
LCG,2.98,3.75,0.26,26
VDL,24.85,30.99,0.25,25
PFL,1.2,1.5,0.25,25
OCH,4.4,5.5,0.25,25
DXG,8.24,10.28,0.25,25
CMS,4.59,5.76,0.25,25
CAD,0.4,0.5,0.25,25
YBC,1.7,2.1,0.24,24
TTD,29.85,37.13,0.24,24
PDR,4.15,5.14,0.24,24
HU4,2.72,3.37,0.24,24
HNF,12.88,15.94,0.24,24
DMC,60.27,74.69,0.24,24
VQC,6.02,7.38,0.23,23
SDB,1.3,1.6,0.23,23
HNP,14.91,18.28,0.23,23
AMV,4.61,5.65,0.23,23
VWS,12.47,15.27,0.22,22
VCA,3.57,4.37,0.22,22
TTF,5.96,7.3,0.22,22
MBS,2.98,3.63,0.22,22
SHS,1.62,1.96,0.21,21
HKT,4.27,5.18,0.21,21
DHG,62.83,75.74,0.21,21
AMP,11.21,13.61,0.21,21
ALT,10.1,12.26,0.21,21
XHC,7.3,8.76,0.2,20
VDS,3.27,3.91,0.2,20
SDU,13.67,16.4,0.2,20
QPH,7.66,9.19,0.2,20
INN,26.04,31.2,0.2,20
HLB,22.05,26.45,0.2,20
DC2,3.73,4.46,0.2,20
VND,2.15,2.55,0.19,19
VHG,2.26,2.7,0.19,19
VEF,51.0,60.8,0.19,19
ONW,11.8,14.0,0.19,19
L63,5.23,6.21,0.19,19
L45,2.6,3.1,0.19,19
DPP,7.4,8.78,0.19,19
CKD,6.7,7.94,0.19,19
TTH,4.08,4.81,0.18,18
NDF,2.2,2.6,0.18,18
HEM,7.68,9.06,0.18,18
HCT,13.31,15.65,0.18,18
DNW,8.0,9.45,0.18,18
SGR,15.21,17.75,0.17,17
SAC,6.31,7.36,0.17,17
QCC,4.3,5.01,0.17,17
ITC,7.52,8.83,0.17,17
IMP,30.74,36.03,0.17,17
HHS,3.12,3.64,0.17,17
HHC,35.9,42.0,0.17,17
EMC,12.37,14.46,0.17,17
D11,6.83,8.0,0.17,17
BTT,23.95,28.02,0.17,17
VLG,3.54,4.11,0.16,16
VHC,19.59,22.64,0.16,16
TET,21.83,25.42,0.16,16
SD2,6.19,7.21,0.16,16
NLG,12.42,14.37,0.16,16
HD2,5.58,6.5,0.16,16
GEG,7.39,8.56,0.16,16
AGR,3.15,3.64,0.16,16
SSM,14.06,16.16,0.15,15
PCT,7.17,8.25,0.15,15
MSN,33.18,38.07,0.15,15
HBD,8.74,10.06,0.15,15
GIL,16.05,18.46,0.15,15
DTT,6.58,7.56,0.15,15
CCI,7.3,8.43,0.15,15
CAV,34.16,39.17,0.15,15
BT1,10.07,11.54,0.15,15
VSG,1.4,1.6,0.14,14
VLF,0.7,0.8,0.14,14
TTP,57.99,66.01,0.14,14
TTC,10.49,11.97,0.14,14
TDH,6.51,7.41,0.14,14
SAF,25.08,28.56,0.14,14
PPP,7.82,8.91,0.14,14
PPI,2.39,2.72,0.14,14
PDC,3.7,4.2,0.14,14
MTH,14.71,16.72,0.14,14
HT1,13.15,15.03,0.14,14
DBT,10.51,11.99,0.14,14
CTB,12.8,14.61,0.14,14
VTH,5.43,6.15,0.13,13
VNR,14.29,16.13,0.13,13
VC6,5.19,5.87,0.13,13
TDM,11.38,12.81,0.13,13
SGN,78.63,88.95,0.13,13
PMS,14.67,16.61,0.13,13
NNG,8.5,9.6,0.13,13
KDH,10.34,11.7,0.13,13
HPB,8.22,9.26,0.13,13
HBC,19.49,22.11,0.13,13
ANV,2.52,2.86,0.13,13
VGP,22.05,24.74,0.12,12
VES,0.8,0.9,0.12,12
STB,10.2,11.45,0.12,12
SSI,9.31,10.47,0.12,12
SMA,4.48,5.01,0.12,12
PVL,2.6,2.9,0.12,12
PMC,54.61,61.23,0.12,12
NKG,11.07,12.35,0.12,12
MIM,2.14,2.4,0.12,12
MCO,1.6,1.8,0.12,12
KSH,2.04,2.28,0.12,12
KDC,29.62,33.18,0.12,12
IBC,23.63,26.58,0.12,12
HPG,6.38,7.15,0.12,12
HAG,8.15,9.15,0.12,12
CII,31.88,35.66,0.12,12
VJC,64.92,72.0,0.11,11
VGS,6.92,7.69,0.11,11
UNI,3.6,4.0,0.11,11
TV2,14.33,15.84,0.11,11
SCJ,1.9,2.1,0.11,11
PXL,1.9,2.1,0.11,11
NTP,29.51,32.74,0.11,11
KSB,26.5,29.31,0.11,11
HVT,18.19,20.13,0.11,11
HUT,9.27,10.32,0.11,11
HCC,11.37,12.59,0.11,11
HAR,2.93,3.24,0.11,11
D2D,9.63,10.65,0.11,11
CTS,4.34,4.83,0.11,11
VNM,71.71,78.56,0.1,10
VIT,9.4,10.34,0.1,10
VIF,10.8,11.92,0.1,10
THG,16.13,17.7,0.1,10
SRB,1.0,1.1,0.1,10
SMC,10.34,11.35,0.1,10
SFG,9.03,9.9,0.1,10
REE,18.21,20.09,0.1,10
PTS,3.13,3.44,0.1,10
PCG,7.7,8.5,0.1,10
PAC,22.62,24.99,0.1,10
MHC,3.91,4.31,0.1,10
MBB,5.29,5.82,0.1,10
LBE,5.97,6.55,0.1,10
HIG,3.57,3.91,0.1,10
CTP,12.19,13.4,0.1,10
CTI,19.86,21.9,0.1,10
BVG,1.0,1.1,0.1,10
ALV,2.73,3.0,0.1,10
ABI,15.06,16.54,0.1,10
VTB,8.73,9.53,0.09,9
VOC,17.31,18.84,0.09,9
VCC,8.42,9.16,0.09,9
VC1,8.26,8.97,0.09,9
TCH,9.09,9.91,0.09,9
SDK,14.93,16.22,0.09,9
RCC,6.57,7.15,0.09,9
IDI,2.39,2.6,0.09,9
HND,5.8,6.31,0.09,9
HDG,8.29,9.0,0.09,9
DLR,6.75,7.37,0.09,9
DGW,3.68,4.02,0.09,9
BMP,69.51,75.65,0.09,9
BDG,8.53,9.28,0.09,9
APS,2.23,2.42,0.09,9
VSA,12.25,13.26,0.08,8
VGC,10.64,11.44,0.08,8
VCS,44.59,48.0,0.08,8
VCM,14.24,15.34,0.08,8
VBC,16.96,18.26,0.08,8
TVN,7.4,8.0,0.08,8
TVM,5.94,6.44,0.08,8
