season,name,position,club,country,continent
1994/1995,Alan Shearer,Forward,Blackburn Rovers,England,Europe
1995/1996,Peter Schmeichel,Goalkeeper,Manchester United,Denmark,Europe
1996/1997,Juninho,Midfielder,Middlesbrough,Brazil,South America
1997/1998,Michael Owen,Forward,Liverpool,England,Europe
1998/1999,Dwight Yorke,Forward,Manchester United,Trinidad and Tobago,North America
1999/2000,Kevin Phillips,Forward,Sunderland,England,Europe
2000/2001,Patrick Vieira,Midfielder,Arsenal,France,Europe
2001/2002,Freddie Ljungberg,Midfielder,Arsenal,Sweden,Europe
2002/2003,Ruud van Nistelrooy,Forward,Manchester United,Netherlands,Europe
2003/2004,Thierry Henry,Forward,Arsenal,France,Europe
2004/2005,Frank Lampard,Midfielder,Chelsea,England,Europe
2005/2006,Thierry Henry,Forward,Arsenal,France,Europe
2006/2007,Cristiano Ronaldo,Forward,Manchester United,Portugal,Europe
2007/2008,Cristiano Ronaldo,Forward,Manchester United,Portugal,Europe
2008/2009,Nemanja Vidić,Defender,Manchester United,Serbia,Europe
2009/2010,Wayne Rooney,Forward,Manchester United,England,Europe
2010/2011,Nemanja Vidić,Defender,Manchester United,Serbia,Europe
2011/2012,Vincent Kompany,Defender,Manchester City,Belgium,Europe
2012/2013,Gareth Bale,Midfielder,Tottenham Hotspur,Wales,Europe
2013/2014,Luis Suárez,Forward,Liverpool,Uruguay,South America
2014/2015,Eden Hazard,Midfielder,Chelsea,Belgium,Europe
2015/2016,Jamie Vardy,Midfielder,Leicester City,England,Europe
2016/2017,N'Golo Kanté,Midfielder,Chelsea,France,Europe
2017/2018,Mohamed Salah,Forward,Liverpool,Egypt,Africa
2018/2019,Virgil van Dijk,Defender,Liverpool,Netherlands,Europe
2019/2020,Kevin De Bruyne,Midfielder,Manchester City,Belgium,Europe
2020/2021,Rúben Dias,Defender,Manchester City,Portugal,Europe
2021/2022,Kevin De Bruyne,Midfielder,Manchester City,Belgium,Europe
