season,name,club,goals,country,continent
1992/1993,Teddy Sheringham,Tottenham Hotspur,22,England,Europe
1993/1994,Andy Cole,Newcastle United,34,England,Europe
1994/1995,Alan Shearer,Blackburn Rovers,34,England,Europe
1995/1996,Alan Shearer,Blackburn Rovers,31,England,Europe
1996/1997,Alan Shearer,Newcastle United,25,England,Europe
1997/1998,Dion Dublin,Coventry City,18,England,Europe
1997/1998,Michael Owen,Liverpool,18,England,Europe
1997/1998,Chris Sutton,Blackburn Rovers,18,England,Europe
1998/1999,Jimmy Floyd Hasselbaink,Leeds United,18,Netherlands,Europe
1998/1999,Michael Owen,Liverpool,18,England,Europe
1998/1999,Dwight Yorke,Manchester United,18,Trinidad and Tobago,North America
1999/2000,Kevin Phillips,Sunderland,30,England,Europe
2000/2001,Jimmy Floyd Hasselbaink,Chelsea,23,Netherlands,Europe
2001/2002,Thierry Henry,Arsenal,24,France,Europe
2002/2003,Ruud van Nistelrooy,Manchester United,25,Netherlands,Europe
2003/2004,Thierry Henry,Arsenal,30,France,Europe
2004/2005,Thierry Henry,Arsenal,25,France,Europe
2005/2006,Thierry Henry,Arsenal,27,France,Europe
2006/2007,Didier Drogba,Chelsea,20,Ivory Coast,Africa
2007/2008,Cristiano Ronaldo,Manchester United,31,Portugal,Europe
2008/2009,Nicolas Anelka,Chelsea,19,France,Europe
2009/2010,Didier Drogba,Chelsea,29,Ivory Coast,Africa
2010/2011,Dimitar Berbatov,Manchester United,20,Bulgaria,Europe
2010/2011,Carlos Tevez,Manchester City,20,Argentina,South America
2011/2012,Robin Van Persie,Arsenal,30,Netherlands,Europe
2012/2013,Robin Van Persie,Manchester United,26,Netherlands,Europe
2013/2014,Luis Suárez,Liverpool,31,Uruguay,South America
2014/2015,Sergio Agüero,Manchester City,26,Argentina,South America
2015/2016,Harry Kane,Tottenham Hotspur,25,England,Europe
2016/2017,Harry Kane,Tottenham Hotspur,29,England,Europe
2017/2018,Mohamed Salah,Liverpool,32,Egypt,Africa
2018/2019,Mohamed Salah,Liverpool,22,Egypt,Africa
2018/2019,Sadio Mané,Liverpool,22,Senegal,Africa
2018/2019,Pierre-Emerick Aubameyang,Arsenal,22,Gabon,Africa
2019/2020,Jamie Vardy,Leicester City,23,England,Europe
2020/2021,Harry Kane,Tottenham Hotspur,23,England,Europe
2021/2022,Mohamed Salah,Liverpool,23,Egypt,Africa
2021/2022,Son Heung-min,Tottenham Hotspur,23,South Korea,Asia
