symbol,first,last,change,change_percentage
TS4,7.18,8.07,0.12,12
VSH,3.02,3.25,0.08,8
DHA,8.13,8.46,0.04,4
SSC,16.93,17.39,0.03,3
BT6,30.98,31.9,0.03,3
TMS,7.03,7.14,0.02,2
SFC,6.6,6.72,0.02,2
REE,2.64,2.69,0.02,2
TNA,2.5,2.52,0.01,1
SAV,7.72,7.77,0.01,1
SAM,3.59,3.64,0.01,1
PNC,11.11,11.18,0.01,1
LAF,44.5,45.1,0.01,1
HAS,23.6,23.74,0.01,1
HAP,5.42,5.49,0.01,1
GMD,9.1,9.17,0.01,1
BBT,11.7,11.8,0.01,1
BBC,15.62,15.77,0.01,1
AGF,20.56,20.75,0.01,1
MHC,9.17,9.21,0.0,0
KHA,12.44,12.34,-0.01,-1
SGH,3.81,3.72,-0.02,-2
GIL,4.39,4.3,-0.02,-2
VTL,8.29,0.0,-1.0,-100
CID,10.86,0.0,-1.0,-100
