country,region,subregion,population
Namibia,Africa,Southern Africa,2540916
Belgium,Europe,Western Europe,11555997
Germany,Europe,Western Europe,83240525
Liechtenstein,Europe,Western Europe,38137
Luxembourg,Europe,Western Europe,632275
