country,languages,number_of_languages
Zimbabwe,Chibarwe - English - Kalanga - Khoisan - Ndau - Northern Ndebele - Chewa - Shona - Sotho - Tonga - Tswana - Tsonga - Venda - Xhosa - Zimbabwean Sign Language,15
South Africa,Afrikaans - English - Southern Ndebele - Northern Sotho - Southern Sotho - Swazi - Tswana - Tsonga - Venda - Xhosa - Zulu,11
Namibia,Afrikaans - German - English - Herero - Khoekhoe - Kwangali - Lozi - Ndonga - Tswana,9
DR Congo,French - Kikongo - Lingala - Tshiluba - Swahili,5
Bolivia,Aymara - Guaraní - Quechua - Spanish,4
Singapore,Chinese - English - Malay - Tamil,4
Switzerland,French - Swiss German - Italian - Romansh,4
Afghanistan,Dari - Pashto - Turkmen,3
Belgium,German - French - Dutch,3
Belize,Belizean Creole - English - Spanish,3
Bosnia and Herzegovina,Bosnian - Croatian - Serbian,3
Comoros,Arabic - French - Comorian,3
Equatorial Guinea,French - Portuguese - Spanish,3
Eritrea,Arabic - English - Tigrinya,3
Fiji,English - Fijian - Fiji Hindi,3
India,English - Hindi - Tamil,3
Iraq,Arabic - Aramaic - Sorani,3
Luxembourg,German - French - Luxembourgish,3
Mauritius,English - French - Mauritian Creole,3
New Zealand,English - Māori - New Zealand Sign Language,3
Norway,Norwegian Nynorsk - Norwegian Bokmål - Sami,3
Papua New Guinea,English - Hiri Motu - Tok Pisin,3
Peru,Aymara - Quechua - Spanish,3
Republic of the Congo,French - Kikongo - Lingala,3
Rwanda,English - French - Kinyarwanda,3
Seychelles,Seychellois Creole - English - French,3
Vanuatu,Bislama - English - French,3
Argentina,Guaraní - Spanish,2
Azerbaijan,Azerbaijani - Russian,2
Belarus,Belarusian - Russian,2
Botswana,English - Tswana,2
Burundi,French - Kirundi,2
Cameroon,English - French,2
Canada,English - French,2
Central African Republic,French - Sango,2
Chad,Arabic - French,2
Cyprus,Greek - Turkish,2
Czechia,Czech - Slovak,2
Djibouti,Arabic - French,2
Eswatini,English - Swazi,2
Finland,Finnish - Swedish,2
Haiti,French - Haitian Creole,2
Ireland,English - Irish,2
Israel,Arabic - Hebrew,2
Jamaica,English - Jamaican Patois,2
Kazakhstan,Kazakh - Russian,2
Kenya,English - Swahili,2
Kiribati,English - Gilbertese,2
Kyrgyzstan,Kyrgyz - Russian,2
Lebanon,Arabic - French,2
Lesotho,English - Sotho,2
Madagascar,French - Malagasy,2
Malawi,English - Chewa,2
Malaysia,English - Malay,2
Malta,English - Maltese,2
Marshall Islands,English - Marshallese,2
Morocco,Arabic - Berber,2
Nauru,English - Nauru,2
Pakistan,English - Urdu,2
Palau,English - Palauan,2
Paraguay,Guaraní - Spanish,2
Philippines,English - Filipino,2
Samoa,English - Samoan,2
Somalia,Arabic - Somali,2
Sri Lanka,Sinhala - Tamil,2
Sudan,Arabic - English,2
Tajikistan,Russian - Tajik,2
Tanzania,English - Swahili,2
Timor-Leste,Portuguese - Tetum,2
Tonga,English - Tongan,2
Turkmenistan,Russian - Turkmen,2
Tuvalu,English - Tuvaluan,2
Uganda,English - Swahili,2
Uzbekistan,Russian - Uzbek,2
Vatican City,Italian - Latin,2
Albania,Albanian,1
Algeria,Arabic,1
Andorra,Catalan,1
Angola,Portuguese,1
Antigua and Barbuda,English,1
Armenia,Armenian,1
Australia,English,1
Austria,Austro-Bavarian German,1
Bahamas,English,1
Bahrain,Arabic,1
Bangladesh,Bengali,1
Barbados,English,1
Benin,French,1
Bhutan,Dzongkha,1
Brazil,Portuguese,1
Brunei,Malay,1
Bulgaria,Bulgarian,1
Burkina Faso,French,1
Cambodia,Khmer,1
Cape Verde,Portuguese,1
Chile,Spanish,1
China,Chinese,1
Colombia,Spanish,1
Costa Rica,Spanish,1
Croatia,Croatian,1
Cuba,Spanish,1
Denmark,Danish,1
Dominica,English,1
Dominican Republic,Spanish,1
Ecuador,Spanish,1
Egypt,Arabic,1
El Salvador,Spanish,1
Estonia,Estonian,1
Ethiopia,Amharic,1
France,French,1
Gabon,French,1
Gambia,English,1
Georgia,Georgian,1
Germany,German,1
Ghana,English,1
Greece,Greek,1
Grenada,English,1
Guatemala,Spanish,1
Guinea,French,1
Guyana,English,1
Honduras,Spanish,1
Hungary,Hungarian,1
Iceland,Icelandic,1
Indonesia,Indonesian,1
Iran,Persian (Farsi),1
Italy,Italian,1
Ivory Coast,French,1
Japan,Japanese,1
Jordan,Arabic,1
