name,location
Arouca,Arouca
Benfica,Lisbon
Boavista,Porto
Braga,Braga
Casa Pia,Lisbon
Chaves,Chaves
Estoril,Estoril
Famalicão,Vila Nova de Famalicão
Gil Vicente,Barcelos
Marítimo,Funchal
Paços de Ferreira,Paços de Ferreira
Portimonense,Portimão
Porto,Porto
Rio Ave,Vila do Conde
Santa Clara,Ponta Delgada
Sporting CP,Lisbon
Vitória de Guimarães,Guimarães
Vizela,Vizela
