type,color,extensions,tm_scope,ace_mode,language_id,language,codemirror_mode,codemirror_mime_type,aliases,filenames,group,interpreters,searchable,wrap,fs_name
data,,['.asy'],source.ltspice.symbol,text,1013566805,LTspice Symbol,spreadsheet,text/x-spreadsheet,,,,,,,
data,#2980B9,['.lark'],source.lark,text,758480799,Lark,ebnf,text/x-ebnf,,,,,,,
data,,"['.ld', '.lds', '.x']",none,text,202,Linker Script,,,,['ld.script'],,,,,
data,,['.mod'],none,text,203,Linux Kernel Module,,,,,,,,,
data,,,text.xml.pom,xml,226,Maven POM,xml,text/xml,,['pom.xml'],XML,,,,
data,,['.dsp'],none,text,800983837,Microsoft Developer Studio Project,,,,,,,,,
data,,['.sln'],source.solution,text,849523096,Microsoft Visual Studio Solution,,,,,,,,,
data,#ff1111,"['.yaml', '.yml']",source.miniyaml,yaml,4896465,MiniYAML,yaml,text/x-yaml,,,,,,,
data,,['.neon'],source.neon,text,481192983,NEON,,,"['nette object notation', 'ne-on']",,,,,,
data,,['.nl'],none,text,241,NL,,,,,,,,,
data,#cb3837,,source.ini.npmrc,text,685022663,NPM Config,,,['npmrc'],['.npmrc'],INI,,,,
data,#009639,"['.nginx', '.nginxconf', '.vhost']",source.nginx,text,248,Nginx,nginx,text/x-nginx-conf,['nginx configuration file'],['nginx.conf'],,,,,
data,,['.ninja'],source.ninja,text,250,Ninja,,,,,,,,,
data,#85ea2d,['.json'],source.json,json,834374816,OASv2-json,javascript,application/json,,,OpenAPI Specification v2,,,,
data,#85ea2d,"['.yaml', '.yml']",source.yaml,yaml,105187618,OASv2-yaml,yaml,text/x-yaml,,,OpenAPI Specification v2,,,,
data,#85ea2d,['.json'],source.json,json,980062566,OASv3-json,javascript,application/json,,,OpenAPI Specification v3,,,,
data,#85ea2d,"['.yaml', '.yml']",source.yaml,yaml,51239111,OASv3-yaml,yaml,text/x-yaml,,,OpenAPI Specification v3,,,,
data,,['.objdump'],objdump.x86asm,assembly_x86,256,ObjDump,,,,,,,,,
data,,['.odin'],source.odin-ehr,text,985227236,Object Data Instance Notation,,,,,,,,,
data,#85ea2d,,none,text,848295328,OpenAPI Specification v2,,,['oasv2'],,,,,,
data,#85ea2d,,none,text,557959099,OpenAPI Specification v3,,,['oasv3'],,,,,,
data,,"['.plist', '.glyphs']",source.plist,text,598917541,OpenStep Property List,,,,,,,,,
data,,['.fea'],source.opentype,text,374317347,OpenType Feature File,,,['AFDKO'],,,,,,
data,#476732,,source.opts,sh,723589315,Option List,shell,text/x-sh,"['opts', 'ackrc']","['.ackrc', 'ackrc', 'mocha.opts']",,,,,
data,,['.pkl'],none,text,284,Pickle,,,,,,,,,
data,#fbbd16,"['.puml', '.iuml', '.plantuml']",source.wsd,text,833504686,PlantUML,,,,,,,,,
data,#0c344b,['.prisma'],source.prisma,text,499933428,Prisma,,,,,,,,,
data,,['.pro'],none,text,716513858,Proguard,,,,,,,,,
data,,['.proto'],source.proto,protobuf,297,Protocol Buffer,protobuf,text/x-protobuf,"['protobuf', 'Protocol Buffers']",,,,,,
data,,"['.textproto', '.pbt', '.pbtxt']",source.textproto,text,436568854,Protocol Buffer Text Format,,,"['text proto', 'protobuf text format']",,,,,,
data,,"['.asc', '.pub']",none,text,298,Public Key,asciiarmor,application/pgp,,,,,,,
data,,['.pd'],none,text,300,Pure Data,,,,,,,,,
data,#3572A5,['.pytb'],text.python.traceback,text,304,Python traceback,,,,,Python,,,,
data,,['.spec'],source.rpm-spec,text,314,RPM Spec,rpm,text/x-rpm-spec,['specfile'],,,,,,
data,,['.raw'],none,text,318,Raw token data,,,['raw'],,,,,,
data,,,source.inputrc,text,538732839,Readline Config,,,"['inputrc', 'readline']","['.inputrc', 'inputrc']",INI,,,,
data,#0673ba,,source.record-jar,text,865765202,Record Jar,properties,text/x-properties,,['language-subtag-registry.txt'],,,,,
data,,,source.redirects,text,1020148948,Redirect Rules,,,['redirects'],['_redirects'],,,,,
data,#009a00,"['.regexp', '.regex']",source.regexp,text,363378884,Regular Expression,,,"['regexp', 'regex']",,,,,,
data,,['.te'],source.sepolicy,text,880010326,SELinux Policy,,,"['SELinux Kernel Policy Language', 'sepolicy']","['file_contexts', 'genfs_contexts', 'initial_sids', 'port_contexts', 'security_classes']",,,,,
data,#0C4597,"['.sparql', '.rq']",source.sparql,text,331,SPARQL,sparql,application/sparql-query,,,,,,,
data,#e38c00,"['.sql', '.cql', '.ddl', '.inc', '.mysql', '.prc', '.tab', '.udf', '.viw']",source.sql,sql,333,SQL,sql,text/x-sql,,,,,,,
data,,,source.ssh-config,text,554920715,SSH Config,,,,"['ssh-config', 'ssh_config', 'sshconfig', 'sshconfig.snip', 'sshd-config', 'sshd_config']",INI,,,,
data,,['.star'],source.star,text,424510560,STAR,,,,,,,,,
data,#373b5e,['.stl'],source.stl,text,455361735,STL,,,"['ascii stl', 'stla']",,,,,,
data,,['.ston'],source.smalltalk,text,336,STON,,,,,Smalltalk,,,,
data,#ff9900,['.svg'],text.xml.svg,xml,337,SVG,xml,text/xml,,,,,,,
data,#cecfcb,,source.shellcheckrc,ini,687511714,ShellCheck Config,properties,text/x-properties,['shellcheckrc'],['.shellcheckrc'],,,,,
data,#C9BFED,['.sfv'],source.sfv,ini,735623761,Simple File Verification,properties,text/x-properties,['sfv'],,Checksums,,,,
data,,,source.bp,text,222900098,Soong,,,,['Android.bp'],,,,,
data,,['.sfd'],text.sfd,yaml,767169629,Spline Font Database,,,,,,,,,
data,#9e0101,['.srt'],text.srt,text,360,SubRip Text,,,,,,,,,
data,#9c4221,['.toml'],source.toml,toml,365,TOML,toml,text/x-toml,,"['Cargo.lock', 'Gopkg.lock', 'Pipfile', 'pdm.lock', 'poetry.lock']",,,,,
data,#237346,['.tsv'],source.generic-db,text,1035892117,TSV,,,,,,,,,
data,#df66e4,,source.tm-properties,properties,981795023,TextMate Properties,properties,text/x-properties,['tm-properties'],['.tm_properties'],,,,,
data,,['.ttl'],source.turtle,text,376,Turtle,turtle,text/turtle,,,,,,,
data,,['.tl'],source.tl,text,632765617,Type Language,,,['tl'],,,,,,
data,#222c37,"['.anim', '.asset', '.mask', '.mat', '.meta', '.prefab', '.unity']",source.yaml,yaml,380,Unity3D Asset,yaml,text/x-yaml,,,,,,,
