year,host_city,host_country,champion,runner_up,third_place
2012,Astana,Kazakhstan,Sergey Karjakin,Magnus Carlsen,Veselin Topalov
2013,Khanty-Mansiysk,Russia,Shakhriyar Mamedyarov,Ian Nepomniachtchi,Alexander Grischuk
2014,Dubai,United Arab Emirates,Magnus Carlsen,Fabiano Caruana,Viswanathan Anand
2015,Berlin,Germany,Magnus Carlsen,Ian Nepomniachtchi,Teimour Radjabov
2016,Doha,Qatar,Vasyl Ivanchuk,Alexander Grischuk,Magnus Carlsen
2017,Riyadh,Saudi Arabia,Viswanathan Anand,Vladimir Fedoseev,Ian Nepomniachtchi
2018,Saint Petersburg,Russia,Daniil Dubov,Shakhriyar Mamedyarov,Hikaru Nakamura
2019,Moscow,Russia,Magnus Carlsen,Alireza Firouzja,Hikaru Nakamura
2021,Warsaw,Poland,Nodirbek Abdusattorov,Ian Nepomniachtchi,Magnus Carlsen
2022,Almaty,Kazakhstan,Magnus Carlsen,Vincent Keymer,Fabiano Caruana
