sport,year,champion,champion_conference,runner_up,runner_up_conference
american-football,2017,New England Patriots,american,Atlanta Falcons,national
american-football,2018,Philadelphia Eagles,national,New England Patriots,american
american-football,2019,New England Patriots,american,Los Angeles Rams,national
american-football,2020,Kansas City Chiefs,american,San Francisco 49ers,national
american-football,2021,Tampa Bay Buccaneers,national,Kansas City Chiefs,american
american-football,2022,Los Angeles Rams,national,Cincinnati Bengals,american
american-football,2023,Kansas City Chiefs,american,Philadelphia Eagles,national
basketball,1947,Golden State Warriors,eastern,Chicago Stags,western
basketball,1948,Baltimore Bullets,western,Golden State Warriors,eastern
basketball,1949,Los Angeles Lakers,western,Washington Capitols,eastern
basketball,1950,Los Angeles Lakers,western,Philadelphia 76ers,eastern
basketball,1951,Sacramento Kings,western,New York Knicks,eastern
basketball,1952,Los Angeles Lakers,western,New York Knicks,eastern
basketball,1953,Los Angeles Lakers,western,New York Knicks,eastern
basketball,1954,Los Angeles Lakers,western,Philadelphia 76ers,eastern
basketball,1955,Philadelphia 76ers,eastern,Detroit Pistons,western
basketball,1956,Golden State Warriors,eastern,Detroit Pistons,western
basketball,1957,Boston Celtics,eastern,Atlanta Hawks,western
basketball,1958,Atlanta Hawks,western,Boston Celtics,eastern
basketball,1959,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1960,Boston Celtics,eastern,Atlanta Hawks,western
basketball,1961,Boston Celtics,eastern,Atlanta Hawks,western
basketball,1962,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1963,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1964,Boston Celtics,eastern,Golden State Warriors,western
basketball,1965,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1966,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1967,Philadelphia 76ers,eastern,Golden State Warriors,western
basketball,1968,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1969,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1970,New York Knicks,eastern,Los Angeles Lakers,western
basketball,1971,Milwaukee Bucks,western,Washington Wizards,eastern
basketball,1972,Los Angeles Lakers,western,New York Knicks,eastern
basketball,1973,New York Knicks,eastern,Los Angeles Lakers,western
basketball,1974,Boston Celtics,eastern,Milwaukee Bucks,western
basketball,1975,Golden State Warriors,western,Washington Wizards,eastern
basketball,1976,Boston Celtics,eastern,Phoenix Suns,western
basketball,1977,Portland Trail Blazers,western,Philadelphia 76ers,eastern
basketball,1978,Washington Wizards,eastern,Oklahoma City Thunder,western
basketball,1979,Oklahoma City Thunder,western,Washington Wizards,eastern
basketball,1980,Los Angeles Lakers,western,Philadelphia 76ers,eastern
basketball,1981,Boston Celtics,eastern,Houston Rockets,western
basketball,1982,Los Angeles Lakers,western,Philadelphia 76ers,eastern
basketball,1983,Philadelphia 76ers,eastern,Los Angeles Lakers,western
basketball,1984,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,1985,Los Angeles Lakers,western,Boston Celtics,eastern
basketball,1986,Boston Celtics,eastern,Houston Rockets,western
basketball,1987,Los Angeles Lakers,western,Boston Celtics,eastern
basketball,1988,Los Angeles Lakers,western,Detroit Pistons,eastern
basketball,1989,Detroit Pistons,eastern,Los Angeles Lakers,western
basketball,1990,Detroit Pistons,eastern,Portland Trail Blazers,western
basketball,1991,Chicago Bulls,eastern,Los Angeles Lakers,western
basketball,1992,Chicago Bulls,eastern,Portland Trail Blazers,western
basketball,1993,Chicago Bulls,eastern,Phoenix Suns,western
basketball,1994,Houston Rockets,western,New York Knicks,eastern
basketball,1995,Houston Rockets,western,Orlando Magic,eastern
basketball,1996,Chicago Bulls,eastern,Oklahoma City Thunder,western
basketball,1997,Chicago Bulls,eastern,Utah Jazz,western
basketball,1998,Chicago Bulls,eastern,Utah Jazz,western
basketball,1999,San Antonio Spurs,western,New York Knicks,eastern
basketball,2000,Los Angeles Lakers,western,Indiana Pacers,eastern
basketball,2001,Los Angeles Lakers,western,Philadelphia 76ers,eastern
basketball,2002,Los Angeles Lakers,western,Brooklyn Nets,eastern
basketball,2003,San Antonio Spurs,western,Brooklyn Nets,eastern
basketball,2004,Detroit Pistons,eastern,Los Angeles Lakers,western
basketball,2005,San Antonio Spurs,western,Detroit Pistons,eastern
basketball,2006,Miami Heat,eastern,Dallas Mavericks,western
basketball,2007,San Antonio Spurs,western,Cleveland Cavaliers,eastern
basketball,2008,Boston Celtics,eastern,Los Angeles Lakers,western
basketball,2009,Los Angeles Lakers,western,Orlando Magic,eastern
basketball,2010,Los Angeles Lakers,western,Boston Celtics,eastern
basketball,2011,Dallas Mavericks,western,Miami Heat,eastern
basketball,2012,Miami Heat,eastern,Oklahoma City Thunder,western
basketball,2013,Miami Heat,eastern,San Antonio Spurs,western
basketball,2014,San Antonio Spurs,western,Miami Heat,eastern
basketball,2015,Golden State Warriors,western,Cleveland Cavaliers,eastern
basketball,2016,Cleveland Cavaliers,eastern,Golden State Warriors,western
basketball,2017,Golden State Warriors,western,Cleveland Cavaliers,eastern
basketball,2018,Golden State Warriors,western,Cleveland Cavaliers,eastern
basketball,2019,Toronto Raptors,eastern,Golden State Warriors,western
basketball,2020,Los Angeles Lakers,western,Miami Heat,eastern
basketball,2021,Milwaukee Bucks,eastern,Phoenix Suns,western
basketball,2022,Golden State Warriors,western,Boston Celtics,eastern
