character,count,collected
0,1,1
7,15,15
9,17,17
6,18,18
8,18,18
5,20,20
4,32,32
3,35,35
2,40,40
1,120,120
x,304,304
z,896,896
y,1136,1136
q,2068,2068
j,3520,3520
k,3763,3763
v,4508,4508
w,8650,8650
o,8998,8998
i,10068,10068
e,10864,10864
l,11310,11310
n,11460,11460
h,13205,13205
r,13989,13989
u,14124,14124
f,14332,14332
g,14843,14843
d,15276,15276
m,15499,15499
t,16264,16264
b,18968,18968
a,19792,19792
p,26333,26333
c,28858,28858
s,35970,35970
total,325314,325314
