no,name,party,president
1,James Forrestal,Democratic,Harry S Truman
2,Louis A. Johnson,Democratic,Harry S Truman
3,George C. Marshall,Independent,Harry S Truman
4,Robert A. Lovett,Republican,Harry S Truman
5,Charles Erwin Wilson,Republican,Dwight D. Eisenhower
6,Neil H. McElroy,Republican,Dwight D. Eisenhower
7,Thomas S. Gates Jr.,Republican,Dwight D. Eisenhower
8,Robert McNamara,Republican,John F. Kennedy
9,Clark Clifford,Democratic,Lyndon B. Johnson
10,Melvin R. Laird,Republican,Richard Nixon
11,Elliot Richardson,Republican,Richard Nixon
12,James R. Schlesinger,Republican,Richard Nixon
13,Donald Rumsfeld,Republican,Gerald Ford
14,Harold Brown,Independent,Jimmy Carter
15,Caspar Weinberger,Republican,Ronald Reagan
16,Frank Carlucci,Republican,Ronald Reagan
17,Dick Cheney,Republican,George H. W. Bush
18,Leslie Aspin,Democratic,Bill Clinton
19,William Perry,Democratic,Bill Clinton
20,William Cohen,Republican,Bill Clinton
21,Donald Rumsfeld,Republican,George W. Bush
22,Robert Gates,Republican,George W. Bush
23,Leon Panetta,Democratic,Barack Obama
24,Chuck Hagel,Republican,Barack Obama
25,Ash Carter,Democratic,Barack Obama
26,Jim Mattis,Independent,Donald Trump
27,Mark Esper,Republican,Donald Trump
28,Lloyd Austin,Independent,Joe Biden
