year,champion,champion_conference,runner_up,runner_up_conference
1947,Golden State Warriors,eastern,Chicago Stags,western
1948,Baltimore Bullets,western,Golden State Warriors,eastern
1949,Los Angeles Lakers,western,Washington Capitols,eastern
1950,Los Angeles Lakers,western,Philadelphia 76ers,eastern
1951,Sacramento Kings,western,New York Knicks,eastern
1952,Los Angeles Lakers,western,New York Knicks,eastern
1953,Los Angeles Lakers,western,New York Knicks,eastern
1954,Los Angeles Lakers,western,Philadelphia 76ers,eastern
1955,Philadelphia 76ers,eastern,Detroit Pistons,western
1956,Golden State Warriors,eastern,Detroit Pistons,western
1957,Boston Celtics,eastern,Atlanta Hawks,western
1958,Atlanta Hawks,western,Boston Celtics,eastern
1959,Boston Celtics,eastern,Los Angeles Lakers,western
1960,Boston Celtics,eastern,Atlanta Hawks,western
1961,Boston Celtics,eastern,Atlanta Hawks,western
1962,Boston Celtics,eastern,Los Angeles Lakers,western
1963,Boston Celtics,eastern,Los Angeles Lakers,western
1964,Boston Celtics,eastern,Golden State Warriors,western
1965,Boston Celtics,eastern,Los Angeles Lakers,western
1966,Boston Celtics,eastern,Los Angeles Lakers,western
1967,Philadelphia 76ers,eastern,Golden State Warriors,western
1968,Boston Celtics,eastern,Los Angeles Lakers,western
1969,Boston Celtics,eastern,Los Angeles Lakers,western
1970,New York Knicks,eastern,Los Angeles Lakers,western
1971,Milwaukee Bucks,western,Washington Wizards,eastern
1972,Los Angeles Lakers,western,New York Knicks,eastern
1973,New York Knicks,eastern,Los Angeles Lakers,western
1974,Boston Celtics,eastern,Milwaukee Bucks,western
1975,Golden State Warriors,western,Washington Wizards,eastern
1976,Boston Celtics,eastern,Phoenix Suns,western
1977,Portland Trail Blazers,western,Philadelphia 76ers,eastern
1978,Washington Wizards,eastern,Oklahoma City Thunder,western
1979,Oklahoma City Thunder,western,Washington Wizards,eastern
1980,Los Angeles Lakers,western,Philadelphia 76ers,eastern
1981,Boston Celtics,eastern,Houston Rockets,western
1982,Los Angeles Lakers,western,Philadelphia 76ers,eastern
1983,Philadelphia 76ers,eastern,Los Angeles Lakers,western
1984,Boston Celtics,eastern,Los Angeles Lakers,western
1985,Los Angeles Lakers,western,Boston Celtics,eastern
1986,Boston Celtics,eastern,Houston Rockets,western
1987,Los Angeles Lakers,western,Boston Celtics,eastern
1988,Los Angeles Lakers,western,Detroit Pistons,eastern
1989,Detroit Pistons,eastern,Los Angeles Lakers,western
1990,Detroit Pistons,eastern,Portland Trail Blazers,western
1991,Chicago Bulls,eastern,Los Angeles Lakers,western
1992,Chicago Bulls,eastern,Portland Trail Blazers,western
1993,Chicago Bulls,eastern,Phoenix Suns,western
1994,Houston Rockets,western,New York Knicks,eastern
1995,Houston Rockets,western,Orlando Magic,eastern
1996,Chicago Bulls,eastern,Oklahoma City Thunder,western
1997,Chicago Bulls,eastern,Utah Jazz,western
1998,Chicago Bulls,eastern,Utah Jazz,western
1999,San Antonio Spurs,western,New York Knicks,eastern
2000,Los Angeles Lakers,western,Indiana Pacers,eastern
2001,Los Angeles Lakers,western,Philadelphia 76ers,eastern
2002,Los Angeles Lakers,western,Brooklyn Nets,eastern
2003,San Antonio Spurs,western,Brooklyn Nets,eastern
2004,Detroit Pistons,eastern,Los Angeles Lakers,western
2005,San Antonio Spurs,western,Detroit Pistons,eastern
2006,Miami Heat,eastern,Dallas Mavericks,western
2007,San Antonio Spurs,western,Cleveland Cavaliers,eastern
2008,Boston Celtics,eastern,Los Angeles Lakers,western
2009,Los Angeles Lakers,western,Orlando Magic,eastern
2010,Los Angeles Lakers,western,Boston Celtics,eastern
2011,Dallas Mavericks,western,Miami Heat,eastern
2012,Miami Heat,eastern,Oklahoma City Thunder,western
2013,Miami Heat,eastern,San Antonio Spurs,western
2014,San Antonio Spurs,western,Miami Heat,eastern
2015,Golden State Warriors,western,Cleveland Cavaliers,eastern
2016,Cleveland Cavaliers,eastern,Golden State Warriors,western
2017,Golden State Warriors,western,Cleveland Cavaliers,eastern
2018,Golden State Warriors,western,Cleveland Cavaliers,eastern
2019,Toronto Raptors,eastern,Golden State Warriors,western
2020,Los Angeles Lakers,western,Miami Heat,eastern
2021,Milwaukee Bucks,eastern,Phoenix Suns,western
2022,Golden State Warriors,western,Boston Celtics,eastern
