season,premier,premier_state,runner_up,runner_up_state
1897,Essendon,Victoria,Geelong,Victoria
1898,Fitzroy,Victoria,Essendon,Victoria
1899,Fitzroy,Victoria,Sydney Swans,New South Wales
1900,Melbourne,Victoria,Fitzroy,Victoria
1901,Essendon,Victoria,Collingwood,Victoria
1902,Collingwood,Victoria,Essendon,Victoria
1903,Collingwood,Victoria,Fitzroy,Victoria
1904,Fitzroy,Victoria,Carlton,Victoria
1905,Fitzroy,Victoria,Collingwood,Victoria
1906,Carlton,Victoria,Fitzroy,Victoria
1907,Carlton,Victoria,Sydney Swans,New South Wales
1908,Carlton,Victoria,Essendon,Victoria
1909,Sydney Swans,New South Wales,Carlton,Victoria
1910,Collingwood,Victoria,Carlton,Victoria
1911,Essendon,Victoria,Collingwood,Victoria
1912,Essendon,Victoria,Sydney Swans,New South Wales
1913,Fitzroy,Victoria,St Kilda,Victoria
1914,Carlton,Victoria,Sydney Swans,New South Wales
1915,Carlton,Victoria,Collingwood,Victoria
1916,Fitzroy,Victoria,Carlton,Victoria
1917,Collingwood,Victoria,Fitzroy,Victoria
1918,Sydney Swans,New South Wales,Collingwood,Victoria
1919,Collingwood,Victoria,Richmond,Victoria
1920,Richmond,Victoria,Collingwood,Victoria
1921,Richmond,Victoria,Carlton,Victoria
1922,Fitzroy,Victoria,Collingwood,Victoria
1923,Essendon,Victoria,Fitzroy,Victoria
1924,Essendon,Victoria,Richmond,Victoria
1925,Geelong,Victoria,Collingwood,Victoria
1926,Melbourne,Victoria,Collingwood,Victoria
1927,Collingwood,Victoria,Richmond,Victoria
1928,Collingwood,Victoria,Richmond,Victoria
1929,Collingwood,Victoria,Richmond,Victoria
1930,Collingwood,Victoria,Geelong,Victoria
1931,Geelong,Victoria,Richmond,Victoria
1932,Richmond,Victoria,Carlton,Victoria
1933,Sydney Swans,New South Wales,Richmond,Victoria
1934,Richmond,Victoria,Sydney Swans,New South Wales
1935,Collingwood,Victoria,Sydney Swans,New South Wales
1936,Collingwood,Victoria,Sydney Swans,New South Wales
1937,Geelong,Victoria,Collingwood,Victoria
1938,Carlton,Victoria,Collingwood,Victoria
1939,Melbourne,Victoria,Collingwood,Victoria
1940,Melbourne,Victoria,Richmond,Victoria
1941,Melbourne,Victoria,Essendon,Victoria
1942,Essendon,Victoria,Richmond,Victoria
1943,Richmond,Victoria,Essendon,Victoria
1944,Fitzroy,Victoria,Richmond,Victoria
1945,Carlton,Victoria,Sydney Swans,New South Wales
1946,Essendon,Victoria,Melbourne,Victoria
1947,Carlton,Victoria,Essendon,Victoria
1948,Melbourne,Victoria,Essendon,Victoria
1949,Essendon,Victoria,Carlton,Victoria
1950,Essendon,Victoria,North Melbourne,Victoria
1951,Geelong,Victoria,Essendon,Victoria
1952,Geelong,Victoria,Collingwood,Victoria
1953,Collingwood,Victoria,Geelong,Victoria
1954,Western Bulldogs,Victoria,Melbourne,Victoria
1955,Melbourne,Victoria,Collingwood,Victoria
1956,Melbourne,Victoria,Collingwood,Victoria
1957,Melbourne,Victoria,Essendon,Victoria
1958,Collingwood,Victoria,Melbourne,Victoria
1959,Melbourne,Victoria,Essendon,Victoria
1960,Melbourne,Victoria,Collingwood,Victoria
1961,Hawthorn,Victoria,Western Bulldogs,Victoria
1962,Essendon,Victoria,Carlton,Victoria
1963,Geelong,Victoria,Hawthorn,Victoria
1964,Melbourne,Victoria,Collingwood,Victoria
1965,Essendon,Victoria,St Kilda,Victoria
1966,St Kilda,Victoria,Collingwood,Victoria
1967,Richmond,Victoria,Geelong,Victoria
1968,Carlton,Victoria,Essendon,Victoria
1969,Richmond,Victoria,Carlton,Victoria
1970,Carlton,Victoria,Collingwood,Victoria
1971,Hawthorn,Victoria,St Kilda,Victoria
1972,Carlton,Victoria,Richmond,Victoria
1973,Richmond,Victoria,Carlton,Victoria
1974,Richmond,Victoria,North Melbourne,Victoria
1975,North Melbourne,Victoria,Hawthorn,Victoria
1976,Hawthorn,Victoria,North Melbourne,Victoria
1977,North Melbourne,Victoria,Collingwood,Victoria
1978,Hawthorn,Victoria,North Melbourne,Victoria
1979,Carlton,Victoria,Collingwood,Victoria
1980,Richmond,Victoria,Collingwood,Victoria
1981,Carlton,Victoria,Collingwood,Victoria
1982,Carlton,Victoria,Richmond,Victoria
1983,Hawthorn,Victoria,Essendon,Victoria
1984,Essendon,Victoria,Hawthorn,Victoria
1985,Essendon,Victoria,Hawthorn,Victoria
1986,Hawthorn,Victoria,Carlton,Victoria
1987,Carlton,Victoria,Hawthorn,Victoria
1988,Hawthorn,Victoria,Melbourne,Victoria
1989,Hawthorn,Victoria,Geelong,Victoria
1990,Collingwood,Victoria,Essendon,Victoria
1991,Hawthorn,Victoria,West Coast,Western Australia
1992,West Coast,Western Australia,Geelong,Victoria
1993,Essendon,Victoria,Carlton,Victoria
1994,West Coast,Western Australia,Geelong,Victoria
1995,Carlton,Victoria,Geelong,Victoria
1996,North Melbourne,Victoria,Sydney Swans,New South Wales
1997,Adelaide,South Australia,St Kilda,Victoria
1998,Adelaide,South Australia,North Melbourne,Victoria
1999,North Melbourne,Victoria,Carlton,Victoria
2000,Essendon,Victoria,Melbourne,Victoria
2001,Brisbane Lions,Queensland,Essendon,Victoria
2002,Brisbane Lions,Queensland,Collingwood,Victoria
2003,Brisbane Lions,Queensland,Collingwood,Victoria
2004,Port Adelaide,South Australia,Brisbane Lions,Queensland
2005,Geelong,New South Wales,West Coast,Western Australia
2006,West Coast,Western Australia,Sydney Swans,New South Wales
2007,Geelong,Victoria,Port Adelaide,South Australia
2008,Hawthorn,Victoria,Geelong,Victoria
2009,Geelong,Victoria,St Kilda,Victoria
2010,Collingwood,Victoria,St Kilda,Victoria
2011,Geelong,Victoria,Collingwood,Victoria
2012,Geelong,New South Wales,Hawthorn,Victoria
2013,Hawthorn,Victoria,Fremantle,Western Australia
2014,Hawthorn,Victoria,Sydney Swans,New South Wales
2015,Hawthorn,Victoria,West Coast,Western Australia
2016,Western Bulldogs,,Sydney Swans,New South Wales
2017,Richmond,Victoria,Adelaide,South Australia
2018,West Coast,Western Australia,Collingwood,Victoria
2019,Richmond,Victoria,Greater Western Sydney,New South Wales
2020,Richmond,Victoria,Geelong,Victoria
2021,Melbourne,Victoria,Western Bulldogs,Victoria
2022,Geelong,Victoria,Sydney Swans,New South Wales
