symbol,first,last,change,change_percentage
VNI,2.1,5.0,1.38,138
SJM,1.2,2.4,1.0,100
KMR,2.31,3.97,0.72,72
TIG,1.59,2.71,0.7,70
DBM,13.85,23.6,0.7,70
IME,2.42,4.03,0.67,67
AMV,1.84,3.08,0.67,67
PTP,2.01,3.12,0.55,55
KHL,1.3,2.0,0.54,54
ITD,1.33,2.01,0.51,51
S55,5.75,8.64,0.5,50
MAS,8.14,11.78,0.45,45
VNH,1.8,2.6,0.44,44
PXA,0.86,1.24,0.44,44
KSD,1.6,2.3,0.44,44
TNT,0.92,1.32,0.43,43
SRA,0.49,0.7,0.43,43
MTP,3.31,4.74,0.43,43
NTW,6.52,9.23,0.42,42
IDJ,0.96,1.36,0.42,42
AME,2.85,4.06,0.42,42
HDA,1.93,2.72,0.41,41
SDB,1.0,1.4,0.4,40
TJC,1.16,1.6,0.38,38
TDN,1.78,2.43,0.37,37
SD2,3.56,4.87,0.37,37
TSC,1.51,2.06,0.36,36
API,2.19,2.97,0.36,36
SD1,1.7,2.3,0.35,35
SWC,1.33,1.78,0.34,34
SDA,2.44,3.28,0.34,34
NDC,13.58,18.0,0.33,33
VHL,3.29,4.35,0.32,32
TMX,3.04,3.99,0.31,31
GMX,2.48,3.25,0.31,31
DIG,3.22,4.21,0.31,31
CJC,8.51,11.16,0.31,31
VST,2.0,2.6,0.3,30
BHT,2.75,3.57,0.3,30
ICG,2.73,3.52,0.29,29
BXH,2.54,3.28,0.29,29
LAF,4.7,6.0,0.28,28
CMI,5.85,7.46,0.28,28
VOS,3.0,3.8,0.27,27
TTG,2.85,3.63,0.27,27
SD6,5.07,6.45,0.27,27
SRF,4.51,5.68,0.26,26
DAG,3.94,4.96,0.26,26
VTA,2.4,3.0,0.25,25
TCL,5.69,7.12,0.25,25
MTG,3.06,3.83,0.25,25
L35,2.44,3.04,0.25,25
GDT,3.91,4.87,0.25,25
C32,5.95,7.44,0.25,25
BBS,3.98,4.99,0.25,25
QHD,2.5,3.11,0.24,24
TST,2.45,3.01,0.23,23
TDW,8.43,10.4,0.23,23
HVX,3.66,4.49,0.23,23
TTC,3.6,4.39,0.22,22
SDP,3.05,3.73,0.22,22
VNE,3.25,3.94,0.21,21
VCR,1.9,2.3,0.21,21
SED,6.26,7.57,0.21,21
VTO,1.91,2.29,0.2,20
VBC,4.91,5.88,0.2,20
PHH,3.0,3.6,0.2,20
WCS,31.16,36.97,0.19,19
TV3,2.26,2.7,0.19,19
SIC,1.31,1.56,0.19,19
SCL,6.41,7.6,0.19,19
QTC,5.69,6.79,0.19,19
NVT,3.7,4.4,0.19,19
KTS,8.56,10.2,0.19,19
ICF,3.2,3.8,0.19,19
HDG,2.23,2.66,0.19,19
DVP,17.46,20.81,0.19,19
APC,8.93,10.63,0.19,19
VTI,3.3,3.9,0.18,18
TIE,8.57,10.13,0.18,18
STG,3.26,3.86,0.18,18
SD7,6.5,7.7,0.18,18
SD4,2.51,2.96,0.18,18
LM8,7.84,9.27,0.18,18
KKC,4.92,5.8,0.18,18
CID,3.4,4.0,0.18,18
ADC,2.62,3.1,0.18,18
V12,3.07,3.58,0.17,17
SJE,4.84,5.66,0.17,17
SDD,2.4,2.8,0.17,17
SD9,4.81,5.62,0.17,17
PSG,0.6,0.7,0.17,17
CLG,7.03,8.2,0.17,17
VNF,3.41,3.94,0.16,16
PTB,5.19,6.0,0.16,16
MKV,6.42,7.42,0.16,16
DPP,3.91,4.55,0.16,16
CCM,5.91,6.87,0.16,16
THG,1.54,1.77,0.15,15
SJD,4.83,5.54,0.15,15
PSB,2.7,3.1,0.15,15
NET,8.17,9.42,0.15,15
MCP,8.2,9.39,0.15,15
GLT,5.74,6.59,0.15,15
ECI,4.84,5.57,0.15,15
DXG,2.74,3.15,0.15,15
DHA,3.01,3.45,0.15,15
VNS,18.5,21.17,0.14,14
S74,5.28,6.0,0.14,14
GMD,9.4,10.74,0.14,14
GGG,0.7,0.8,0.14,14
DC2,4.33,4.93,0.14,14
CTD,21.8,24.82,0.14,14
CIG,2.1,2.4,0.14,14
VE1,2.3,2.6,0.13,13
VC7,1.2,1.35,0.13,13
VC2,3.2,3.61,0.13,13
UDC,3.04,3.44,0.13,13
TCR,2.97,3.35,0.13,13
SZL,6.76,7.66,0.13,13
SPM,17.45,19.71,0.13,13
SII,15.0,16.9,0.13,13
SFI,7.12,8.02,0.13,13
NST,3.63,4.09,0.13,13
ND2,2.38,2.68,0.13,13
KBC,5.83,6.6,0.13,13
INC,1.71,1.93,0.13,13
DXV,2.77,3.13,0.13,13
CDC,1.54,1.74,0.13,13
ALV,2.44,2.75,0.13,13
VNT,10.99,12.36,0.12,12
VDN,7.3,8.14,0.12,12
SLS,7.37,8.24,0.12,12
SDT,5.2,5.84,0.12,12
SDC,3.34,3.73,0.12,12
QCC,1.28,1.44,0.12,12
PHR,8.61,9.63,0.12,12
PAC,5.2,5.83,0.12,12
MAC,2.29,2.56,0.12,12
HDC,2.83,3.16,0.12,12
DHC,1.69,1.89,0.12,12
DCS,2.5,2.8,0.12,12
BIC,6.05,6.79,0.12,12
ACL,2.99,3.34,0.12,12
VNA,2.7,3.0,0.11,11
VHG,6.99,7.77,0.11,11
TYA,1.51,1.67,0.11,11
TTP,19.17,21.3,0.11,11
TIS,2.8,3.1,0.11,11
SSM,4.18,4.63,0.11,11
SMA,2.36,2.62,0.11,11
SHA,1.42,1.57,0.11,11
RAL,23.97,26.66,0.11,11
NBW,6.86,7.64,0.11,11
L10,4.9,5.43,0.11,11
ITC,3.98,4.42,0.11,11
HVG,11.61,12.84,0.11,11
HBS,3.6,4.0,0.11,11
HAR,5.07,5.61,0.11,11
EID,4.57,5.07,0.11,11
DQC,10.62,11.82,0.11,11
DAC,3.8,4.2,0.11,11
VTV,1.89,2.08,0.1,10
STP,2.71,2.98,0.1,10
ST8,2.28,2.51,0.1,10
QST,3.15,3.46,0.1,10
PXI,2.52,2.78,0.1,10
PGS,9.06,9.99,0.1,10
HUT,3.63,3.99,0.1,10
DTA,1.81,2.0,0.1,10
CTB,4.5,4.95,0.1,10
BMI,4.54,4.98,0.1,10
ATA,3.1,3.4,0.1,10
AAA,3.99,4.38,0.1,10
VIP,3.07,3.35,0.09,9
VIC,17.41,18.95,0.09,9
VDL,10.61,11.57,0.09,9
TV2,0.66,0.72,0.09,9
TV1,7.59,8.24,0.09,9
TNG,1.84,2.01,0.09,9
TMS,9.97,10.88,0.09,9
SGS,0.57,0.62,0.09,9
SDK,3.04,3.32,0.09,9
PMS,7.79,8.52,0.09,9
NHC,3.38,3.7,0.09,9
NGC,3.89,4.25,0.09,9
NDN,1.33,1.45,0.09,9
BLF,6.82,7.46,0.09,9
B82,5.74,6.27,0.09,9
AVF,5.02,5.46,0.09,9
WSS,3.6,3.9,0.08,8
VND,1.08,1.17,0.08,8
VIT,0.95,1.03,0.08,8
VCM,3.35,3.63,0.08,8
TVD,3.33,3.58,0.08,8
TMT,2.92,3.15,0.08,8
SFN,6.76,7.3,0.08,8
SBA,2.85,3.08,0.08,8
PRC,3.92,4.22,0.08,8
OGC,9.52,10.3,0.08,8
NTL,6.19,6.68,0.08,8
