season,champion_country,champion_club,champion_from,score,runner_up_country,runner_up_club,runner_up_from,host,host_city,host_country
1997-98,Italy,Inter Milan,EPL,3-0,Italy,Lazio,EPL,Parc des Princes,Paris,France
1998-99,Italy,Parma,EPL,3-0,France,Marseille,EPL,Luzhniki Stadium,Moscow,Russia
1999-2000,Turkey,Galatasaray,UCL,0-0,England,Arsenal,UCL,Parken Stadium,Copenhagen,Denmark
2000-01,England,Liverpool,EPL,5-4,Spain,Deportivo Alavés,EPL,Westfalenstadion,Dortmund,Germany
2001-02,Netherlands,Feyenoord,UCL,3-2,Germany,Borussia Dortmund,UCL,De Kuip,Rotterdam,Netherlands
2002-03,Portugal,Porto,EPL,3-2,Scotland,Celtic,UCL,Estadio Olímpico de Sevilla,Seville,Spain
2003-04,Spain,Valencia,EPL,2-0,France,Marseille,UCL,Nya Ullevi,Gothenburg,Sweden
2004-05,Russia,CSKA Moscow,UCL,3-1,Portugal,Sporting CP,EPL,Estádio José Alvalade,Lisbon,Portugal
2005-06,Spain,Sevilla,EPL,4-0,England,Middlesbrough,EPL,PSV Stadion,Eindhoven,Netherlands
2006-07,Spain,Sevilla,EPL,2-2,Spain,Espanyol,EPL,Hampden Park,Glasgow,Scotland
2007-08,Russia,Zenit Saint Petersburg,EPL,2-0,Scotland,Rangers,UCL,City of Manchester Stadium,Manchester,England
2008-09,Ukraine,Shakhtar Donetsk,UCL,2-1,Germany,Werder Bremen,UCL,Şükrü Saracoğlu Stadium,Istanbul,Turkey
2009-10,Spain,Atlético Madrid,UCL,2-1,England,Fulham,EPL,Volksparkstadion,Hamburg,Germany
2010-11,Portugal,Porto,EPL,1-0,Portugal,Braga,UCL,Lansdowne Road Stadium,Dublin,Ireland
2011-12,Spain,Atlético Madrid,EPL,3-0,Spain,Athletic Bilbao,EPL,Arena Națională,Bucharest,Romania
2012-13,England,Chelsea,UCL,2-1,Portugal,Benfica,UCL,Amsterdam Arena,Amsterdam,Netherlands
2013-14,Spain,Sevilla,EPL,0-0,Portugal,Benfica,UCL,Juventus Stadium,Turin,Italy
2014-15,Spain,Sevilla,EPL,3-2,Ukraine,Dnipro Dnipropetrovsk,UCL,Stadion Narodowy,Warsaw,Poland
2015-16,Spain,Sevilla,UCL,3-1,England,Liverpool,EPL,St. Jakob-Park,Basel,Switzerland
2016-17,England,Manchester United,EPL,2-0,Netherlands,Ajax,UCL,Friends Arena,Solna,Sweden
2017-18,Spain,Atlético Madrid,UCL,3-0,France,Marseille,EPL,Parc Olympique Lyonnais,Décines-Charpieu,France
2018-19,England,Chelsea,EPL,4-1,England,Arsenal,EPL,Olympic Stadium,Baku,Azerbaijan
2019-20,Spain,Sevilla,EPL,3-2,Italy,Inter Milan,UCL,Rhein Energie Stadion,Cologne,Germany[k]
2020-21,Spain,Villarreal,EPL,1-1,England,Manchester United,UCL,Stadion Gdańsk,Gdańsk,Poland
2021-22,Germany,Eintracht Frankfurt,EPL,1-1,Scotland,Rangers,EPL,Ramón Sánchez Pizjuán,Seville,Spain
