symbol,first,last,change,change_percentage
AGF,13.32,13.94,0.05,5
PMS,3.99,4.04,0.01,1
HAP,6.33,6.4,0.01,1
BT6,17.15,17.34,0.01,1
VTC,18.03,18.03,0.0,0
SAV,4.09,4.09,0.0,0
HAS,15.4,15.47,0.0,0
GMD,5.07,4.96,-0.02,-2
SGH,3.07,2.98,-0.03,-3
TS4,6.32,5.81,-0.08,-8
TMS,5.95,5.41,-0.09,-9
REE,1.49,1.19,-0.2,-20
BPC,6.43,5.15,-0.2,-20
CAN,10.08,7.84,-0.22,-22
LAF,24.0,17.8,-0.26,-26
BBC,11.25,7.96,-0.29,-29
SAM,2.23,1.55,-0.3,-30
KHA,11.18,7.84,-0.3,-30
DPC,7.75,5.13,-0.34,-34
GIL,5.41,2.92,-0.46,-46
