competition,year,host,champion,champion_score,runner_up,runner_up_score,third_place,fourth_place
FIFA Futsal World Cup,1989,Netherlands,Brazil,,Netherlands,,United States,Belgium
FIFA Futsal World Cup,1992,Hong Kong,Brazil,,United States,,Spain,Iran
FIFA Futsal World Cup,1996,Spain,Brazil,,Spain,,Russia,Ukraine
FIFA Futsal World Cup,2000,Guatemala,Spain,,Brazil,,Portugal,Russia
FIFA Futsal World Cup,2004,Taiwan,Spain,,Italy,,Brazil,Argentina
FIFA Futsal World Cup,2008,Brazil,Brazil,,Spain,,Italy,Russia
FIFA Futsal World Cup,2012,Thailand,Brazil,,Spain,,Italy,Colombia
FIFA Futsal World Cup,2016,Colombia,Argentina,,Russia,,Iran,Portugal
FIFA Futsal World Cup,2021,Lithuania,Portugal,,Argentina,,Brazil,Kazakhstan
Copa América de Futsal,1992,Brazil,Brazil,,Argentina,,Paraguay,Ecuador
Copa América de Futsal,1995,Brazil,Brazil,,Argentina,,Uruguay,Paraguay
Copa América de Futsal,1996,Brazil,Brazil,,Uruguay,,Argentina,Paraguay
Copa América de Futsal,1997,Brazil,Brazil,,Argentina,,Paraguay,Uruguay
Copa América de Futsal,1998,Brazil,Brazil,,Paraguay,,Uruguay,Argentina
Copa América de Futsal,1999,Brazil,Brazil,,Paraguay,,Argentina,Uruguay
Copa América de Futsal,2000,Brazil,Brazil,,Argentina,,Uruguay,Bolivia
Copa América de Futsal,2003,Paraguay,Argentina,,Brazil,,Paraguay,Uruguay
Copa América de Futsal,2008,Uruguay,Brazil,,Uruguay,,Argentina,Paraguay
Copa América de Futsal,2011,Argentina,Brazil,,Argentina,,Paraguay,Colombia
Copa América de Futsal,2015,Ecuador,Argentina,,Paraguay,,Brazil,Colombia
Copa América de Futsal,2017,Argentina,Brazil,,Argentina,,Paraguay,Uruguay
Copa América de Futsal,2022,Paraguay,Argentina,,Paraguay,,Brazil,Colombia
CONCACAF Futsal Championship,1996,Guatemala,United States,,Cuba,,Mexico,Guatemala
CONCACAF Futsal Championship,2000,Costa Rica,Costa Rica,,Cuba,,United States,Mexico
