competition,year,host_city,host_country,champion,champion_country,runner_up,runner_up_country,third_place,third_place_country
Grand Prix,2008–10,,,Levon Aronian,Armenia,Teimour Radjabov,Azerbaijan,Alexander Grischuk,Russia
Grand Prix,2012–13,,,Veselin Topalov,Bulgaria,Shakhriyar Mamedyarov,Azerbaijan,Fabiano Caruana,Italy
Grand Prix,2014–15,,,Fabiano Caruana,Italy,Hikaru Nakamura,United States,Dmitry Jakovenko,Russia
Grand Prix,2017,,,Shakhriyar Mamedyarov,Azerbaijan,Alexander Grischuk,Russia,Teimour Radjabov,Azerbaijan
Grand Prix,2019,,,Alexander Grischuk,Russia,Ian Nepomniachtchi,Russia,Maxime Vachier-Lagrave,France
Grand Prix,2022,,,Hikaru Nakamura,United States,Richárd Rapport,Hungary,Wesley So,United States
Grand Swiss,2019,Santon,Isle of Man,Wang Hao,China,Fabiano Caruana,"United States ",Kirill Alekseenko,Russia
Grand Swiss,2021,Riga,Latvia,Alireza Firouzja,France,Fabiano Caruana,"United States ",Grigoriy Oparin,Russia
Grand Swiss,2023,Douglas,Isle of Man,,,,,,
World Blitz,2006,Rishon Lezion,Israel,Alexander Grischuk,,Peter Svidler,,,
World Blitz,2007,Moscow,Russia,Vasyl Ivanchuk,,Viswanathan Anand,India,,
World Blitz,2008,Almaty,Kazakhstan,Leinier Domínguez,,Vasyl Ivanchuk,,,
World Blitz,2009,Moscow,Russia,Magnus Carlsen,Norway,Viswanathan Anand,India,,
World Blitz,2010,Moscow,Russia,Levon Aronian,,Teimour Radjabov,,,
World Blitz,2012,Astana,Kazakhstan,Alexander Grischuk,,Magnus Carlsen,Norway,,
World Blitz,2013,Khanty-Mansiysk,Russia,Lê Quang Liêm,Vietnam,Alexander Grischuk,,,
World Blitz,2014,Dubai,United Arab Emirates,Magnus Carlsen,Norway,Ian Nepomniachtchi,Russia,,
World Blitz,2015,Berlin,Germany,Alexander Grischuk,,Maxime Vachier-Lagrave,France,,
World Blitz,2016,Doha,Qatar,Sergey Karjakin,Russia,Magnus Carlsen,Norway,,
World Blitz,2017,Riyadh,Saudi Arabia,Magnus Carlsen,Norway,Sergey Karjakin,,,
World Blitz,2018,Saint Petersburg,Russia,Magnus Carlsen,Norway,Jan-Krzysztof Duda,Poland,,
World Blitz,2019,Moscow,Russia,Magnus Carlsen,Norway,Hikaru Nakamura,United States,,
World Blitz,2021,Warsaw,Poland,Maxime Vachier-Lagrave,France,Jan-Krzysztof Duda,Poland,,
World Blitz,2022,Almaty,Kazakhstan,Magnus Carlsen,Norway,Hikaru Nakamura,United States,,
World Championship,1948,The Hague;Moscow,Netherlands;Soviet Union,Mikhail Botvinnik,,Vasily Smyslov,,,
World Championship,1951,Moscow,Soviet Union,Mikhail Botvinnik,,David Bronstein,,,
World Championship,1954,Moscow,Soviet Union,Mikhail Botvinnik,,Vasily Smyslov,,,
World Championship,1957,Moscow,Soviet Union,Vasily Smyslov,,Mikhail Botvinnik,,,
World Championship,1958,Moscow,Soviet Union,Mikhail Botvinnik,,Vasily Smyslov,,,
World Championship,1960,Moscow,Soviet Union,Mikhail Tal,,Mikhail Botvinnik,,,
World Championship,1961,Moscow,Soviet Union,Mikhail Botvinnik,,Mikhail Tal,,,
World Championship,1963,Moscow,Soviet Union,Tigran Petrosian,,Mikhail Botvinnik,,,
World Championship,1966,Moscow,Soviet Union,Tigran Petrosian,,Boris Spassky,,,
World Championship,1969,Moscow,Soviet Union,Boris Spassky,,Tigran Petrosian,,,
World Championship,1972,Reykjavík,Iceland,Bobby Fischer,,Boris Spassky,,,
World Championship,1975,Manila,Philippines,Anatoly Karpov,,Bobby Fischer,,,
World Championship,1978,Baguio,Philippines,Anatoly Karpov,,Viktor Korchnoi,,,
World Championship,1981,Merano,Italy,Anatoly Karpov,,Viktor Korchnoi,,,
World Championship,1985,Moscow,Soviet Union,Garry Kasparov,,Anatoly Karpov,,,
World Championship,1986,London;Leningrad,United Kingdom;Soviet Union,Garry Kasparov,,Anatoly Karpov,,,
World Championship,1987,Seville,Spain,Garry Kasparov,,Anatoly Karpov,,,
World Championship,1990,New York City;Lyon,United States;France,Garry Kasparov,,Anatoly Karpov,,,
World Championship,1993,Zwolle;Arnhem;Amsterdam;Jakarta,Netherlands;Indonesia,Anatoly Karpov,,Jan Timman,,,
World Championship,1996,Elista,Russia,Anatoly Karpov,,Gata Kamsky,,,
World Championship,1998,Groningen;Lausanne,Netherlands;Switzerland,Anatoly Karpov,,Viswanathan Anand,,,
World Championship,1999,"Las Vegas ",United States,Alexander Khalifman,,Vladimir Akopian,,,
World Championship,2000,New Delhi;Tehran,India;Iran,Viswanathan Anand,,Alexei Shirov,,,
World Championship,2002,Moscow,Russia,Ruslan Ponomariov,,Vasyl Ivanchuk,,,
World Championship,2004,"Tripoli ",Libya,Rustam Kasimdzhanov,,Michael Adams,,,
World Championship,2005,Potrero de los Funes;San Luis,Argentina,Veselin Topalov,,Viswanathan Anand,,,
World Championship,2006,Elista,Russia,Vladimir Kramnik,,Veselin Topalov,,,
World Championship,2007,Mexico City,Mexico,Viswanathan Anand,India,Vladimir Kramnik,,,
World Championship,2008,Bonn,Germany,Viswanathan Anand,India,Vladimir Kramnik,,,
World Championship,2010,Sofia,Bulgaria,Viswanathan Anand,India,Veselin Topalov,,,
World Championship,2012,Moscow,Russia,Viswanathan Anand,India,Boris Gelfand,,,
World Championship,2013,Chennai,India,Magnus Carlsen,Norway,Viswanathan Anand,India,,
World Championship,2014,Sochi,Russia,Magnus Carlsen,Norway,Viswanathan Anand,India,,
World Championship,2016,New York City,United States,Magnus Carlsen,Norway,Sergey Karjakin,,,
World Championship,2018,London,United Kingdom,Magnus Carlsen,Norway,Fabiano Caruana,,,
World Championship,2021,Dubai,United Arab Emirates,Magnus Carlsen,Norway,Ian Nepomniachtchi,Russia,,
World Championship,2023,Astana,Kazakhstan,Ding Liren,China,Ian Nepomniachtchi,Russia,,
World Cup,2005,Khanty-Mansiysk,Russia,Levon Aronian,Armenia,Ruslan Ponomariov,Ukraine,,
World Cup,2007,Khanty-Mansiysk,Russia,Gata Kamsky,United States,Alexei Shirov,Spain,,
World Cup,2009,Khanty-Mansiysk,Russia,Boris Gelfand,Israel,Ruslan Ponomariov,Ukraine,,
World Cup,2011,Khanty-Mansiysk,Russia,Peter Svidler,Russia,Alexander Grischuk,Russia,,
World Cup,2013,Tromsø,Norway,Vladimir Kramnik,Russia,Dmitry Andreikin,Russia,,
World Cup,2015,Baku,Azerbaijan,Sergey Karjakin,Russia,Peter Svidler,Russia,,
World Cup,2017,Tbilisi,Georgia,Levon Aronian,Armenia,Ding Liren,China,,
World Cup,2019,Khanty-Mansiysk,Russia,Teimour Radjabov,Azerbaijan,Ding Liren,China,,
World Cup,2021,Sochi,Russia,Jan-Krzysztof Duda,Poland,Sergey Karjakin,Russia,,
World Rapid,2012,Astana,Kazakhstan,Sergey Karjakin,Russia,Magnus Carlsen,Norway,Veselin Topalov,
World Rapid,2013,Khanty-Mansiysk,Russia,Shakhriyar Mamedyarov,,Ian Nepomniachtchi,Russia,Alexander Grischuk,
World Rapid,2014,Dubai,United Arab Emirates,Magnus Carlsen,Norway,Fabiano Caruana,United States,Viswanathan Anand,
World Rapid,2015,Berlin,Germany,Magnus Carlsen,Norway,Ian Nepomniachtchi,Russia,Teimour Radjabov,
World Rapid,2016,Doha,Qatar,Vasyl Ivanchuk,,Alexander Grischuk,,Magnus Carlsen,
World Rapid,2017,Riyadh,Saudi Arabia,Viswanathan Anand,India,Vladimir Fedoseev,,Ian Nepomniachtchi,
World Rapid,2018,Saint Petersburg,Russia,Daniil Dubov,,Shakhriyar Mamedyarov,,Hikaru Nakamura,
World Rapid,2019,Moscow,Russia,Magnus Carlsen,Norway,Alireza Firouzja,,Hikaru Nakamura,
World Rapid,2021,Warsaw,Poland,Nodirbek Abdusattorov,,Ian Nepomniachtchi,Russia,Magnus Carlsen,
World Rapid,2022,Almaty,Kazakhstan,Magnus Carlsen,Norway,Vincent Keymer,Germany,Fabiano Caruana,
