state,no,name,party,start,end
Alaska,1,William A. Egan,Democratic,03-01-1959,05-12-1966
Alaska,2,Wally Hickel,Republican,05-12-1966,24-01-1969
Alaska,3,Keith Harvey Miller,Republican,24-01-1969,05-12-1970
Alaska,(1),William A. Egan,Democratic,05-12-1970,02-12-1974
Alaska,4,Jay Hammond,Republican,02-12-1974,06-12-1982
Alaska,5,Bill Sheffield,Democratic,06-12-1982,01-12-1986
Alaska,6,Steve Cowper,Democratic,01-12-1986,03-12-1990
Alaska,(2),Wally Hickel,Alaskan Independence,03-12-1990,05-12-1994
Alaska,7,Tony Knowles,Democratic,05-12-1994,02-12-2002
Alaska,8,Frank Murkowski,Republican,02-12-2002,04-12-2006
Alaska,9,Sarah Palin,Republican,04-12-2006,26-07-2009
Alaska,10,Sean Parnell,Republican,26-07-2009,01-12-2014
Alaska,11,Bill Walker,Independent,01-12-2014,03-12-2018
Alaska,12,Mike Dunleavy,Republican,03-12-2018,incumbent
